,original,replaced by
125,312 W. Republican St.,312 W REPUBLICAN ST
126,10422 Pacific Ave. South Suite. B.,10422 PACIFIC AVE S STE B
127,1956 1st Ave S,1956 1ST AVE S
128,3435 Birch Bay Lynden RD.,3435 BIRCH BAY LYNDEN RD
129,10697 Main Street Suite 2,10697 MAIN ST STE B
130,430 Carpenter Rd SE,430 CARPENTER RD SE
131,728 6th St Clarkston,728 6TH ST
132,315 N 105th ST,315 N 105TH ST
133,115 Blanchard St,115 BLANCHARD ST
134,"22624 Meridian Ave South,",22624 MERIDIAN AVE S STE B
135,8962 Beaver Valley Rd,8962 BEAVER VALLEY RD
136,3062 SW HWY 16 Suite A,3062 SW HWY 16 STE A
137,19302 Bothell Everett Hwy,19302 BOTHELL EVERETT HWY
138,12525 Willows Road NE Suite 10,12525 WILLOWS RD NE STE 10
139,7046 Pacific Avenue South,7046 PACIFIC AVE
140,1110 Charleston Beach Rd. W,1110 CHARLESTON BEACH RD W
141,5565 Van Barr Place Unit F,5565 VANBARR PLACE UNIT F
142,"230 NE Juniper St, Suite 201",230 NE JUNIPER ST STE#201
143,133 Howerton Way SE,133 HOWERTON AVE SE STE B
144,131 River Road,131 RIVER RD   STE A
145,551 14th Ave,551 14TH AVE
146,15804 Hwy 99 Unit A,15804 HIGHWAY 99 UNIT A
147,3610 Bethel Rd SE Suite 110,3610 BETHEL RD SE
148,212 W Winesap Rd Sute 101,"212 W WINESAP RD STE 101, 102"
149,"13224 Highway 99, Suite A",13224 HWY 99 STE A
150,"#A 23221 Edmonds Way,","#A 23221 Edmonds Way,"
151,"9616 East Sprague Avenue, Suite B",9616 E SPRAGUE AVE
152,1845 1st Street,1845 1ST ST
153,405 E. Stueben St.,405 E STEUBEN ST
154,9506 19th Ave SE,9506 19TH AVE SE
155,1123 Sleater Kinney RD SE,1123 SLEATER KINNEY RD SE
156,16204 SE 272nd St,16204 SE 272ND ST  STE 1
157,13513 NE 126th Pl.,13513 NE 126TH PL SUITE C
158,1037 W. Marina Dr.,1037 W MARINA DR
159,8312 E Mill Plain Blvd.,8312 E MILL PLAIN BLVD
160,536 Marine Dr,536 MARINE DR STE B
161,1335 SE Bishop Blvd 1335 SE,1335 SE BISHOP BLVD
162,755 W. Washington Blvd. Suite C,755 W WASHINGTON ST STE C
163,6515 E Mill Plain Blvd,6515 E MILL PLAIN BLVD
164,11522 Canyon Rd East,11522 CANYON RD E
165,8040  NE Day Road W,8040 NE DAY RD W BLDG 3 STE 1
166,124 East Riverside Ave,124 RIVERSIDE AVE
167,1703 SE Sedgwick Rd #113,1703 SE SEDGWICK RD
168,23730 WA St Hwy 3,23730 WA St Hwy 3
169,9301 N. Division St.,9301 N DIVISION ST STE B-C
170,1403 E. First St,1403 E 1ST STREET
171,9107 N. Country Homes Blvd. #13,9107 N COUNTRY HOMES BLVD #13
172,11042 1st Ave S,11042 1ST AVENUE S
173,11834 NE 90th St.,11834 NE 90TH ST
174,4912 17th Ave NW,4912 17TH AVE NW STE A
175,2947 E Hwy 101 Suite A and B,"2947 E HWY 101  STE A, B"
176,1009 E Yakima Ave (behind target),1009 E YAKIMA AVE
177,14637 State Route 20,14637 STATE ROUTE 20
178,1717 NE Andresen Rd (NOT ANDERSON ROAD),1717 NE ANDRESEN RD
179,6725 Martin Way East,6725 MARTIN WAY E
180,420 Evergreen Drive,420 SUNSET BLVD N STE A
181,2128 S. 37th Street,2128 S 37TH ST
182,591 State Route 821,591 STATE RTE 821  STE B
183,13005 Pacific Ave S.,13005 PACIFIC AVE S
184,4803 Center st,4803 CENTER STREET STE A
185,330 NE Chkalov Dr,330 NE CHKALOV DR STE C & D
186,"6620 N. Market , Suite 100",6620 N MARKET ST STE 100
187,1840 James St.,1840 JAMES ST
188,9574 Old Hwy 99 N,9574 OLD HWY 99 NORTH RD STE B
189,5309 Guide Meridian Suite A,5309 GUIDE MERIDIAN RD SUITE A
190,213 East Sprague Ave,213 East Sprague Ave
191,708 Rainier Ave South,708 RAINIER AVE S  #108/109
192,6323 NE Bothell Way,6323 NE BOTHEL WAY
193,1428 Olympic Highway South,1428 OLYMPIC HWY S STE A
194,3708 Mt Baker Hwy,3708 MT BAKER HWY
195,15928 Highway 99 S.,15928 HWY 99
196,3202 E Portland Ave,3202 E PORTLAND AVE
197,1615 Basin St SW,1615 BASIN ST SW
198,18729 Fir Island Rd Suite C,18729 FIR ISLAND RD STE C
199,16053 Aurora Ave N Suite B,16053 AURORA AVE N STE B
200,5209 MLK Jr Way South,5209 MARTIN LUTHER KING JR.
201,1762 Village Lane Southeast,1762 VILLAGE LN SE
202,15915B State HWY 305 NE,15915B State HWY 305 NE
203,260 Merlot Dr.,260 MERLOT DR
204,7550 US 97,7550 US 97
205,7656 State Route 20 Unit A,7656 STATE ROUTE 20 UNIT A
206,21502 E. Gilbert Road,21502 E GILBERT RD
207,420 Sunset Blvd N,420 SUNSET BLVD N STE A
208,9403 East Trent Ave.,9403 E TRENT AVE
209,17905 Memorial HWY,17905 STATE ROUTE 536
210,927 West 2nd Ave,927 W 2ND AVE STE 1
211,5402 Pacific Hwy East,5402 Pacific Hwy East
212,905 Simpson Avenue,905 SIMPSON AVENUE
213,282023 Highway 101,282023 HWY 101
214,410 West State Street,410 W STATE ST
215,18646 State Route 525 Suite B,18646 SR 525 STE B
216,3207 1st Ave S.,3207 1ST AVE S  UNIT A
217,650 Llame Lane,650 LLAMA LN
218,3044 Pacific Ave SE,3044 PACIFIC AVE SE STE B
219,2405 Harison Ave NW Suite 102,2405 HARRISON AVE NW STE 201
220,12827 SE 40th Place,12827 SE 40TH PL
221,9804 Lake City Way NE,9804 LAKE CITY WAY NE STE A
222,1570 N National Ave Suite 105,1570 N NATIONAL AVE STE 105
223,234 Division St NW,234 DIVISION ST NW STE B
224,716 NW 65th St.,716 NW 65TH ST
225,3079 156th Avenue South East,3079 156TH AVE SE
226,11493 Clear Creek rd. NW,11493 CLEAR CREEK RD
227,5809 112th St. East,5809 112TH ST E BLDG B
228,17730 Ambaum BLV. S,17730 AMBAUM BLVD S UNIT E
229,1912 201st Place SE #202,1912 201ST PLACE SE #202
230,530 7th Ave Suite D,530 7TH AVE STE D
231,3002 6th Ave.,3002 6TH AVE STE 100
232,1410 40th St.,1410 40TH ST
233,3833 Pacific Ave Suite C,3833 PACIFIC AVE STE 3-C
234,211 E. North Bay Road,211 E NORTH BAY RD
235,1628 Dexter Ave N,1628 DEXTER AVE N STE A
236,19705 South Griffin Road,19705 N GRIFFIN RD
237,22002 64th Ave W Suite 2A,22002 64TH AVE W STE 2A
238,1465 East Republican Street,1465 E REPUBLICAN ST
239,1330 SE Bishop Blvd,1330 SE BISHOP BLVD
240,1215 E Front St.,1215 E FRONT ST
241,9507 State Route 302 NW Suite B,9507 STATE ROUTE 302 NW # B
242,100 Old Hill Road,100 OLD HILL RD
243,2427 West Simms Way,2427 W SIMS WAY STE F
244,5740 Ruddell Rd SE,5740 RUDDELL RD SE STE C
245,3249 Perry Ave Suite B,3249 PERRY AVE STE B
246,4242 East Valley Road 2nd Floor,4242 E VALLEY RD
247,"8420 Aspi Blvd, Suite 3",8420 ASPI BLVD STE 3
248,400 S. Main St,400 S. MAIN STREET
249,50 Rock Island Rd.,50 ROCK ISLAND RD
250,5736 Vale Road,5736 VALE RD
251,1210 North Wenatchee Ave Suite J,1210 N WENATCHEE AVE STE J
252,3230 E. Hwy 101,3230 E HWY 101
253,2409 Pacific Ave,2409 PACIFIC AVE
254,14325 1st Ave South,14325 1ST AVE S STE 101
255,1510 N. Wenatchee Ave,1510 N WENATCHEE AVE
256,19258 15th Ave NE Suite B,19258 15TH AVE NE STE B
257,3108 A ST. SE Suite F,3108 A ST SE STE F & G
258,927 West Main Street,927 W MAIN ST
259,10707 Pacific Ave S. Suite D,10707 PACIFIC AVE S SUITE D
260,"849 Trosper Rd SW, Suite 207",849 TROSPER RD SW STE 207
261,721 6th St,721 6TH ST
262,5435 California Ave SW,5435 CALIFORNIA AVE SW
263,6620 N MARKET ST SUITE 101,6620 N MARKET ST SUITE 100
264,2256 WA-153 Suite B,2256 HWY 153 STE B
265,19127 Smokey Point Blvd,19127 SMOKEY POINT BLVD BLDG 1
266,794 Kentucky St,794 KENTUCKY ST
267,5952 Pullman Airport Road,5952 AIRPORT RD
268,327 WA-4,327 SR 4
269,1940 124th Avenue NE A-101,1940 124TH AVE NE STE A-101
270,8202 NE State Hwy. 104 Ste 101,8202 NE STATE HWY 104 STE 101
271,7215 212 Street,7215 212TH ST SW
272,407 E 1st St,407 E 1ST ST
273,8296 Avondale way NE Suite B,8296 AVONDALE WAY NE STE B
274,3540 Stone Way N,3540 STONE WAY N
275,2714 Henson Road Suite B,2714 HENSON RD STE B
276,11013 Lake City Way NE,11013 LAKE CITY WAY NE
277,3906 S 12th St,3906 S 12TH ST
278,11110 Mukilteo Speedway,11110 MUKILTEO SPEEDWAY
279,3310 Auburn Way North,3310 AUBURN WAY N STE C/D
280,2724 3rd AVE S,2724 3RD AVE S
281,625 N Callow Ave.,625 N CALLOW AVE
282,17547 15th Ave NE,17547 15TH AVE NE
283,3801 East Sprague  Ave.,3801 E SPRAGUE AVE
284,19943 Old Hwy 99 SW,19943 OLD HWY 99 SW
285,11325 WA-99,11325 HIGHWAY 99
286,74 South Lucile Street,74 S LUCILE ST  STE 102
287,3120 Maple Way Road,3120 MAPLEWAY RD
288,5303 Pacific Highway E.,5303 PACIFIC HWY E
289,21802 Mountain Highway E,21802 MOUNTAIN HWY E  STE 1
290,412 S Interlake Road,412 S INTERLAKE RD
291,4336 Roosevelt Way NE,4336 ROOSEVELT WAY NE STE C
292,1107 N Callow Ave.,1107 N CALLOW AVE STE C
293,207 S 9th Ave,207 S 9TH AVE
294,1401 Iowa Street,1401 IOWA ST
295,1606 Fruitvale Blvd,1606 FRUITVALE BLVD
296,36711 Highway 12,36711 U.S. HIGHWAY 12
297,19315 Bothell Everett Hwy Unit 1,19315 BOTHELL EVERETT HWY #1
298,15937 Redmond Way,15937 REDMOND WAY STE B
299,6326 Martin Way E,6326 MARTIN WAY E STE 103
300,5917 N 26th St,5917 N 26TH ST STE A
301,22624 Meridian Ave South,22624 MERIDIAN AVE S STE B
302,1611 Smitty's Blvd Suite B,1611 S SMITTYS BLVD  STE B
303,17730 Ambaum Blvd. S,17730 AMBAUM BLVD S UNIT E
304,13220 Highway 99,13220 HWY 99 S
305,7924 River Road E,7924 RIVER ROAD
306,1110 East Yelm #3,1110 E YELM AVE STE C
307,21630 E Gilbert Drive,21630 E GILBERT AVE
308,4264 Pacific Hwy,4264 PACIFIC HWY
309,2720 E 29th Ave,2720 E 29TH AVE
310,828 Rainier Ave S,828 RAINIER AVE S
311,261 State Hwy 28 West,261 STATE HWY 28 WEST
312,5440 California Ave SW,5440 CALIFORNIA AVE SW
313,6010 N Division,6010 N DIVISION ST
314,208 E Pine St,208 E PINE ST
315,9929 AIRPORT WAY UNIT 1,9929 AIRPORT WAY UNIT 1
316,3965 Bethel Rd SE STE 3,3965 BETHEL RD SE STE 3
317,30521 NE Hansville,30521 NE Hansville
318,517 128th ST SW Suite b,517 128TH ST SW STE B
319,206 Morgan Street,206 MORGAN ST
320,401 93rd Ave SE,401 93RD AVE SE
321,7262 Rainer Ave,7262 RAINIER AVE S STE B
322,4007 Main Street,4007 MAIN ST
323,322 E Francis Ave.,322 E FRANCIS AVE STE A
324,"18026 State Route 9 SE, STE A",18026 STATE ROUTE 9 SE STE 2
325,1374 SE Lund Ave,1374 SE LUND AVE
326,"2733 4th Ave S, Ste A",2733 4TH AVE S 1ST FLOOR
327,17905 Memorial Hwy,17905 STATE ROUTE 536
328,"2815 St. Johns Blvd, Ste B",2815 ST. JOHNS ROAD   STE B
329,4851 Geiger Rd,4851 GEIGER RD SE
330,15029 Bothell Way NE,15029 BOTHELL WAY NE STE 100
331,6511 NE 137th Ave.,6511 NE 137TH AVE
332,614 Grade Street,614 116TH AVE NE
333,8040 NE Day Road W,8040 NE DAY RD W BLDG 3 STE 1
334,7266 Rainer Ave,7266 Rainer Ave
335,25 North East 2nd Street,25 NE 2ND ST STE B
336,3502 S 74th Street,3502 S 74TH ST
337,27206 88th Avenue NW,27206 88TH AVE NW
338,9926 34th Ave NE,9926 34th Ave NE
