License Number,Reporting Period,Total Sales,Excise Tax Due,alt_sales,Tradename,Street Address,UBI,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source,Med Privilege Code,Date Created,Email,Medical Endorsement,AH,CCN,CCS,IA,PC,SV,Total Enforcements,acc_AH,acc_CCN,acc_CCS,acc_IA,acc_PC,acc_SV,Total Accumulative Enforcements,Visit Date,Penalty Type,Case #,WAC Code,Violation Type,SuspensionDays,FinesCnt,FinesAmnt,Cancellation,DiscontinuedCnt,WarningsCnt,AvgPayLag,FinesCntCum,FinesAmntCum,SuspensionDaysCum,DiscontinuedCntCum,WarningsCntCum,Future_Cancelled,age,failure,date_offset_1m,lagged_sales_1m,date_offset_1y,lagged_sales_1y,sales_MoM,sales_YoY,Year,MHI_5y,MHI_white_5y,MHI_black_5y,MHI_am_indian_5y,MHI_asian_5y,MHI_haw_pac_5y,MHI_other_5y,MHI_two_plus_5y,MHI_hispanic_5y,MHI_white_not_hispanic_5y,population_5y,population_21plus_5y,male_percent_5y,female_percent_5y,age_median_5y,age_21_over_5y,age_18_over_5y,age_20_to_24_5y,age_25_to_34_5y,age_35_to_44_5y,age_45_to_54_5y,age_55_to_59_5y,age_60_to_64_5y,age_65_over_5y,white_5y,black_5y,am_indian_5y,asian_5y,haw_pac_5y,other_race_5y,hisp_5y,white_not_hisp_5y,MHI_1y,MHI_white_1y,MHI_black_1y,MHI_am_indian_1y,MHI_asian_1y,MHI_haw_pac_1y,MHI_other_1y,MHI_two_plus_1y,MHI_hispanic_1y,MHI_white_not_hispanic_1y,population_1y,population_21plus_1y,male_percent_1y,female_percent_1y,age_median_1y,age_21_over_1y,age_18_over_1y,age_20_to_24_1y,age_25_to_34_1y,age_35_to_44_1y,age_45_to_54_1y,age_55_to_59_1y,age_60_to_64_1y,age_65_over_1y,white_1y,black_1y,am_indian_1y,asian_1y,haw_pac_1y,other_race_1y,hisp_1y,white_not_hisp_1y,Square Miles,Street Address Join,monthly date,slug,scrape,wmsite,address,city,email,street,st,dispensaryname,med_rec,zipcode,Wmaps_ManuallyCleaned,Wmaps_Source,street_update_sales,street_update_applicants,street_applicants_join,street_sales_join,_merge
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05,the-vault-spokane,184,https://weedmaps.com/dispensaries/the-vault-spokane,"213 East Sprague Ave, Spokane, WA 99202",Spokane,VAULTMANAGEMENTTEAM@GMAIL.COM,213 East Sprague Ave,WA,THE VAULT SPOKANE,recreational,99202,0,,213 East Sprague Ave,213 East Sprague Ave,213 SPRAGUE AVE,213 SPRAGUE AVE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11,carlton-cannabis-2,215,https://weedmaps.com/dispensaries/carlton-cannabis-2,"2256 WA-153 Suite B, Carlton, Washington 98814",Carlton,CARLTONCANNABIS@GMAIL.COM,2256 WA-153 Suite B,WA,CARLTON CANNABIS,recreational,98814,0,,2256 HWY 153 STE B,2256 WA-153 SUITE B,2256 WA-153 STE,2256 HWY 153,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11,commencement-bay-cannabis,215,https://weedmaps.com/dispensaries/commencement-bay-cannabis,"5402 Pacific Hwy East, Fife, WA 98424",Fife,RETAILORDERS@PTCEINC.COM,5402 Pacific Hwy East,WA,COMMENCEMENT BAY CANNABIS,recreational,98424,0,,5402 Pacific Hwy East,5402 Pacific Hwy East,5402 PACIFIC HWY,5402 PACIFIC HWY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11,dank-s-wonder-emporium,215,https://weedmaps.com/dispensaries/dank-s-wonder-emporium,"6906 Martin Way East, Olympia, Wa 98516",Olympia,INFO@DANKS.CO,6906 Martin Way East,WA,DANKS WONDER EMPORIUM,recreational,98516,0,,6906 Martin Way East,6906 MARTIN WAY E,6906 MARTIN WAY,6906 MARTIN WAY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11,dockside-cannabis,215,https://weedmaps.com/dispensaries/dockside-cannabis,"15029 Aurora Ave N., Shoreline, WA 98133",Shoreline,INFO@DOCKSIDECANNABIS.COM,15029 Aurora Ave N.,WA,DOCKSIDE CANNABIS SHORELINE,recreational,98133,0,,15029 BOTHELL WAY NE STE 100,15029 BOTHELL WAY NE STE 100,15029 BOTHELL WAY,15029 BOTHELL WAY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11,the-vault-spokane,215,https://weedmaps.com/dispensaries/the-vault-spokane,"213 East Sprague Ave, Spokane, WA 99202",Spokane,VAULTMANAGEMENTTEAM@GMAIL.COM,213 East Sprague Ave,WA,THE VAULT SPOKANE,recreational,99202,0,,213 East Sprague Ave,213 East Sprague Ave,213 SPRAGUE AVE,213 SPRAGUE AVE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11,walla-walla-weedery,215,https://weedmaps.com/dispensaries/walla-walla-weedery,"207 S 9th Ave, Walla Walla, WA 99362",Walla Walla,WALLAWALLAWEEDERY@GMAIL.COM,207 S 9th Ave,WA,WALLA WALLA WEEDERY,recreational,99362,0,,207 S 9TH AVE,207 S 9TH AVE,207 9TH AVE,207 9TH AVE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05,canna-west-seattle,227,https://weedmaps.com/dispensaries/canna-west-seattle,"5435 California Ave SW, Seattle, Wa 98136",Seattle,SUBSCRIPTIONS-MARKETING@CANNAWS.COM,5435 California Ave SW,WA,CANNA WEST SEATTLE,recreational,98136,0,,5435 CALIFORNIA AVE SW,5435 CALIFORNIA AVE SW,5435 CALIFORNIA AVE,5435 CALIFORNIA AVE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05,carlton-cannabis-2,227,https://weedmaps.com/dispensaries/carlton-cannabis-2,"2256 WA-153 Suite B, Carlton, Washington 98814",Carlton,CARLTONCANNABIS@GMAIL.COM,2256 WA-153 Suite B,WA,CARLTON CANNABIS,recreational,98814,0,,2256 HWY 153 STE B,2256 WA-153 SUITE B,2256 WA-153 STE,2256 HWY 153,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05,cinder,227,https://weedmaps.com/dispensaries/cinder,"7011 N Division, Spokane, WA 99208",Spokane,JUSTIN@CINDERSMOKE.COM,7011 N Division,WA,CINDER NORTH SPOKANE,recreational,99208,0,,7011 N DIVISION ST STE A,7011 N DIVISION ST STE A,7011 DIVISION ST,7011 DIVISION ST,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05,commencement-bay-cannabis,227,https://weedmaps.com/dispensaries/commencement-bay-cannabis,"5402 Pacific Hwy East, Fife, WA 98424",Fife,RETAILORDERS@PTCEINC.COM,5402 Pacific Hwy East,WA,COMMENCEMENT BAY CANNABIS,recreational,98424,0,,5402 Pacific Hwy East,5402 Pacific Hwy East,5402 PACIFIC HWY,5402 PACIFIC HWY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05,dank-s-wonder-emporium,227,https://weedmaps.com/dispensaries/dank-s-wonder-emporium,"6906 Martin Way East, Olympia, Wa 98516",Olympia,INFO@DANKS.CO,6906 Martin Way East,WA,DANKS WONDER EMPORIUM,recreational,98516,0,,6906 Martin Way East,6906 MARTIN WAY E,6906 MARTIN WAY,6906 MARTIN WAY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05,western-bud,227,https://weedmaps.com/dispensaries/western-bud,"1401 Iowa Street, Bellingham, WA 98229",Bellingham,BELLINGHAM@WESTERNBUD.COM,1401 Iowa Street,WA,WESTERN BUD,recreational,98229,0,,1401 IOWA ST,1401 IOWA ST,1401 IOWA ST,1401 IOWA ST,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,a-bud-leaf,242,https://weedmaps.com/dispensaries/a-bud-leaf,"421 Lilly Road, SE, Olympia, WA 98501",Olympia,ABUDANDLEAF@GMAIL.COM,"421 Lilly Road, SE",WA,A BUD AND LEAF,recreational,98501,0,,421 LILLY RD SE,421 LILLY RD SE,421 LILLY RD,421 LILLY RD,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,carlton-cannabis-2,242,https://weedmaps.com/dispensaries/carlton-cannabis-2,"2256 WA-153 Suite B, Carlton, Washington 98814",Carlton,CARLTONCANNABIS@GMAIL.COM,2256 WA-153 Suite B,WA,CARLTON CANNABIS,recreational,98814,0,,2256 HWY 153 STE B,2256 WA-153 SUITE B,2256 WA-153 STE,2256 HWY 153,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,commencement-bay-cannabis,242,https://weedmaps.com/dispensaries/commencement-bay-cannabis,"5402 Pacific Hwy East, Fife, WA 98424",Fife,RETAILORDERS@PTCEINC.COM,5402 Pacific Hwy East,WA,COMMENCEMENT BAY CANNABIS,recreational,98424,0,,5402 Pacific Hwy East,5402 Pacific Hwy East,5402 PACIFIC HWY,5402 PACIFIC HWY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,dank-s-wonder-emporium,242,https://weedmaps.com/dispensaries/dank-s-wonder-emporium,"6906 Martin Way East, Olympia, WA 98516",Olympia,INFO@DANKS.CO,6906 Martin Way East,WA,DANKS WONDER EMPORIUM,recreational,98516,0,,6906 Martin Way East,6906 MARTIN WAY E,6906 MARTIN WAY,6906 MARTIN WAY,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,euphorium-2-7,242,https://weedmaps.com/dispensaries/euphorium-2-7,"19525 Bothell Everett Highway, Bothell, WA 98012",Bothell,INFO@EUPHORIUM502.COM,19525 Bothell Everett Highway,WA,EUPHORIUM BOTHELL,recreational,98012,0,,19525 BOTHELL EVERETT HWY A,19525 BOTHELL EVERETT HWY A,19525 BOTHELL EVERETT,19525 BOTHELL EVERETT,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,high-point-cannabis,242,https://weedmaps.com/dispensaries/high-point-cannabis,"30521 NE Hansville, Kingston, WA 98346",Kingston,DCHRISTENSEN@HIGHPOINTMJ.COM,30521 NE Hansville,WA,HIGH POINT CANNABIS,recreational,98346,0,,30521 NE Hansville,30521 NE Hansville,30521 HANSVILLE,30521 HANSVILLE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,highway-7-recreational,242,https://weedmaps.com/dispensaries/highway-7-recreational,"7046 Pacific Avenue South, Tacoma, WA 98408",Tacoma,INFO@HIWY7.COM,7046 Pacific Avenue South,WA,HIGHWAY 7 MARIJUANA STORE,recreational,98408,0,,7046 PACIFIC AVE,7046 PACIFIC AVE,7046 PACIFIC AVE,7046 PACIFIC AVE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,northwest-home-grown,242,https://weedmaps.com/dispensaries/northwest-home-grown,"2724 3rd AVE S, Seattle, WA 98134",Seattle,NWHOMEGROWNLLC@GMAIL.COM,2724 3rd AVE S,WA,NW HOMEGROWN,recreational,98134,0,,2724 3RD AVE S,2724 3RD AVE S,2724 3RD AVE,2724 3RD AVE,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,sticky-s-pot-shop,242,https://weedmaps.com/dispensaries/sticky-s-pot-shop,"9411 NE Highway 99, Suite 4, Vancouver, WA 98665",Vancouver,INFO@STICKYSMJ.COM,"9411 NE Highway 99, Suite 4",WA,STICKYS POT SHOP,recreational,98665,0,,9411 NE HIGHWAY 99 STE 4,9411 NE HIGHWAY 99 STE 4,9411 HWY 99,9411 HWY 99,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,the-canyon-2,242,https://weedmaps.com/dispensaries/the-canyon-2,"3120 Maple Way Road, Gleed, WA 98904",Gleed,CANYONCANNA@GMAIL.COM,3120 Maple Way Road,WA,THE CANYON,recreational,98904,0,,3120 MAPLEWAY RD,3120 MAPLEWAY RD,3120 MAPLEWAY RD,3120 MAPLEWAY RD,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12,top-shelf-cannabis-recreational,242,https://weedmaps.com/dispensaries/top-shelf-cannabis-recreational,"3863 Hannegan Rd. Suite 107, Bellingham, WA 98226",Bellingham,ZACKHENIFIN@ICLOUD.COM,3863 Hannegan Rd. Suite 107,WA,TOP SHELF CANNABIS BELLINGHAM,recreational,98226,0,,3863 HANNEGAN RD,3863 HANNEGAN RD,3863 HANNEGAN RD,3863 HANNEGAN RD,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06,a-bud-leaf,245,https://weedmaps.com/dispensaries/a-bud-leaf,"421 Lilly Road, SE,Olympia,Washington 98501",Olympia,ABUDANDLEAF@GMAIL.COM,"421 Lilly Road, SE",WA,A BUD AND LEAF,recreational,98501,0,,421 LILLY RD SE,421 LILLY RD SE,421 LILLY RD,421 LILLY RD,right_only
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06,carlton-cannabis-2,245,https://weedmaps.com/dispensaries/carlton-cannabis-2,"2256 WA-153 Suite B,Carlton,Washington 98814",Carlton,CARLTONCANNABIS@GMAIL.COM,2256 WA-153 Suite B,WA,CARLTON CANNABIS,recreational,98814,0,,2256 HWY 153 STE B,2256 WA-153 SUITE B,2256 WA-153 STE,2256 HWY 153,right_only
