Tradename,License Number,Street Address,UBI,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source,slug,scrape,wmsite,address,city,email,street,st,dispensaryname,med_rec,zipcode,Wmaps_ManuallyCleaned,Wmaps_Source
1492 PRODUCTIONS,413280,2835 OCEAN AVE #A,6033520000000000.0,,RAYMOND                 ,WA,PACIFIC,98577-4909,MARIJUANA PRODUCER TIER 2,ACTIVE (ISSUED),2016-12-29,7863766010,0,0,,,,,,,,,,,,,
150 POUNDERS,417134,21037 BUCODA HWY SE,6024010000000000.0,,CENTRALIA               ,WA,THURSTON,98531-9501,MARIJUANA PRODUCER TIER 2,ACTIVE (ISSUED),2017-07-08,2534055065,0,0,,,,,,,,,,,,,
2020 SOLUTIONS,364799,7207 212TH ST SW,6040000000000000.0,,EDMONDS                 ,WA,SNOHOMISH,98020-7735,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-04-18,3609154944,0,0,,,,,,,,,,,,,
2020 SOLUTIONS,413314,5655 GUIDE MERIDIAN STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9722,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-11-08,2068180966,0,0,2020-solutions-recreational-north-bellingham,101.0,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,"5655 Guide Meridian, Bellingham, WA 98226",Bellingham,INFO@I502SOLUTIONS.COM,5655 Guide Meridian,WA,2020 SOLUTIONS NORTH BELLINGHAM,recreational,98226,0.0,
2020 SOLUTIONS,413314,5655 GUIDE MERIDIAN STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9722,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-11-08,2068180966,0,0,2020-solutions-recreational-north-bellingham,127.0,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,"5655 Guide Meridian, Bellingham, WA 98226",Bellingham,INFO@I502SOLUTIONS.COM,5655 Guide Meridian,WA,2020 SOLUTIONS NORTH BELLINGHAM,recreational,98226,0.0,
2020 SOLUTIONS,413314,5655 GUIDE MERIDIAN STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9722,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-11-08,2068180966,0,0,2020-solutions-recreational-north-bellingham,154.0,https://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,"5655 Guide Meridian, Bellingham, WA 98226",Bellingham,INFO@I502SOLUTIONS.COM,5655 Guide Meridian,WA,2020 SOLUTIONS NORTH BELLINGHAM,recreational,98226,0.0,
2020 SOLUTIONS,415470,2018 IRON ST STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-4212,MARIJUANA RETAILER,PENDING (ISSUED),2019-10-11,2068180966,0,0,2020-solutions-recreational,101.0,http://weedmaps.com/dispensaries/2020-solutions-recreational,"2018 Iron St., Bellingham, WA 98225",Bellingham,INFO@I502SOLUTIONS.COM,2018 Iron St.,WA,2020 SOLUTIONS,recreational,98225,0.0,
2020 SOLUTIONS,415470,2018 IRON ST STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-4212,MARIJUANA RETAILER,PENDING (ISSUED),2019-10-11,2068180966,0,0,2020-solutions-recreational,127.0,http://weedmaps.com/dispensaries/2020-solutions-recreational,"2018 Iron St., Bellingham, WA 98225",Bellingham,INFO@I502SOLUTIONS.COM,2018 Iron St.,WA,2020 SOLUTIONS,recreational,98225,0.0,
2020 SOLUTIONS,415470,2018 IRON ST STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-4212,MARIJUANA RETAILER,PENDING (ISSUED),2019-10-11,2068180966,0,0,2020-solutions-recreational,154.0,https://weedmaps.com/dispensaries/2020-solutions-recreational,"2018 Iron St., Bellingham, WA 98225",Bellingham,INFO@I502SOLUTIONS.COM,2018 Iron St.,WA,2020 SOLUTIONS,recreational,98225,0.0,
2020 SOLUTIONS,415470,2018 IRON ST STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-4212,MARIJUANA RETAILER,PENDING (ISSUED),2019-10-11,2068180966,0,0,2020-solutions-recreational,184.0,https://weedmaps.com/dispensaries/2020-solutions-recreational,"2018 Iron St., Bellingham, WA 98225",Bellingham,INFO@I502SOLUTIONS.COM,2018 Iron St.,WA,2020 SOLUTIONS,recreational,98225,0.0,
2020 SOLUTIONS,415470,2018 IRON ST STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-4212,MARIJUANA RETAILER,PENDING (ISSUED),2019-10-11,2068180966,0,0,2020-solutions-recreational,215.0,https://weedmaps.com/dispensaries/2020-solutions-recreational,"2018 Iron St., Bellingham, WA 98225",Bellingham,INFO@I502SOLUTIONS.COM,2018 Iron St.,WA,2020 SOLUTIONS IRON ST,recreational,98225,0.0,
2020 SOLUTIONS,415470,2018 IRON ST STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-4212,MARIJUANA RETAILER,PENDING (ISSUED),2019-10-11,2068180966,0,0,2020-solutions-recreational,245.0,https://weedmaps.com/dispensaries/2020-solutions-recreational,"2018 Iron St.,Bellingham,Washington 98225",Bellingham,INFO@I502SOLUTIONS.COM,2018 Iron St.,WA,2020 SOLUTIONS IRON ST,recreational,98225,0.0,
2020 SOLUTIONS,420908,4770 PACIFIC HWY STE A,6040000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9049,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-01-14,3607342020,0,0,,,,,,,,,,,,,
2020 SOLUTIONS,422139,4264 PACIFIC HWY,6030000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9042,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-04-17,2063999999,0,0,smoking-crow,227.0,https://weedmaps.com/dispensaries/smoking-crow,"4264 Pacific Hwy, Bellingham, WA 98226",Bellingham,INFO@SMOKINGCROW.COM,4264 Pacific Hwy,WA,SMOKING CROW,recreational,98226,0.0,
2020 SOLUTIONS,422139,4264 PACIFIC HWY,6030000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9042,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-04-17,2063999999,0,0,smoking-crow,242.0,https://weedmaps.com/dispensaries/smoking-crow,"4264 Pacific Hwy, Bellingham, WA 98226",Bellingham,INFO@SMOKINGCROW.COM,4264 Pacific Hwy,WA,SMOKING CROW,recreational,98226,0.0,
2020 SOLUTIONS,422139,4264 PACIFIC HWY,6030000000000000.0,,BELLINGHAM              ,WA,WHATCOM,98226-9042,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-04-17,2063999999,0,0,smoking-crow,245.0,https://weedmaps.com/dispensaries/smoking-crow,"4264 Pacific Hwy,Bellingham,Washington 98226",Bellingham,INFO@SMOKINGCROW.COM,4264 Pacific Hwy,WA,SMOKING CROW,recreational,98226,0.0,
2020 SOLUTIONS,422239,1615 BASIN ST SW,6040000000000000.0,,EPHRATA                 ,WA,GRANT,98823-2134,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-ephrata,184.0,https://weedmaps.com/dispensaries/2020-solutions-ephrata,"1615 Basin St SW, Ephrata, WA 98832",Ephrata,INFO@I502SOLUTIONS.COM,1615 Basin St SW,WA,2020 SOLUTIONS EPHRATA,recreational,98832,0.0,
2020 SOLUTIONS,422239,1615 BASIN ST SW,6040000000000000.0,,EPHRATA                 ,WA,GRANT,98823-2134,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-ephrata,215.0,https://weedmaps.com/dispensaries/2020-solutions-ephrata,"1615 Basin St SW, Ephrata, WA 98832",Ephrata,INFO@I502SOLUTIONS.COM,1615 Basin St SW,WA,2020 SOLUTIONS EPHRATA,recreational,98832,0.0,
2020 SOLUTIONS,422239,1615 BASIN ST SW,6040000000000000.0,,EPHRATA                 ,WA,GRANT,98823-2134,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-ephrata,227.0,https://weedmaps.com/dispensaries/2020-solutions-ephrata,"1615 Basin St SW, Ephrata, WA 98832",Ephrata,INFO@I502SOLUTIONS.COM,1615 Basin St SW,WA,2020 SOLUTIONS EPHRATA,recreational,98832,0.0,
2020 SOLUTIONS,422239,1615 BASIN ST SW,6040000000000000.0,,EPHRATA                 ,WA,GRANT,98823-2134,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-ephrata,242.0,https://weedmaps.com/dispensaries/2020-solutions-ephrata,"1615 Basin St SW, Ephrata, WA 98832",Ephrata,INFO@I502SOLUTIONS.COM,1615 Basin St SW,WA,2020 SOLUTIONS EPHRATA,recreational,98832,0.0,
2020 SOLUTIONS,422239,1615 BASIN ST SW,6040000000000000.0,,EPHRATA                 ,WA,GRANT,98823-2134,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-ephrata,245.0,https://weedmaps.com/dispensaries/2020-solutions-ephrata,"1615 Basin St SW,Ephrata,Washington 98832",Ephrata,INFO@I502SOLUTIONS.COM,1615 Basin St SW,WA,2020 SOLUTIONS EPHRATA,recreational,98832,0.0,
2020 SOLUTIONS,422363,261 STATE HWY 28 WEST,6040000000000000.0,,SOAP LAKE               ,WA,GRANT,98851-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-soap-lake,242.0,https://weedmaps.com/dispensaries/2020-solutions-soap-lake,"261 State Hwy 28 West, Soap Lake, WA 98851",Soap Lake,INFO@I502SOLUTIONS.COM,261 State Hwy 28 West,WA,2020 SOLUTIONS SOAP LAKE,recreational,98851,0.0,
2020 SOLUTIONS,422363,261 STATE HWY 28 WEST,6040000000000000.0,,SOAP LAKE               ,WA,GRANT,98851-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-13,3609154944,0,0,2020-solutions-soap-lake,245.0,https://weedmaps.com/dispensaries/2020-solutions-soap-lake,"261 State Hwy 28 West,Soap Lake,Washington 98851",Soap Lake,INFO@I502SOLUTIONS.COM,261 State Hwy 28 West,WA,2020 SOLUTIONS SOAP LAKE,recreational,98851,0.0,
20AFTER4,422632,2211 46TH AVE,6030000000000000.0,,LONGVIEW                ,WA,COWLITZ,98632-5013,MARIJUANA RETAILER,CLOSED (PERMANENT),2017-06-20,2068180966,0,0,,,,,,,,,,,,,
20AFTER4,425128,302 HAZEL ST,6030000000000000.0,,KELSO                   ,WA,COWLITZ,98626-1410,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-03,2069293060,0,0,,,,,,,,,,,,,
21+ RECREATIONAL MARIJUANA,422073,3598 BETHEL RD SE,6040000000000000.0,,PORT ORCHARD            ,WA,KITSAP,98366-5605,MARIJUANA RETAILER,CLOSED (PERMANENT),2017-06-06,2064278666,0,0,,,,,,,,,,,,,
21+ RECREATIONAL MARIJUANA,423775,3062 SW HWY 16 STE A,6040000000000000.0,,BREMERTON               ,WA,KITSAP,98312-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-03-16,2064278666,0,0,herbal-healing-safe-access,154.0,https://weedmaps.com/dispensaries/herbal-healing-safe-access,"3062 SW HWY 16 Suite A, Port Orchard, WA 98367",Port Orchard,HERBALHEALINGMEMBERS@WEEDKITSAP.COM,3062 SW HWY 16 Suite A,WA,HERBAL HEALING,recreational,98367,0.0,
21+ RECREATIONAL MARIJUANA,423775,3062 SW HWY 16 STE A,6040000000000000.0,,BREMERTON               ,WA,KITSAP,98312-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-03-16,2064278666,0,0,herbal-healing-safe-access,184.0,https://weedmaps.com/dispensaries/herbal-healing-safe-access,"3062 SW HWY 16 Suite A, Port Orchard, WA 98367",Port Orchard,HERBALHEALINGMEMBERS@WEEDKITSAP.COM,3062 SW HWY 16 Suite A,WA,HERBAL HEALING,recreational,98367,0.0,
21+ RECREATIONAL MARIJUANA,423775,3062 SW HWY 16 STE A,6040000000000000.0,,BREMERTON               ,WA,KITSAP,98312-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-03-16,2064278666,0,0,herbal-healing-safe-access,215.0,https://weedmaps.com/dispensaries/herbal-healing-safe-access,"3062 SW HWY 16 Suite A, Port Orchard, WA 98367",Port Orchard,HERBALHEALINGMEMBERS@WEEDKITSAP.COM,3062 SW HWY 16 Suite A,WA,HERBAL HEALING,recreational,98367,0.0,
21+ RECREATIONAL MARIJUANA,423775,3062 SW HWY 16 STE A,6040000000000000.0,,BREMERTON               ,WA,KITSAP,98312-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2017-03-16,2064278666,0,0,herbal-healing-safe-access,227.0,https://weedmaps.com/dispensaries/herbal-healing-safe-access,"3062 SW HWY 16 Suite A, Port Orchard, WA 98367",Port Orchard,HERBALHEALINGMEMBERS@WEEDKITSAP.COM,3062 SW HWY 16 Suite A,WA,HERBAL HEALING,recreational,98367,0.0,
25 TREES,84154,3213 S 38TH ST STE C,6030000000000000.0,,TACOMA                  ,WA,PIERCE,98404-1094,MARIJUANA RETAILER,PENDING (ISSUED),2017-04-05,2533768562,1,Manual Validation,,,,,,,,,,,,,
25K FARMS,416058,6790 MARTIN WAY E,6033600000000000.0,,LACEY                   ,WA,THURSTON,98516-5556,MARIJUANA PROCESSOR,PENDING (NOT ISSUED),2013-12-24,4255311122,0,0,,,,,,,,,,,,,
28 GRAHAMS CANNABIS,428654,10315 200TH ST E,6030000000000000.0,,GRAHAM                  ,WA,PIERCE,98338-0000,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-10,2537405648,0,0,,,,,,,,,,,,,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,101.0,http://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE #202, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE #202,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,127.0,http://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE #202, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE #202,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,154.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,184.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,215.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,227.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,242.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,413310,17517 15TH AVE NE STE 202,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-09-26,2065577778,0,0,365-recreational-cannabis,245.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B,Shoreline,Washington 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,422099,36711 U.S. HIGHWAY 12,6040000000000000.0,,DAYTON                  ,WA,COLUMBIA,98328-8622,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-05-07,5093823161,0,0,,,,,,,,,,,,,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,101.0,http://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE #202, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE #202,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,127.0,http://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE #202, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE #202,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,154.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,184.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,215.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,227.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,242.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B, Shoreline, WA 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
365 RECREATIONAL CANNABIS,423784,17517 15TH AVE NE #B,6030000000000000.0,,SHORELINE               ,WA,KING,98155-3801,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-19,2065577778,0,0,365-recreational-cannabis,245.0,https://weedmaps.com/dispensaries/365-recreational-cannabis,"17517 15th Ave NE Unit B,Shoreline,Washington 98155",Shoreline,RECREATIONAL365@YAHOO.COM,17517 15th Ave NE Unit B,WA,365 CANNABIS SEATTLE,recreational,98155,0.0,
395 HERB,430369,3948B 3RD AVE UNIT 2,6040000000000000.0,,LOON LAKE               ,WA,STEVENS,99148-9683,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-02,5096440420,0,0,,,,,,,,,,,,,
4 US RETAIL,413700,23251 HWY 20,6020000000000000.0,,OKANOGAN                ,WA,OKANOGAN,98840-0000,MARIJUANA RETAILER,PENDING (NOT ISSUED),2017-03-03,5094296082,0,0,,,,,,,,,,,,,
418BAL ACCESS RETAIL,414418,661 NESS' CORNER RD,6030000000000000.0,,PORT HADLOCK            ,WA,JEFFERSON,98339-0000,MARIJUANA RETAILER,CLOSED (PERMANENT),2016-04-28,3602977996,0,0,,,,,,,,,,,,,
420 CAPITOL,424848,5980 CAPITOL BLVD SE,6040000000000000.0,,TUMWATER                ,WA,THURSTON,98501-5274,MARIJUANA RETAILER,ACTIVE (ISSUED),2020-06-16,3604026368,0,0,,,,,,,,,,,,,
420 CARPENTER,415083,422 CARPENTER RD STE 105,6030000000000000.0,,LACEY                   ,WA,THURSTON,98503-7906,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-11-21,3604026368,0,0,,,,,,,,,,,,,
