License Number,Visit Date,Penalty Type,Case #,WAC Code,Violation Type,City Name,County Name
415486,04/12/2017 12:00:00 AM,Written Warning,3L7102A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,REDMOND,KING
412170,12/16/2015 12:00:00 AM,Written Warning,7D5350A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORPORATED AREAS,THURSTON
412218,08/29/2014 12:00:00 AM,Written Warning,7D4241A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),PORT ANGELES,CLALLAM
412784,09/03/2015 12:00:00 AM,Written Warning,7L5246A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
413426,08/05/2015 12:00:00 AM,Written Warning,4F5217A,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,UNINCORP. AREAS,BENTON
414101,10/15/2014 12:00:00 AM,Written Warning,4X4288A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,SPOKANE (CITY),SPOKANE
412515,12/02/2015 12:00:00 AM,Written Warning,7D5336A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,GRAYS HARBOR
414664,02/10/2015 12:00:00 AM,Written Warning,4X5041A,314.55.155(2),(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,SPOKANE
413626,10/22/2015 12:00:00 AM,Written Warning,7C5295A,314.55.082,(MJ) Failure to maintain required insurance.,UNINCORPORATED AREAS,MASON
417142,08/20/2015 12:00:00 AM,Written Warning,7D5232A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),TACOMA,PIERCE
413258,04/20/2015 12:00:00 AM,Written Warning,1T5110A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,PIERCE
415853,12/29/2016 12:00:00 AM,Written Warning,7B6364A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,KING
415064,09/12/2016 12:00:00 AM,Written Warning,3A6256A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,BLAINE,WHATCOM
415238,07/16/2015 12:00:00 AM,Written Warning,3V5197A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,SNOHOMISH
413719,07/31/2015 12:00:00 AM,Written Warning,7I5212A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments (producer),UNINCORP. AREAS,WHATCOM
416158,10/27/2016 12:00:00 AM,Written Warning,7M6301A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,STEVENS
402039,04/29/2015 12:00:00 AM,Written Warning,2A5119B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
414829,08/30/2016 12:00:00 AM,Written Warning,3E6243A,314.55.083(3),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,SNOHOMISH
414680,08/08/2016 12:00:00 AM,Written Warning,3G6221A,314.55.079(6),(MJ) Operating plan: Violations of a board-approved operating plan.,EVERETT,SNOHOMISH
413806,04/29/2015 12:00:00 AM,Written Warning,4H5119A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,CHELAN
414958,10/06/2015 12:00:00 AM,Written Warning,4H5279A,69.50.357,(MJ) Retail outlet selling unauthorized products.,ELLENSBURG,KITTITAS
413123,08/22/2016 12:00:00 AM,Written Warning,7C6235A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,THURSTON
412107,08/03/2015 12:00:00 AM,Written Warning,7E5215B,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments (producer),UNINCORP. AREAS,KITSAP
412106,11/20/2014 12:00:00 AM,Written Warning,7D4324B,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORP. AREAS,CLALLAM
422993,09/15/2016 12:00:00 AM,Written Warning,7P6259A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,CHELAN
413481,06/26/2015 12:00:00 AM,Written Warning,4I5177A,314.55.079,(MJ) Retail outlet selling unauthorized products.,EAST WENATCHEE,DOUGLAS
416763,02/01/2017 12:00:00 AM,Written Warning,7M7032A,314.55.085,(MJ) Violation of transportation requirements.,UNINCORPORATED AREAS,FERRY
412063,09/23/2014 12:00:00 AM,Written Warning,7D4266A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),SEATTLE,KING
412672,11/07/2014 12:00:00 AM,Written Warning,7G4311A,314.55.155(2),(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,SNOHOMISH
412218,08/29/2014 12:00:00 AM,Written Warning,7D4241A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),PORT ANGELES,CLALLAM
412149,10/24/2014 12:00:00 AM,Written Warning,7B4297A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,RAYMOND,PACIFIC
413980,08/04/2015 12:00:00 AM,Written Warning,1Q5216C,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BUCKLEY,PIERCE
412591,08/26/2015 12:00:00 AM,Written Warning,7H5238A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments (producer),UNINCORPORATED AREAS,CHELAN
416475,08/04/2016 12:00:00 AM,Written Warning,7L6217A,314.55.085,(MJ) Violation of transportation requirements. (producer),MOXEE,YAKIMA
413039,05/12/2015 12:00:00 AM,Written Warning,7O5132A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,BENTON
412362,01/08/2016 12:00:00 AM,Written Warning,7O6008A,314.55.083,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,BENTON
412688,10/03/2014 12:00:00 AM,Written Warning,7L4276A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,KLICKITAT
412079,12/28/2015 12:00:00 AM,Written Warning,7E5362A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),VANCOUVER,CLARK
416902,04/13/2017 12:00:00 AM,Written Warning,7M7103A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORP. AREAS,STEVENS
413847,01/18/2017 12:00:00 AM,Written Warning,1C7018A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,THURSTON
412697,11/23/2016 12:00:00 AM,Written Warning,7O6328A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,BENTON
412442,04/25/2017 12:00:00 AM,Written Warning,7N7115B,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SPOKANE
417010,12/07/2015 12:00:00 AM,Written Warning,7B5341A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,AUBURN,KING
413084,07/15/2015 12:00:00 AM,Written Warning,7L5196A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,YAKIMA
414755,02/10/2015 12:00:00 AM,Written Warning,4I5041A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",WENATCHEE,CHELAN
415984,11/09/2015 12:00:00 AM,Written Warning,7O5313A,314.55.099,(MJ) Failure to maintain standardized scale requirements (producer).,UNINCORP. AREAS,BENTON
413380,08/25/2015 12:00:00 AM,Written Warning,7I5237A,314.55.035,(MJ) True party of interest violation.,UNINCORP. AREAS,WHATCOM
412616,11/02/2016 12:00:00 AM,Written Warning,7M6307A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SPOKANE
413683,12/08/2014 12:00:00 AM,Written Warning,3H4342A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,SNOHOMISH
415719,06/25/2015 12:00:00 AM,Written Warning,7M5176A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),AIRWAY HEIGHTS,SPOKANE
413558,12/12/2014 12:00:00 AM,Written Warning,2E4346A,314.55.155(2),(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
415665,04/26/2017 12:00:00 AM,Written Warning,7H7116B,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,OKANOGAN
412618,07/31/2015 12:00:00 AM,Written Warning,7O5212A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,CHELAN
413773,03/30/2015 12:00:00 AM,Written Warning,4A5089A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNION GAP,YAKIMA
402107,07/28/2015 12:00:00 AM,Written Warning,2B5209D,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
413791,09/03/2015 12:00:00 AM,Written Warning,2J5246C,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,RENTON,KING
412240,10/22/2014 12:00:00 AM,Written Warning,7H4295A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORP. AREAS,OKANOGAN
415692,11/04/2015 12:00:00 AM,Written Warning,7N5308B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),SPOKANE VALLEY,SPOKANE
412672,09/26/2014 12:00:00 AM,Written Warning,7G4269A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,SNOHOMISH
413541,03/03/2016 12:00:00 AM,Written Warning,1P6063A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,PORT ORCHARD,KITSAP
412598,03/02/2016 12:00:00 AM,Written Warning,7G6062A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,ARLINGTON,SNOHOMISH
412943,08/29/2014 12:00:00 AM,Written Warning,7D4241C,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),UNINCORP. AREAS,KITSAP
416183,01/04/2017 12:00:00 AM,Written Warning,7G7004A,314.55.035,(MJ) True party of interest violation.,UNINCORPORATED AREAS,SNOHOMISH
412063,09/23/2014 12:00:00 AM,Written Warning,7D4266A,314.55.085,(MJ) Violation of transportation requirements. (producer),SEATTLE,KING
412226,01/26/2017 12:00:00 AM,Written Warning,7N7026A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SPOKANE
412069,07/31/2015 12:00:00 AM,Written Warning,7J5212A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments (producer),SEATTLE,KING
413481,02/06/2015 12:00:00 AM,Written Warning,4I5037B,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",EAST WENATCHEE,DOUGLAS
412672,03/02/2015 12:00:00 AM,Written Warning,7D5061A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SNOHOMISH
412300,06/24/2015 12:00:00 AM,Written Warning,7D5175A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,JEFFERSON
412830,02/25/2015 12:00:00 AM,Written Warning,7M5056A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORP. AREAS,LINCOLN
412118,06/02/2016 12:00:00 AM,Written Warning,7B6154A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,SEATTLE,KING
415726,08/31/2016 12:00:00 AM,Written Warning,7M6244A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,STEVENS
413596,04/23/2016 12:00:00 AM,Written Warning,4C6114A,314.55.079,(MJ) Violation of transportation requirements.,UNION GAP,YAKIMA
414731,12/27/2016 12:00:00 AM,Written Warning,2A6363A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
413426,08/05/2015 12:00:00 AM,Written Warning,4F5217A,69.50.357,(MJ) Licensee and/or employee open and/or consuming marijuana on a  licensed premises.,UNINCORP. AREAS,BENTON
413912,10/14/2016 12:00:00 AM,Written Warning,7H6290A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,OKANOGAN
414755,01/22/2016 12:00:00 AM,Written Warning,4G6025B,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,WENATCHEE,CHELAN
415325,06/19/2015 12:00:00 AM,Written Warning,2A5170B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
416843,02/05/2015 12:00:00 AM,Written Warning,7N5036A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,SPOKANE VALLEY,SPOKANE
414280,04/25/2017 12:00:00 AM,Written Warning,1M7110A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORP. AREAS,COWLITZ
413319,04/29/2015 12:00:00 AM,Written Warning,2A5119A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
421261,07/08/2016 12:00:00 AM,Written Warning,2H6190A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,SEATTLE,KING
422298,01/18/2017 12:00:00 AM,Written Warning,1F7018A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,MASON
412069,10/01/2014 12:00:00 AM,Written Warning,7F4274A,314.55.155(2),(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
416539,12/17/2014 12:00:00 AM,Written Warning,7N4351A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,STEVENS
423402,12/28/2016 12:00:00 AM,Written Warning,2K6363A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",SEATTLE,KING
422993,11/04/2016 12:00:00 AM,Written Warning,7P6309B,314.55.104,(MJ) Marijuana processor extraction requirements.,UNINCORPORATED AREAS,CHELAN
421667,02/17/2017 12:00:00 AM,Written Warning,3H7048A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,SNOHOMISH
414495,08/07/2015 12:00:00 AM,Written Warning,3F5219A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORPORATED AREAS,SNOHOMISH
412069,10/02/2014 12:00:00 AM,Written Warning,7F4275A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,SEATTLE,KING
412815,05/20/2016 12:00:00 AM,Written Warning,7P6141A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,CHELAN
416730,08/03/2016 12:00:00 AM,Written Warning,7L6216A,314.55.085,(MJ) Violation of transportation requirements. (producer),MOXEE,YAKIMA
406050,06/19/2015 12:00:00 AM,AVN,4T5170B,314.55.079,(MJ) Sale or service to minor,SPOKANE (CITY),SPOKANE
413258,05/16/2016 12:00:00 AM,Written Warning,1G6137A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",UNINCORPORATED AREAS,PIERCE
414225,07/29/2014 12:00:00 AM,Written Warning,4F4210A,314.55.087,(MJ) Records: Improper recordkeeping.,PROSSER,BENTON
422460,11/23/2016 12:00:00 AM,Written Warning,1W6328A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORP. AREAS,CLALLAM
421630,07/28/2016 12:00:00 AM,Written Warning,3G6210C,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,SNOHOMISH
412084,11/13/2015 12:00:00 AM,Written Warning,7O5324A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,BENTON
416199,07/27/2016 12:00:00 AM,Written Warning,7R6209A,314.55.035,(MJ) True party of interest violation.,UNINCORPORATED AREAS,GRAYS HARBOR
416504,08/22/2016 12:00:00 AM,Written Warning,7O6235A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,LINCOLN
423204,08/15/2016 12:00:00 AM,Written Warning,7M6228A,314.55.087,(MJ) Records: Improper recordkeeping.,UNINCORPORATED AREAS,SPOKANE
414111,03/02/2016 12:00:00 AM,Written Warning,7D6062A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,MASON
415726,10/22/2015 12:00:00 AM,Written Warning,7M5295B,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,STEVENS
413718,08/03/2015 12:00:00 AM,Written Warning,7E5215A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments (producer),TACOMA,PIERCE
422218,06/06/2016 12:00:00 AM,Written Warning,3J6158A,314.55.079(6),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,KIRKLAND,KING
416412,03/04/2016 12:00:00 AM,Written Warning,7D6064A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,MASON
412044,01/22/2015 12:00:00 AM,Written Warning,7D5022A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,KING
413683,12/09/2014 12:00:00 AM,Written Warning,3H4343A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",UNINCORPORATED AREAS,SNOHOMISH
414491,04/07/2017 12:00:00 AM,Written Warning,2Q7097C,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,COVINGTON,KING
416231,08/07/2015 12:00:00 AM,Written Warning,7N5219A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,STEVENS
414958,12/22/2016 12:00:00 AM,Written Warning,4G6357A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",ELLENSBURG,KITTITAS
412784,10/16/2016 12:00:00 AM,Written Warning,7L6290A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
414398,09/28/2015 12:00:00 AM,Written Warning,3G5271A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,SNOHOMISH
423204,08/15/2016 12:00:00 AM,Written Warning,7M6228A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SPOKANE
415889,07/15/2016 12:00:00 AM,Written Warning,7O6197A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,BENTON
414417,07/23/2014 12:00:00 AM,Written Warning,3L4204A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,BELLEVUE,KING
416315,03/22/2016 12:00:00 AM,Written Warning,7J6083B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),SEATTLE,KING
413319,06/19/2015 12:00:00 AM,Written Warning,2A5170A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
412784,02/10/2016 12:00:00 AM,Written Warning,4D6041A,314.55.105,(MJ) Packaging and/or labeling violations (producer).,MOXEE,YAKIMA
412097,05/17/2016 12:00:00 AM,Written Warning,7E6138A,314.55.085,(MJ) Violation of transportation requirements.,LONGVIEW,COWLITZ
