Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source
THE GRASS STATION                            ,422658,6.04E+15,103B W GALBREATH WAY          ,                         ,RITZVILLE               ,WA,ADAMS,991690000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191105,5094998462,0,0
GREEN COLLAR CANNABIS                        ,412923,6.03E+15,10422 PACIFIC AVE S STE B     ,                         ,TACOMA                  ,WA,PIERCE,984446052,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191112,2533145113,0,0
OCEAN GREENS                                 ,428942,6.03E+15,10524 AURORA AVE N            ,                         ,SEATTLE                 ,WA,KING,981338812,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190927,2062299893,0,0
SATIVA SISTERS                               ,413739,6.03E+15,10525 E TRENT AVE STE 1       ,                         ,SPOKANE                 ,WA,SPOKANE,992064516,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191214,2086603909,0,0
SEATTLE TREES COLLECTIVE                     ,413519,6.03E+15,10532 GREENWOOD AVE N         ,                         ,SEATTLE                 ,WA,KING,981338721,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191112,2533208712,0,0
BUD BARN                                     ,428005,6.04E+15,10619 VANCIL RD SE            ,                         ,YELM                    ,WA,THURSTON,985979504,MARIJUANA RETAILER                 ,PENDING (ISSUED),20190701,3609601220,0,0
SHELTON CANNABIS COMPANY                     ,426677,6.04E+15,1065 SE STATE ROUTE 3         ,                         ,SHELTON                 ,WA,MASON,985849195,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200313,4044063054,0,0
BLOOM                                        ,414103,6.04E+15,10707 PACIFIC AVE S SUITE D   ,                         ,TACOMA                  ,WA,PIERCE,984446098,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190921,0,0,0
THE WEST SEATTLE MARIJUANA COMPANY           ,414868,6.03E+15,10825 MYERS WAY S             ,                         ,SEATTLE                 ,WA,KING,981681367,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200414,2069492124,0,0
MODERN CREATIONS LLC                         ,422951,6.03E+15,10825 MYERS WAY S STE 200     ,                         ,SEATTLE                 ,WA,KING,981681367,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200205,2063355857,0,0
NIMBIN FARM                                  ,415658,6.03E+15,10859 1ST AVE S STE A         ,                         ,SEATTLE                 ,WA,KING,981681309,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200221,2532617600,0,0
THE SAGE SHOP                                ,420764,6.03E+15,1096 HWY 153                  ,                         ,METHOW                  ,WA,OKANOGAN,988340000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191106,5093225286,0,0
MUKILTEO CANNABIS CO                         ,421952,6.04E+15,11012 MUKILTEO SPEEDWAY #A    ,                         ,MUKILTEO                ,WA,SNOHOMISH,982755400,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170201,2534595741,0,0
HERBN ELEMENTS                               ,413570,6.04E+15,11013 LAKE CITY WAY NE        ,                         ,SEATTLE                 ,WA,KING,981250000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200409,4029269892,0,0
STAR 21                                      ,421695,6.04E+15,11042 1ST AVENUE S            ,                         ,SEATTLE                 ,WA,KING,981681402,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200226,2065367791,0,0
UNCLE IKE'S                                  ,420793,6.05E+15,11064 LAKE CITY WAY NE  STE 6 ,STE 6                    ,SEATTLE                 ,WA,KING,981256730,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200624,2064203784,0,0
THE REEF                                     ,413870,6.03E+15,1107 N CALLOW AVE STE C       ,                         ,BREMERTON               ,WA,KITSAP,983123007,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191005,2066866362,0,0
CANNABIZ                                     ,87932,6.03E+15,1109 RIVER RD STE A           ,                         ,PUYALLUP                ,WA,PIERCE,983713848,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191018,2532611850,0,0
HWY 420                                      ,413843,6.03E+15,1110 CHARLESTON BEACH RD W    ,                         ,BREMERTON               ,WA,KITSAP,983124504,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200414,3609323182,0,0
KING CRONIC                                  ,425925,6.04E+15,1110 E YELM AVE STE C         ,                         ,YELM                    ,WA,THURSTON,985977690,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191219,3609676056,0,0
LUCKY LEAF                                   ,422442,6.03E+15,1111 W 1ST AVE STE A          ,                         ,SPOKANE                 ,WA,SPOKANE,992014005,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191008,5095194248,0,0
KUSHMAN                                      ,415287,6.03E+15,11110 MUKILTEO SPEEDWAY       ,SUITE 102                ,MUKILTEO                ,WA,SNOHOMISH,982755450,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200117,4254441575,0,0
THE SMOKIAM                                  ,88262,6.03E+15,112 DAISY ST S                ,                         ,SOAP LAKE               ,WA,GRANT,988519119,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,5092899443,0,0
URBAN BUD                                    ,415010,6.03E+15,112 S 24TH ST                 ,                         ,TACOMA                  ,WA,PIERCE,984022904,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200220,2533271572,0,0
GREEN RUSH INVESTMENT                        ,421632,6.04E+15,1123 SLEATER KINNEY RD SE     ,                         ,LACEY                   ,WA,THURSTON,985032300,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190824,2487050988,0,0
BUD HUT                                      ,413901,6.03E+15,1131 E STATE ROUTE 532        ,                         ,CAMANO ISLAND           ,WA,ISLAND,982828833,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200515,4254789928,0,0
BLOOM CANNABIS                               ,350766,6.04E+15,11311 HWY 99                  ,                         ,EVERETT                 ,WA,SNOHOMISH,982044816,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190921,0,0,0
"HIGH TIDE COMPANIES, LLC                     ",420894,6.04E+15,11325 HIGHWAY 99              ,                         ,EVERETT                 ,WA,SNOHOMISH,982044816,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200114,0,0,0
WESTERN BUD                                  ,414959,6.03E+15,11401 RAINIER AVE S           ,                         ,SEATTLE                 ,WA,KING,981783947,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191218,2066124887,0,0
LUCID CANNABIS COMPANY                       ,420497,6.04E+15,11414 N. NEWPORT HWY          ,                         ,SPOKANE                 ,WA,SPOKANE,992181616,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191127,2532269284,0,0
EVERGREEN MARKET - KIRKLAND                  ,357129,6.04E+15,11438 NE 124TH ST             ,                         ,KIRKLAND                ,WA,KING,980344305,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191220,4257652935,0,0
OZ. KING CANNABIS                            ,414573,6.03E+15,11463 RAINIER AVE S STE A     ,                         ,SEATTLE                 ,WA,KING,981783963,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191107,2062517358,0,0
HWY 420                                      ,413427,6.03E+15,11493 CLEAR CREEK RD          ,                         ,SILVERDALE              ,WA,KITSAP,983839657,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200605,3604408671,0,0
HAVE A HEART                                 ,423379,6.03E+15,115 BLANCHARD ST              ,                         ,SEATTLE                 ,WA,KING,981212020,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191004,5202508988,0,0
THE SLOW BURN                                ,414470,6.03E+15,1151 MARKET ST                ,                         ,UNION GAP               ,WA,YAKIMA,989030000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200605,5094522787,0,0
NORTHWEST CANNABIS CONNECTION                ,423492,6.03E+15,11522 CANYON RD E             ,                         ,PUYALLUP                ,WA,PIERCE,983734360,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190702,2532920444,0,0
CLUTCH CANNABIS                              ,413803,6.03E+15,11537 RAINIER AVE S           ,                         ,SEATTLE                 ,WA,KING,981783984,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191022,2063210149,0,0
BUD HUT                                      ,415504,6.03E+15,11603 HWY 99                  ,                         ,EVERETT                 ,WA,SNOHOMISH,982044811,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191024,4253531449,0,0
EVERETT CANNABIS                             ,421448,6.04E+15,11627 AIRPORT RD              ,SUITE F                  ,EVERETT                 ,WA,SNOHOMISH,982048714,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171123,2068908368,0,0
FORBIDDEN CANNABIS CLUB                      ,422785,6.04E+15,1171 WIND RIVER HIGHWAY       ,SUITE A                  ,CARSON                  ,WA,SKAMANIA,986100000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200414,2532241442,0,0
SEEDZ FAMILY                                 ,422232,6.03E+15,1180 BURLINGTON BLVD          ,                         ,BURLINGTON              ,WA,SKAGIT,982333333,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200604,4252809482,0,0
ORCHARDS CANNABIS MARKET                     ,83380,6.04E+15,11800 NE 65TH ST              ,                         ,VANCOUVER               ,WA,CLARK,986625552,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200429,3607987194,0,0
KUSH POINTE                                  ,421630,6.03E+15,11811 MUKILTEO SPEEDWAY       ,UNIT 111                 ,MUKILTEO                ,WA,SNOHOMISH,982755442,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191128,2065795394,0,0
THE GALLERY CANYON                           ,413813,6.03E+15,11821 CANYON RD E             ,                         ,PUYALLUP                ,WA,PIERCE,983734453,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191207,3052988577,0,0
STARBUDS LLC                                 ,420336,6.04E+15,11834 NE 90TH ST              ,                         ,KIRKLAND                ,WA,KING,980335814,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200618,4252693242,0,0
HERBAL E SCENTS                              ,411970,6.02E+15,120 NE CANNING DR             ,                         ,COLVILLE                ,WA,STEVENS,991142004,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200619,5096844420,0,0
FWEEDOM CANNABIS                             ,412922,6.03E+15,12001 AURORA AVE N UNIT #1    ,                         ,SEATTLE                 ,WA,KING,981338249,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200424,2064190260,0,0
SEATTLE TONICS                               ,414731,6.03E+15,12059 AURORA AVE N            ,                         ,SEATTLE                 ,WA,KING,981338249,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191024,2063636000,0,0
"MOUNT BAKER RETAIL PARTNERS, LLC             ",422361,6.03E+15,1209 HWY 281 SPUR SUITE K     ,                         ,QUINCY                  ,WA,GRANT,988489510,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191227,4257530673,0,0
THE HAPPY CROP SHOPPE                        ,420934,6.03E+15,1210 N WENATCHEE AVE STE J    ,                         ,WENATCHEE               ,WA,CHELAN,988016707,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190720,5096696835,0,0
NSK CANNABIS                                 ,425584,6.03E+15,1212 N GRAND AVE              ,                         ,PULLMAN                 ,WA,WHITMAN,991633427,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200104,2069308577,0,0
SPARKET                                      ,86823,6.03E+15,1215 E FRONT ST               ,                         ,PORT ANGELES            ,WA,CLALLAM,983624309,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191018,3604604902,0,0
MARIJUANA CLUB 99                            ,415674,6.04E+15,1215 N LAKE SAMISH DR STE 2   ,                         ,BELLINGHAM              ,WA,WHATCOM,982299310,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180403,2533208712,0,0
SOUTH BELLINGHAM BUDS                        ,422930,6.03E+15,1215 N LAKE SAMISH DR UNIT 1  ,                         ,BELLINGHAM              ,WA,WHATCOM,982299310,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191023,3038295712,0,0
DESTINATION HIGHWAY 420                      ,414503,6.03E+15,1225 HOLLIS ST                ,                         ,BREMERTON               ,WA,KITSAP,983103611,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191225,3603406996,0,0
PEND OREILLE CANNABIS CO                     ,76189,6.04E+15,124 RIVERSIDE AVE             ,                         ,IONE                    ,WA,PEND OREILLE,991390000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191011,5094423420,0,0
CASCADE HERB COMPANY                         ,415094,6.03E+15,1240 E MAPLE ST STE 103       ,                         ,BELLINGHAM              ,WA,WHATCOM,982255749,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191210,3607782357,0,0
NW CHRONICLES                                ,415634,6.03E+15,12402 134TH AVE KPN           ,STE A                    ,GIG HARBOR              ,WA,PIERCE,983295544,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200331,2535740955,0,0
HIGHER LEAF MARIJUANA BOUTIQUE               ,422218,6.03E+15,12525 WILLOWS RD NE STE 10    ,                         ,KIRKLAND                ,WA,KING,980348735,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200512,4258205967,0,0
"MOUNT BAKER RETAIL PARTNERSHIP,LLC           ",422981,6.03E+15,12539 E MARGINAL WAY S STE C  ,                         ,TUKWILA                 ,WA,KING,981682560,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200131,4257530673,0,0
TRU GREENTHUMB                               ,407950,6.04E+15,1254 MT SAINT HELENS WAY NE #C,STE C                    ,CASTLE ROCK             ,WA,COWLITZ,986119010,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200130,0,0,0
MARIJUANA CLUB 99                            ,426895,6.04E+15,12631 HWY 99 STE A            ,                         ,EVERETT                 ,WA,SNOHOMISH,982040000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200213,4252688875,0,0
GREEN THEORY FACTORIA                        ,421777,6.04E+15,12827 SE 40TH PL              ,                         ,BELLEVUE                ,WA,KING,980061232,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200512,2069921911,0,0
HAVE A HEART                                 ,415333,6.03E+15,12833 MARTIN LUTHER KING JR   ,WAY S                    ,SEATTLE                 ,WA,KING,981783513,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200221,2062618206,0,0
III KING COMPANY                             ,414750,6.03E+15,12925 MARTIN LUTHER KINGJR WAY,                         ,SEATTLE                 ,WA,KING,981780000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191019,2064911397,0,0
SLOW BURN                                    ,414508,6.03E+15,1300 N 40TH ST STE 111        ,                         ,YAKIMA                  ,WA,YAKIMA,989080000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200605,5099692600,0,0
FORBIDDEN FLOWER                             ,422303,6.04E+15,13003 TUKWILA INTERNATIONAL BL,UNIT A                   ,TUKWILA                 ,WA,KING,981683139,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200305,2062350635,0,0
THE GALLERY PARKLAND                         ,413258,6.03E+15,13005 PACIFIC AVE S           ,                         ,TACOMA                  ,WA,PIERCE,984444857,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190709,3052988577,0,0
V.S.W.                                       ,362444,6.04E+15,13014 WA-99                   ,                         ,EVERETT                 ,WA,SNOHOMISH,982040000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171225,2062715468,0,0
THE TOP SHELF                                ,414716,6.04E+15,1305 S HAYFORD RD STE A       ,                         ,AIRWAY HEIGHTS          ,WA,SPOKANE,992245276,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200505,5094741050,0,0
KARMA CANNABIS                               ,421168,6.04E+15,131 RIVER RD   STE A          ,                         ,SEQUIM                  ,WA,CLALLAM,983829804,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191010,3604606641,0,0
HAPPY TIME                                   ,354876,6.04E+15,1315 N 1ST ST                 ,                         ,YAKIMA                  ,WA,YAKIMA,989011801,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200430,5094802097,0,0
THE POT SHOP BELLINGHAM                      ,430084,6.04E+15,1321 W BAKERVIEW RD           ,                         ,BELLINGHAM              ,WA,WHATCOM,982269691,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200317,3607560000,0,0
KUSHMART SOUTH EVERETT                       ,416102,6.04E+15,13220 HWY 99 S                ,                         ,EVERETT                 ,WA,SNOHOMISH,982045424,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200401,4255820088,0,0
KUSH 21                                      ,415406,6.05E+15,13224 HWY 99 STE A            ,                         ,EVERETT                 ,WA,SNOHOMISH,982045424,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,3605611664,0,0
THE VAULT CANNABIS                           ,88920,6.03E+15,1323 E PIONEER HWY            ,                         ,STANWOOD                ,WA,SNOHOMISH,982920000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191019,4252488559,0,0
APEX CANNABIS                                ,425767,6.03E+15,1325 N DIVISION ST STE 104    ,                         ,SPOKANE                 ,WA,SPOKANE,992021808,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190702,5094990646,0,0
FREEDOM MARKET ILWACO                        ,421757,6.04E+15,133 HOWERTON AVE SE STE B     ,                         ,ILWACO                  ,WA,PACIFIC,986249088,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191017,3607036090,0,0
THE ROACH 420                                ,414216,6.03E+15,133 STATE AVE                 ,                         ,BREWSTER                ,WA,DOUGLAS,988129643,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191031,5094497334,0,0
SATORI                                       ,417114,6.03E+15,1330 SE BISHOP BLVD           ,                         ,PULLMAN                 ,WA,WHITMAN,991630000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200601,5099947051,0,0
MJ'S POT SHOP                                ,415314,6.03E+15,1335 SE BISHOP BLVD           ,                         ,PULLMAN                 ,WA,WHITMAN,991636408,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191217,5093321011,0,0
WE'RE JUST BUDS                              ,414995,6.03E+15,1340 SE BISHOP BLVD STE A     ,                         ,PULLMAN                 ,WA,WHITMAN,991636409,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200602,5093320160,0,0
MARY JANE                                    ,415652,6.03E+15,13513 NE 126TH PL SUITE C     ,                         ,KIRKLAND                ,WA,KING,980340000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200327,4252996565,0,0
GREEN CITY COLLECTIVE                        ,413737,6.03E+15,13601 HIGHWAY 99 STE B        ,                         ,EVERETT                 ,WA,SNOHOMISH,982045496,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171021,4258693670,0,0
420 SPOT SHOP                                ,414550,6.03E+15,1374 SE LUND AVE              ,                         ,PORT ORCHARD            ,WA,KITSAP,983665628,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200307,3603405966,0,0
EUPHORIUM 420                                ,422120,6.03E+15,13813 HWY 99                  ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871723,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191125,4255774533,0,0
WESTERN BUD                                  ,421707,6.04E+15,1401 IOWA ST                  ,                         ,BELLINGHAM              ,WA,WHATCOM,982294763,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190821,3609331428,0,0
THE HERBERY                                  ,428826,6.03E+15,1401 NE 78TH ST               ,                         ,VANCOUVER               ,WA,CLARK,986650000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200511,3609079694,0,0
FLOYD'S CANNABIS CO.                         ,414223,6.04E+15,1403 E 1ST STREET             ,                         ,PORT ANGELES            ,WA,CLALLAM,983624607,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200228,0,0,0
LOVELY BUDS DIVISION                         ,410798,6.04E+15,1403 N DIVISION ST STE A      ,                         ,SPOKANE                 ,WA,SPOKANE,992021810,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190731,2082904347,0,0
STARBUDS                                     ,429453,6.04E+15,141 SAMISH WAY STE 145        ,                         ,BELLINGHAM              ,WA,WHATCOM,982256033,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191104,3606710111,0,0
MR. DOOBEES                                  ,424190,6.03E+15,1410 40TH ST                  ,                         ,SEAVIEW                 ,WA,PACIFIC,986442037,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200623,3608758016,0,0
NORTHWEST CANNABIS                           ,413996,6.04E+15,1411 E OLIVE WAY              ,                         ,SEATTLE                 ,WA,KING,981222127,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200618,4256985381,0,0
CINDER                                       ,414817,6.03E+15,1421 N MULLAN RD STE B        ,                         ,SPOKANE VALLEY          ,WA,SPOKANE,992064051,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191101,5092413726,0,0
GREEN LADY EVERETT                           ,421667,6.04E+15,14221 LAKE RD                 ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871710,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,5098697574,0,0
"TJ'S CANNABIS BUDS, OILS, AND MORE           ",415183,6.04E+15,1428 OLYMPIC HWY S STE A      ,                         ,SHELTON                 ,WA,MASON,985840000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190810,3604272990,0,0
THE JOINT                                    ,420389,6.03E+15,14325 1ST AVE S STE 101       ,                         ,BURIEN                  ,WA,KING,981683418,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200321,2062255555,0,0
MULTIVERSE HOLDINGS                          ,414785,6.04E+15,14343 15TH AVE NE             ,                         ,SEATTLE                 ,WA,KING,981253162,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190216,4256985381,0,0
TREEHOUSE CLUB                               ,413369,6.03E+15,14421 E TRENT AVE             ,                         ,SPOKANE VALLEY          ,WA,SPOKANE,992161392,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200618,5094132169,0,0
CANNARAIL STATION                            ,413366,6.04E+15,1448 BASIN ST NW SUITE A      ,                         ,EPHRATA                 ,WA,GRANT,988239695,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190919,5067541047,0,0
"WEST COAST ENGINE DESIGN, LLC                ",422753,6.03E+15,14500 468TH AVE SE STE B      ,                         ,NORTH BEND              ,WA,KING,980450000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191113,4257667077,0,0
A GREENER TODAY MARIJUANA-LYNNWOOD           ,422109,6.04E+15,14608 HWY 99 SUITE #304       ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980875500,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191105,4257736037,0,0
SWEET RELEAF                                 ,413385,6.04E+15,14637 STATE ROUTE 20          ,                         ,MOUNT VERNON            ,WA,SKAGIT,982737276,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200116,2069621025,0,0
RUCKUS                                       ,413692,6.03E+15,1465 E REPUBLICAN ST          ,                         ,SEATTLE                 ,WA,KING,981124512,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190719,2063630930,0,0
HYPEHERBALLY                                 ,425498,6.04E+15,14702 HIGHWAY 99              ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980875522,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200604,4252809482,0,0
DOCKSIDE CANNABIS                            ,414569,6.03E+15,15001 AURORA AVE N            ,STE 15029                ,SHORELINE               ,WA,KING,981336134,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,2066186094,0,0
MR. GREENS CANNABIS                          ,427850,6.04E+15,15029 BOTHELL WAY NE STE 100  ,                         ,LAKE FOREST PARK        ,WA,KING,981557600,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200618,2069202178,0,0
