License Number,Date,"Activity"" ",City Name,County Name
414101,06/29/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
417276,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
414712,06/12/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,GRAYS HARBOR
420477,06/09/2017 12:00:00 AM,Marijuana Premises Check,EDMONDS,SNOHOMISH
422992,06/03/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
420291,06/01/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
415734,06/08/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,ADAMS
422146,06/22/2017 12:00:00 AM,Marijuana Applicant Site Verification,UNINCORPORATED AREAS,SPOKANE
414749,06/20/2017 12:00:00 AM,Marijuana Premises Check,FERNDALE,WHATCOM
421083,06/21/2017 12:00:00 AM,Marijuana Premises Check,SHORELINE,KING
412097,05/12/2017 12:00:00 AM,Marijuana Premises Check,LONGVIEW,COWLITZ
412843,06/19/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
412923,06/27/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
422570,06/27/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,EDMONDS,SNOHOMISH
417095,06/06/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
416926,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
412069,06/06/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
415526,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LONGVIEW,COWLITZ
415880,06/08/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,GRANT
413762,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEDRO WOOLLEY,SKAGIT
414733,06/20/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
414532,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
423096,06/27/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
415513,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LAKE FOREST PARK,KING
412765,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
414287,06/16/2017 12:00:00 AM,Marijuana Premises Check,RAYMOND,PACIFIC
417571,06/13/2017 12:00:00 AM,Marijuana Premises Check,ARLINGTON,SNOHOMISH
413551,06/22/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,CHEHALIS,LEWIS
415694,06/14/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
420889,06/15/2017 12:00:00 AM,Marijuana Premises Check,COVINGTON,KING
413897,06/07/2017 12:00:00 AM,Marijuana Premises Check,NORTH BONNEVILLE,SKAMANIA
413926,06/08/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
422399,05/25/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,EVERETT,SNOHOMISH
412088,06/16/2017 12:00:00 AM,Marijuana Premises Check,RAYMOND,PACIFIC
423000,06/17/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,BELLEVUE,KING
413821,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,OLYMPIA,THURSTON
413802,06/27/2017 12:00:00 AM,Marijuana Premises Check,TUMWATER,THURSTON
415115,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,KENMORE,KING
415486,06/29/2017 12:00:00 AM,Marijuana Premises Check,REDMOND,KING
415132,06/22/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
423492,06/17/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
412735,06/15/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
422332,06/20/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
413739,06/01/2017 12:00:00 AM,Marijuana Premises Check,MILLWOOD,SPOKANE
415523,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
414841,06/15/2017 12:00:00 AM,Marijuana Premises Check,RENTON,KING
420800,06/20/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
413940,06/20/2017 12:00:00 AM,Marijuana Applicant Site Verification,SPOKANE (CITY),SPOKANE
413519,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
414533,06/13/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
414160,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
415112,06/01/2017 12:00:00 AM,Marijuana Premises Check,MILLWOOD,SPOKANE
414495,06/15/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,SNOHOMISH
415124,06/09/2017 12:00:00 AM,Marijuana Premises Check,SOUTH BEND,PACIFIC
424257,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,PIERCE
415333,06/09/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,KING
413813,06/17/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
412923,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
422146,06/20/2017 12:00:00 AM,Marijuana Applicant Site Verification,UNINCORPORATED AREAS,SPOKANE
414500,06/03/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
414573,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
412088,06/21/2017 12:00:00 AM,Marijuana Premises Check,RAYMOND,PACIFIC
416832,06/09/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
410831,06/06/2017 12:00:00 AM,Marijuana Premises Check,MAPLE VALLEY,KING
422612,06/19/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
413665,06/14/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,MASON
416134,06/13/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
413420,06/22/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,PIERCE
415333,06/02/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,KING
416971,06/07/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,GRANT
415693,06/29/2017 12:00:00 AM,Marijuana Premises Check,OKANOGAN,OKANOGAN
414280,06/21/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,COWLITZ
423390,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
413174,06/02/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
423379,06/29/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
414958,06/08/2017 12:00:00 AM,Marijuana Premises Check,ELLENSBURG,KITTITAS
422168,06/21/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,GOLD BAR,SNOHOMISH
422777,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,ISLAND
420800,06/20/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,BELLINGHAM,WHATCOM
415484,06/29/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,TENINO,THURSTON
413372,06/19/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
414731,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
412713,06/22/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
422103,06/24/2017 12:00:00 AM,Marijuana Premises Check,OAK HARBOR,ISLAND
354876,06/06/2017 12:00:00 AM,Marijuana Premises Check,YAKIMA,YAKIMA
422570,06/27/2017 12:00:00 AM,Marijuana Premises Check,EDMONDS,SNOHOMISH
422138,06/02/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,WHITMAN
422109,06/01/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
402780,06/15/2017 12:00:00 AM,Marijuana Premises Check,CLE ELUM,KITTITAS
414714,06/09/2017 12:00:00 AM,Marijuana Premises Check,AUBURN,KING
421759,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
416387,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
414211,06/12/2017 12:00:00 AM,Marijuana Premises Check,CLARKSTON,ASOTIN
412757,06/28/2017 12:00:00 AM,Marijuana Premises Check,GOLD BAR,SNOHOMISH
413134,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
412660,06/22/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,GRANT
424057,06/28/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
414539,06/19/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
421577,06/27/2017 12:00:00 AM,Marijuana Premises Check,REDMOND,KING
413855,06/22/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
420400,06/21/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LONGVIEW,COWLITZ
353993,06/01/2017 12:00:00 AM,Marijuana Premises Check,HOQUIAM,GRAYS HARBOR
421335,06/12/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,THURSTON
413258,06/17/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
422234,06/12/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,GRAYS HARBOR
415959,06/22/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,GRANT
413702,06/28/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
413702,06/28/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
421616,06/29/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
417571,06/09/2017 12:00:00 AM,Marijuana Premises Check,ARLINGTON,SNOHOMISH
076458,06/01/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
415210,06/01/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,KITSAP
413032,06/21/2017 12:00:00 AM,Marijuana Premises Check,ELLENSBURG,KITTITAS
413032,06/21/2017 12:00:00 AM,Marijuana Premises Check,ELLENSBURG,KITTITAS
420819,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
415333,06/02/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
414733,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
414398,06/12/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
416111,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
415198,06/09/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
421695,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
423542,06/01/2017 12:00:00 AM,Marijuana Premises Check,WENATCHEE,CHELAN
416540,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,OLYMPIA,THURSTON
422041,06/15/2017 12:00:00 AM,Marijuana Premises Check,BREMERTON,KITSAP
414868,06/09/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,KING
413369,06/08/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
420889,06/14/2017 12:00:00 AM,Marijuana Premises Check,COVINGTON,KING
412875,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
412402,06/13/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
415032,06/12/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
414983,06/23/2017 12:00:00 AM,Marijuana Premises Check,BELLEVUE,KING
423203,06/05/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,RITZVILLE,ADAMS
412849,06/23/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
417646,06/01/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
420338,06/02/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,RENTON,KING
412109,06/07/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
421448,05/25/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,EVERETT,SNOHOMISH
415333,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
413220,06/26/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
422570,06/07/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,EDMONDS,SNOHOMISH
413846,06/21/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LONGVIEW,COWLITZ
423542,06/21/2017 12:00:00 AM,Marijuana Premises Check,WENATCHEE,CHELAN
414995,06/02/2017 12:00:00 AM,Marijuana Premises Check,PULLMAN,WHITMAN
416753,06/08/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
424751,06/27/2017 12:00:00 AM,Marijuana Premises Check,BUCKLEY,PIERCE
415333,06/01/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
415001,06/12/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,GRAYS HARBOR
422781,06/20/2017 12:00:00 AM,Marijuana Premises Check,MOUNT VERNON,SKAGIT
414298,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
412904,06/21/2017 12:00:00 AM,Marijuana Premises Check,RAYMOND,PACIFIC
362101,05/11/2016 12:00:00 AM,Marijuana Premises Check,,
363165,01/20/2017 12:00:00 AM,Marijuana Premises Check,,
419892,06/06/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
421650,06/09/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,EDMONDS,SNOHOMISH
363823,11/19/2015 12:00:00 AM,Marijuana Premises Check,,
413544,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LONGVIEW,COWLITZ
423096,06/06/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
413431,06/13/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SPOKANE
415509,06/15/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,GOLD BAR,SNOHOMISH
413641,06/13/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,ISLAND
352400,06/20/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
420889,06/09/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,COVINGTON,KING
369480,07/17/2015 12:00:00 AM,Marijuana Premises Check,,
422442,06/06/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
415484,06/14/2017 12:00:00 AM,Marijuana Premises Check,TENINO,THURSTON
413492,06/13/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,JEFFERSON
422572,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,BENTON
422572,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,BENTON
414823,06/01/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
422781,06/20/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,MOUNT VERNON,SKAGIT
420619,05/25/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
415406,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
416612,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,CLARK
417019,06/26/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
420123,06/10/2017 12:00:00 AM,Marijuana Premises Check,FORKS,CLALLAM
414243,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LONGVIEW,COWLITZ
422218,06/19/2017 12:00:00 AM,Marijuana Premises Check,KIRKLAND,KING
424257,06/17/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
413739,06/29/2017 12:00:00 AM,Marijuana Premises Check,MILLWOOD,SPOKANE
421350,06/09/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
422526,06/09/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,LYNNWOOD,SNOHOMISH
413372,06/08/2017 12:00:00 AM,Marijuana Compliance Check-Sale,SEATTLE,KING
415713,06/22/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
424647,06/14/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,YAKIMA
414749,06/23/2017 12:00:00 AM,Marijuana Premises Check,FERNDALE,WHATCOM
413791,06/02/2017 12:00:00 AM,Marijuana Premises Check,RENTON,KING
422012,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,THURSTON
412681,06/02/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
421695,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
415325,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SEATTLE,KING
421786,06/01/2017 12:00:00 AM,Marijuana Premises Check,TUMWATER,THURSTON
412490,06/20/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
412490,06/20/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
423096,06/27/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SPOKANE (CITY),SPOKANE
415037,06/23/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
416203,06/13/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,ISLAND
413683,06/23/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
416134,06/23/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
421448,05/25/2017 12:00:00 AM,Marijuana Premises Check,EVERETT,SNOHOMISH
412247,06/14/2017 12:00:00 AM,Marijuana Premises Check,EVERETT,SNOHOMISH
414503,06/09/2017 12:00:00 AM,Marijuana Premises Check,BREMERTON,KITSAP
420741,06/21/2017 12:00:00 AM,Marijuana Premises Check,BURIEN,KING
412358,06/12/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,GRANT
422055,06/07/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,WHITMAN
412735,06/21/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
413596,06/15/2017 12:00:00 AM,Marijuana Premises Check,UNION GAP,YAKIMA
412882,06/22/2017 12:00:00 AM,Marijuana Premises Check,TUMWATER,THURSTON
417880,06/21/2017 12:00:00 AM,Marijuana Premises Check,PORT ORCHARD,KITSAP
415203,06/30/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
416891,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
413867,06/05/2017 12:00:00 AM,Marijuana Premises Check,AUBURN,KING
415486,06/17/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,REDMOND,KING
415124,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,SOUTH BEND,PACIFIC
423096,06/14/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
422658,06/14/2017 12:00:00 AM,Marijuana Premises Check,RITZVILLE,ADAMS
,06/27/2017 12:00:00 AM,Marijuana Premises Check,,
421786,06/05/2017 12:00:00 AM,Marijuana Premises Check,TUMWATER,THURSTON
423092,06/05/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,GEORGE,GRANT
423203,06/05/2017 12:00:00 AM,Marijuana Premises Check,RITZVILLE,ADAMS
412138,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
413737,06/07/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
420894,06/07/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SNOHOMISH
421695,06/09/2017 12:00:00 AM,Marijuana Compliance Check-Sale,UNINCORPORATED AREAS,KING
415517,06/15/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,SNOHOMISH
423665,06/28/2017 12:00:00 AM,Marijuana Premises Check,WINTHROP,OKANOGAN
421757,06/21/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,ILWACO,PACIFIC
421786,06/12/2017 12:00:00 AM,Marijuana Premises Check,TUMWATER,THURSTON
421141,06/29/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
421877,06/07/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
412639,06/12/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
417118,06/22/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
421151,06/23/2017 12:00:00 AM,Marijuana Premises Check,PULLMAN,WHITMAN
419640,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
413358,06/17/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
423754,06/09/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
