Current Medical Endorsed Retailers,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
License Number,UBI,Tradename,Privilege,Status,Med Privilege Code,Termination Code,Street Address,Suite Rm,City,State,County,Zip Code,Date Created,Day Phone,Email
422168,6.03556E+15,A GREENER TODAY MARIJUANA-GOLD BAR           ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,16810 415TH AVE SE STE A-2    ,                         ,GOLD BAR                ,WA,SNOHOMISH,982510000,20160428,4257736037,RUSSIANWORM@GMAIL.COM
422109,6.03556E+15,A GREENER TODAY MARIJUANA-LYNNWOOD           ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,14608 HWY 99 SUITE #304       ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980875500,20160421,4257736037,PUGETSOUNDMARIJUANA@GMAIL.COM
426039,6.03515E+15,A GREENER TODAY WALLA WALLA                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,655 WEST POPLAR ST            ,                         ,WALLA WALLA             ,WA,WALLA WALLA,993620000,20180223,2063803608,JOSE.CHAVIRA@LIVE.COM
422765,6.03557E+15,ACCESS CANIBUS LLC                           ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,3082 WAITTS LAKE RD           ,                         ,VALLEY                  ,WA,STEVENS,991810000,20171003,3604703051,ACCESSCANIBUSRAP@GMAIL.COM
414225,6.03357E+15,ALTITUDE                                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,260 MERLOT DR                 ,                         ,PROSSER                 ,WA,BENTON,993509533,20151009,5097864200,AP@ALTITUDEMJ.COM
415486,6.03599E+15,ALWAYS GREENER DOWNTOWN                      ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,15937 REDMOND WAY STE B       ,                         ,REDMOND                 ,WA,KING,980523836,20160823,4258615497,SHAUNA@THEGRASSISALWAYS.COM
422954,6.03353E+15,AMERICAN HARVEST                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,7550 US 97                    ,                         ,PESHASTIN               ,WA,CHELAN,988470000,20170110,5033177035,AMERICANHARVESTKELANI@GMAIL.COM
421652,6.03357E+15,ANACORTES CANNABIS                           ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,7656 STATE ROUTE 20 UNIT A    ,                         ,ANACORTES               ,WA,SKAGIT,982218311,20160426,3605886222,ANACORTESNATURALMEDICINE@GMAIL.COM
421110,6.03326E+15,APEX CANNABIS                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,955 W BROADWAY AVE            ,                         ,MOSES LAKE              ,WA,GRANT,988370000,20160426,5094990646,STEPHANIE.PETERSON@APEXCANNABIS.COM
422447,6.03326E+15,APEX CANNABIS                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,21502 E GILBERT RD            ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279241,20160622,5094990646,STEPHANIE.PETERSON@APEXCANNABIS.COM
425767,6.03326E+15,APEX CANNABIS                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1325 N DIVISION ST STE 104    ,                         ,SPOKANE                 ,WA,SPOKANE,992021808,20171031,5094990646,STACEY.CHRISTINE.PETERSON@GMAIL.COM
85059,6.03352E+15,BAD ASS WEED CO.                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,8459 MAIN ST  UNIT B          ,UNIT B                   ,DRYDEN                  ,WA,CHELAN,988210000,20170718,5092648044,THEROACH420@YAHOO.COM
421709,6.03592E+15,BETTER BUDS                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,841 NESS CORNER RD  STE B     ,STE B                    ,PORT HADLOCK            ,WA,JEFFERSON,983399572,20160715,3607316611,D.COMEAU@COMCAST.NET
425965,6.03353E+15,BETTER BUDS                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,10384 SILVERDALE WAY NW STE 10,                         ,SILVERDALE              ,WA,KITSAP,983837670,20171229,3607316611,BETTERBUDS7@GMAIL.COM
430175,6.03577E+15,BETTER BUDS                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,946 WASHINGTON WAY STE 100    ,                         ,LONGVIEW                ,WA,COWLITZ,986324030,20200421,3609676056,KINGCRONICGROUP@GMAIL.COM
422202,6.03069E+15,BLOWIN SMOKE                                 ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1967 HIGHWAY 395 S STE C      ,                         ,CHEWELAH                ,WA,STEVENS,991099708,20160315,5099357420,BLOWINSMOKE.WA@GMAIL.COM
428005,6.04337E+15,BUD BARN                                     ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,10619 VANCIL RD SE            ,                         ,YELM                    ,WA,THURSTON,985979504,20190701,3609601220,generalmnager@budbarnyelm.net
413802,6.03352E+15,BUD COMMANDER                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,849 TROSPER RD SW STE 207     ,                         ,TUMWATER                ,WA,THURSTON,985128145,20151210,3606881709,MOOREHEMPCO@GMAIL.COM
415203,6.04273E+15,BUD NATION                                   ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,9640 16TH AVE SW STE C & D    ,                         ,SEATTLE                 ,WA,KING,981062827,20190627,2066027888,INFO@BUDNATIONSEATTLE.COM
421335,6.04337E+15,BUD STOP                                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,6725 MARTIN WAY E             ,                         ,OLYMPIA                 ,WA,THURSTON,985165541,20190701,3605150258,generalmanager@budbarnyelm.net
413893,6.03359E+15,BUDDY'S                                      ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,420 SUNSET BLVD N STE A       ,                         ,RENTON                  ,WA,KING,980555512,20160419,4252269333,MYles@buddys-wa.com
420661,6.03569E+15,BUDEEZ                                       ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2111 E 11TH ST                ,                         ,BREMERTON               ,WA,KITSAP,983104810,20160421,3606207114,KENBARLEY1@GMAIL.COM
421005,6.0335E+15,BUDS GARAGE                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,3015 EVERETT AVE              ,                         ,EVERETT                 ,WA,SNOHOMISH,982013822,20151104,4258793437,BRIAN.BODGE@BUDSGARAGE.COM
420666,6.0336E+15,CANNA WEST SEATTLE                           ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5440 CALIFORNIA AVE SW        ,                         ,SEATTLE                 ,WA,KING,981361513,20180604,2066969240,LTCLLC11@GMAIL.COM
414211,6.03448E+15,CANNA4LIFE                                   ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,721 6TH ST                    ,                         ,CLARKSTON               ,WA,ASOTIN,994032001,20180117,5099903124,SCOTTCANNA4LIFE@GMAIL.COM
360307,6.03351E+15,CANNABIS & GLASS                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,605 E FRANCIS                 ,                         ,SPOKANE                 ,WA,SPOKANE,992080000,20180320,5099991112,NXNWRETAIL@GMAIL.COM
415567,6.03357E+15,CANNABIS 21                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1000 E WISHKAH ST             ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985200000,20180402,3602397149,CANNABIS21ABERDEEN@GMAIL.COM
422944,6.03384E+15,CANNABIS CENTRAL                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1514 W UNIVERSITY WAY         ,                         ,ELLENSBURG              ,WA,KITTITAS,989262337,20160408,5092011144,ROB@ELLENSBURGAPOTHECARY.COM
413319,6.03339E+15,CANNABIS CITY                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2733 4TH AVE S 1ST FLOOR      ,1ST FLOOR UNIT           ,SEATTLE                 ,WA,KING,981341912,20151105,2066821332,CEO@CANNABIS.CITY
414970,6.03359E+15,CANNABIS COUNTRY STORE                       ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1910 W MAIN ST SUITE 101      ,                         ,BATTLE GROUND           ,WA,CLARK,986040000,20151010,3607987194,C4UAGRI@GMAIL.COM
423542,6.03185E+15,CANNABIS PROVISIONS EAST                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,831 N MILLER ST               ,                         ,WENATCHEE               ,WA,CHELAN,988012046,20161122,2533347082,dzungnguyen83@yahoo.com
423542,6.03185E+15,CANNABIS PROVISIONS EAST                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,9423 MRTN LUTHER KING JR WAY S,STE C                    ,SEATTLE                 ,WA,KING,981185417,20161122,2533347082,dzungnguyen83@yahoo.com
402780,6.03546E+15,CANNABIS SUPER STORE                         ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,705 EAST 1ST ST               ,                         ,CLE ELUM                ,WA,KITTITAS,989221252,20160912,5096745356,GENE@GENEMORGAN.COM
415575,6.0336E+15,CANNABLYSS                                   ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2705 HARTFORD DR STE A        ,                         ,LAKE STEVENS            ,WA,SNOHOMISH,982589204,20151116,4253277529,CANNABLYSSLAKESTEVENS@GMAIL.COM
414060,6.03346E+15,CANNAREX                                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2714 HENSON RD                ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739036,20151023,4254058179,HONG_LIEU888@YAHOO.COM
421813,6.03355E+15,CANNAZONE                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5655 GUIDE MERIDIAN STE B     ,SUITE B                  ,BELLINGHAM              ,WA,WHATCOM,982269722,20160729,8602092288,CANNAZONEBELLINGHAM@GMAIL.COM
422000,6.03355E+15,CANNAZONE                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,17903 STATE ROUTE 536         ,                         ,MOUNT VERNON            ,WA,SKAGIT,982733269,20200422,8602092288,jjreige77@yahoo.com
424599,6.03355E+15,CANNAZONE                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,17905 STATE ROUTE 536         ,                         ,MOUNT VERNON            ,WA,SKAGIT,982733269,20170316,8602092288,JJREIG77@YAHOO.COM
415094,6.03359E+15,CASCADE HERB COMPANY                         ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1240 E MAPLE ST STE 103       ,                         ,BELLINGHAM              ,WA,WHATCOM,982255749,20151217,3607782357,CASCADEHERB@GMAIL.COM
413492,6.03526E+15,CHIMACUM CANNABIS                            ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,9034 BEAVER VALLEY ROAD       ,                         ,CHIMACUM                ,WA,JEFFERSON,983258781,20160621,2066818394,CHIMACUMCANNABIS@GMAIL.COM
422466,6.04284E+15,CHOICE CANNABIS                              ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2427 W SIMS WAY STE F         ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983682247,20190411,3603794006,CHOICECANNABISPT@GMAIL.COM
413358,6.03267E+15,CLEAR CHOICE CANNABIS                        ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,8001 S HOSMER ST              ,                         ,TACOMA                  ,WA,PIERCE,984081017,20151015,2534445444,CLEARCHOICECANNABIS@GMAIL.COM
421877,6.04178E+15,CLEAR CHOICE CANNABIS                        ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,6733 STATE HWY 303 NE         ,                         ,BREMERTON               ,WA,KITSAP,983113736,20180808,2538826344,CRITTERSTTS@GMAIL.COM
414065,6.04338E+15,CRAFT CANNABIS                               ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1510 N WENATCHEE AVE          ,                         ,WENATCHEE               ,WA,CHELAN,988011157,20190411,5096799999,beanja@comcast.net
413729,6.03351E+15,CULT CANNABIS CO.                            ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,6061 PORTAL WAY               ,                         ,FERNDALE                ,WA,WHATCOM,982489360,20151009,3609334263,BOOKKEEPING@KULSHANENTERPRISES.COM
413529,6.03355E+15,DANCING GYPSIES                              ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,794 KENTUCKY ST               ,                         ,BELLINGHAM              ,WA,WHATCOM,982250000,20151117,2088192110,DANCINGGYPSIESBHAM@GMAIL.COM
422817,6.03604E+15,DANK OF AMERICA                              ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2530 PEACE PORTAL DR STE B    ,                         ,BLAINE                  ,WA,WHATCOM,982308063,20170206,4252314439,TOM@DANKBANKOFBLAINE.COM
364799,6.03572E+15,DANK'S WONDER EMPORIUM                       ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,7207 212TH ST SW              ,                         ,EDMONDS                 ,WA,SNOHOMISH,980207735,20190327,3609154944,MARKALAVERGNE@YAHOO.COM
423571,6.0335E+15,"DANK'S WONDER EMPORIUM, LLC                  ",MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,6906 MARTIN WAY E             ,STE A                    ,OLYMPIA                 ,WA,THURSTON,985165567,20160812,2535075435,RFORRANDOM@GMAIL.COM
414503,6.03454E+15,DESTINATION HIGHWAY 420                      ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1225 HOLLIS ST                ,                         ,BREMERTON               ,WA,KITSAP,983103611,20160510,3603406996,MICHELLEDESTHWY420@OUTLOOK.COM
413374,6.03354E+15,DIAMOND GREEN                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,4002 S 12TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984051509,20151009,2532225697,MALKITSINGH@COMCAST.NET
423036,6.03586E+15,DISCOVERY BAY CANNABIS                       ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,282023 HWY 101                ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983689331,20160527,2066607221,TOMBATES1967@GMAIL.COM
414174,6.03356E+15,DOCKSIDE CANNABIS                            ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1728 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981340000,20151214,2062236292,OSCARV@DOCKSIDECANNABIS.COM
414569,6.03355E+15,DOCKSIDE CANNABIS                            ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,15001 AURORA AVE N            ,STE 15029                ,SHORELINE               ,WA,KING,981336134,20151214,2066186094,DIRECTORS@DOCKSIDECANNABIS.COM
414841,6.03356E+15,EMERALD HAZE CANNABIS EMPORIUM               ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,4033 NE SUNSET BLVD UNIT 5    ,                         ,RENTON                  ,WA,KING,980564003,20190404,2533069151,MILESA@Q.COM
413363,6.03562E+15,EMERALD LEAVES                               ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2702 6TH AVE                  ,                         ,TACOMA                  ,WA,PIERCE,984067213,20160329,2064825627,EMERALDLEAVESTAC@GMAIL.COM
424463,6.03569E+15,EPHEMERAL TOAST                              ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,4601 LEARY WAY NW             ,                         ,SEATTLE                 ,WA,KING,981074544,20180515,2066186094,MARIA.MOSES@GMAIL.COM
427158,6.03569E+15,ESHO FUNI                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,8401 AURORA AVE N STE E       ,                         ,SEATTLE                 ,WA,KING,981034332,20180906,2068568781,AARON@DOCKSIDECANNABIS.COM
425185,6.04014E+15,EUPHORIC 360                                 ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,6326 MARTIN WAY E STE 103     ,                         ,LACEY                   ,WA,THURSTON,985165561,20171115,3608922878,CHRISTI@EUPHORIC360.COM
414495,6.03355E+15,EUPHORIUM                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,21127 STATE ROUTE 9 SE        ,                         ,WOODINVILLE             ,WA,SNOHOMISH,980729703,20160727,2063352683,MSONEPHATHOUM@ME.COM
420895,6.04149E+15,EUPHORIUM 420                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,17917 VASHON HWY SW           ,                         ,VASHON                  ,WA,KING,980705204,20180125,4255774533,BEN@URBANPATCH.COM
426125,6.03578E+15,EVERGREEN MARKET - BELLEVUE                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,638 116TH AVE NE              ,                         ,BELLEVUE                ,WA,KING,980045216,20190715,2068527155,arne@theevergreenmarket.com
425605,6.04342E+15,EVERGREEN MEADOWS                            ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,208 E PINE ST                 ,                         ,SHELTON                 ,WA,MASON,985841418,20190306,4258294959,BWMBBK@GMAIL.COM
79720,6.0356E+15,FILLABONG                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,3249 PERRY AVE STE B          ,                         ,BREMERTON               ,WA,KITSAP,983105371,20161121,3604432293,AYLA4FILLABONG@OUTLOOK.COM
415211,6.0356E+15,FILLABONG                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2839 NW KITSAP PL STE A       ,                         ,SILVERDALE              ,WA,KITSAP,983839447,20160226,3606980353,AKANASSY@COMCAST.NET
428276,6.03434E+15,FIRE AND FROST CANNABIS                      ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,6818 NE 4TH PLAIN BLVD STE C  ,                         ,VANCOUVER               ,WA,CLARK,986617357,20190325,3603357823,elkins.marc@gmail.com
420478,6.04389E+15,FLOYD'S                                      ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,933 E JOHNS PRAIRIE RD        ,                         ,SHELTON                 ,WA,MASON,985841270,20190813,2067710350,JUSTINFREET@GMAIL.COM
422049,6.03571E+15,FLOYDS                                       ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,410 W STATE ST                ,                         ,SEDRO WOOLLEY           ,WA,SKAGIT,982841557,20160916,3605884473,KENBARLEY1@GMAIL.COM
426808,6.03423E+15,FORBIDDEN CANNABIS CLUB                      ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,21509 HWY 410 STE 1           ,                         ,BONNEY LAKE             ,WA,PIERCE,983910000,20180517,2532241442,HOLISTIC2929@GMAIL.COM
414280,6.0341E+15,FREEDOM MARKET                               ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,820A WESTSIDE HWY             ,                         ,KELSO                   ,WA,COWLITZ,986264355,20151105,3603550682,thefreedommarket420@gmail.com
422459,6.04154E+15,FREEDOM MARKET CATHLAMET CORP                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,327 SR 4                      ,                         ,CATHLAMET               ,WA,WAHKIAKUM,986120000,20180124,3607036090,THEFREEDOMMARKET420@GMAIL.COM
421757,6.04052E+15,FREEDOM MARKET ILWACO                        ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,133 HOWERTON AVE SE STE B     ,                         ,ILWACO                  ,WA,PACIFIC,986249088,20171128,3607036090,THEFREEDOMMARKET420@GMAIL.COM
422777,6.03602E+15,FREELAND CANNABIS COMPANY                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,18646 SR 525 STE B            ,STE B                    ,FREELAND                ,WA,ISLAND,982498752,20160714,4255126880,EVERETTENATURALMEDICINE@HMAIL.COM
412922,6.0283E+15,FWEEDOM CANNABIS                             ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,12001 AURORA AVE N UNIT #1    ,                         ,SEATTLE                 ,WA,KING,981338249,20160202,2064190260,FWEEDOMCANNABIS@GMAIL.COM
415031,6.03358E+15,FWEEDOM CANNABIS                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,21911 64TH AVE W   STE D      ,STE D                    ,MOUNTLAKE TERRACE       ,WA,SNOHOMISH,980430000,20160622,4259540640,FWEEDOMCANNABIS@GMAIL.COM
413558,6.03328E+15,GANJA GODDESS                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,3207 1ST AVE S  UNIT A        ,UNIT A                   ,SEATTLE                 ,WA,KING,981341819,20160617,2066827220,TAMMARAWELLS@GMAIL.COM
415539,6.03359E+15,GANJA VITA                                   ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,23441 NE STATE ROUTE 3        ,                         ,BELFAIR                 ,WA,MASON,985280000,20151011,2535143949,GANJAVITALLC@GMAIL.COM
421953,6.03576E+15,GOOBIE'S DOOBIES                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,28680 MAPLE VALLEY BLACK      ,DIAMOND RD SE STE A      ,MAPLE VALLEY            ,WA,KING,980388193,20190913,2534595741,TIRZAH84@GMAIL.COM
415294,6.02378E+15,GOODBUDS                                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5384 NW K RD STE A            ,                         ,QUINCY                  ,WA,GRANT,988480000,20151009,5093988843,RALLS4351@GMAIL.COM
422525,6.0431E+15,GREEN 101                                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2840 E HWY 101                ,                         ,PORT ANGELES            ,WA,CLALLAM,983629080,20181220,4253124423,VINCESANITI@GMAIL.COM
350641,6.03327E+15,GREEN FIRE CANNABIS                          ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1956 1ST AVE S                ,                         ,SEATTLE                 ,WA,KING,981341406,20160614,2066233792,RODKRAFKA@HOTMAIL.COM
414761,6.00314E+15,GREEN HEAD CANNABIS                          ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2815 ST. JOHNS ROAD   STE B   ,                         ,VANCOUVER               ,WA,CLARK,986610000,20151012,3606091479,PAPAG@GREENHEADCANNABIS.COM
415130,6.0336E+15,GREEN LADY                                   ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,3044 PACIFIC AVE SE STE B     ,                         ,OLYMPIA                 ,WA,THURSTON,985012043,20151016,5098697574,MIKE@SOULSPACEFLOAT.COM
421667,6.03564E+15,GREEN LADY EVERETT                           ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,14221 LAKE RD                 ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871710,20160419,5098697574,MIKE@GREENLADYMJ.COM
416540,6.03564E+15,"GREEN LADY WESTSIDE, INC.                    ",MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2405 HARRISON AVE NW STE 201  ,                         ,OLYMPIA                 ,WA,THURSTON,985024592,20160218,5098697475,MIKE@GREENLADYMJ.COM
413886,6.03358E+15,GREEN LEAF                                   ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,4220 MERIDIAN ST STE 102      ,                         ,BELLINGHAM              ,WA,WHATCOM,982269153,20151009,3605262198,SKJLINSE@MSN.COM
