Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,ManuallyCleaned,Source
420 RANCH                                    ,424483,6.03359E+15,8531 POSTMA RD STE Z          ,STE Z                    ,MOXEE                   ,WA,YAKIMA,989369317,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170330,5415711868,0,0
420 RANCH,425406,6.03359E+15,31 SHILOH WAY STE A,STE A,GOLDENDALE,WA,KLICKITAT, ,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20180307,5415711868,1,https://data.lcb.wa.gov/Licensing/Licensed-Businesses/u3zh-ri66
47 DEGREES NORTH                             ,416340,6.03353E+15,28221 N NORTH RD              ,                         ,DEER PARK               ,WA,SPOKANE,990069363,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170715,2063750631,0,0
4EVERGREEN TREES                             ,413855,6.03353E+15,3303 S 35TH ST STE B-18       ,STE B-18                 ,TACOMA                  ,WA,PIERCE,984090000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170627,2063544239,0,0
509 DA KINE                                  ,412599,6.03347E+15,19 GUN CLUB RD STE A          ,                         ,BREWSTER                ,WA,DOUGLAS,988129631,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161109,5096860178,0,0
5TH HOUSE FARMS                              ,416057,6.03423E+15,19425 OLD HWY 99 SW STE A     ,                         ,ROCHESTER               ,WA,THURSTON,985799124,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170619,4255311122,0,0
A NEW LEAF                                   ,416356,6.03322E+15,26713 SW ROAD U               ,#B                       ,MATTAWA                 ,WA,GRANT,993490000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170725,3607314907,0,0
A-ACTION GROUP UTILITIES                     ,416630,6.02142E+15,1199 W CUNNINGHAM RD P3       ,STE P3                   ,OTHELLO                 ,WA,ADAMS,993440000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170715,3608704970,0,0
AAA BIO-DYNAMIC                              ,414116,6.01488E+15,4325 S FEY RD                 ,                         ,PORT ANGELES            ,WA,CLALLAM,983639464,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20161227,3604602992,0,0
AARONS ORIGINAL                              ,412986,6.00183E+15,177 RAREY RD                  ,                         ,WINLOCK                 ,WA,LEWIS,985969663,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),20131122,3607850283,0,0
ABILENE PRODUCTIONS LLC                      ,416657,6.03504E+15,1926 PINE CR RD   UNIT 5      ,                         ,TONASKET                ,WA,OKANOGAN,988550000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170518,2067958838,0,0
ABSOLUTE EDIBLES                             ,416661,6.03416E+15,202 N CRESTLINE STE C         ,                         ,SPOKANE                 ,WA,SPOKANE,992023005,MARIJUANA PRODUCER TIER 1          ,CLOSED (PERMANENT),20160413,5098632076,0,0
ABSOLUTE OILS                                ,421839,6.03467E+15,1432 S CLOVERDALE ST          ,                         ,SEATTLE                 ,WA,KING,981084825,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170717,2063106620,0,0
ABUNDANT JOY                                 ,415684,6.03351E+15,2418 W SAFARI LN  STE A       ,                         ,DEER PARK               ,WA,SPOKANE,990065171,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20161115,5098637841,0,0
ACME ACRES                                   ,412892,6.01965E+15,1845 GURLEY RD                ,STE A                    ,GRANGER                 ,WA,YAKIMA,989329444,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170713,5096432535,0,0
ACME DIESEL                                  ,416144,6.03356E+15,7019 ROAD 9 NW                ,STE A                    ,EPHRATA                 ,WA,GRANT,988239722,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170104,2063841905,0,0
ACME DIESEL                                  ,416150,6.03356E+15,7019 RD 9 NW STE J            ,                         ,EPHRATA                 ,WA,GRANT,988239722,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170104,2066612090,0,0
ACME MEDICINALS D                            ,416147,6.03356E+15,7019 RD 9 NW STE D            ,                         ,EPHRATA                 ,WA,GRANT,988239722,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),20131224,2063841903,0,0
ACME MEDICINALS S                            ,416141,6.03356E+15,7019 RD 9 NW STE S            ,                         ,EPHRATA                 ,WA,GRANT,988239722,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170110,2063841904,0,0
ACME MOUNTAIN HERB                           ,412162,6.0335E+15,960 VALLEY HWY STE A          ,                         ,ACME                    ,WA,WHATCOM,982209706,MARIJUANA PRODUCER TIER 1          ,CLOSED (PERMANENT),20151120,3605950375,0,0
ACTION VENTURES LLC                          ,412763,6.0348E+15,13055 RD 2 NE UNIT 2          ,UNIT 2                   ,MOSES LAKE              ,WA,GRANT,988370000,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170613,2066975508,0,0
AD LIB ENTERPRISES                           ,412418,6.03349E+15,166 BENSON CREEK DR           ,STE A                    ,TWISP                   ,WA,OKANOGAN,988569605,MARIJUANA PRODUCER TIER 3          ,CLOSED (PERMANENT),20161207,2069202619,0,0
AD LIB ENTERPRISES                           ,424162,6.03349E+15,2000 ROZA DR STE 102          ,                         ,ZILLAH                  ,WA,YAKIMA,989539361,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170626,2069202619,0,0
ADVANCED AGRICULTURE                         ,415734,6.03025E+15,1199 W CUNNINGHAM RD          ,STE I                    ,OTHELLO                 ,WA,ADAMS,993440000,MARIJUANA PRODUCER TIER 3          ,CLOSED (PERMANENT),20170612,3609080995,0,0
ADVANCED AGRICULTURE                         ,425086,6.03025E+15,1843 W BLACK ARROW LN         ,                         ,OTHELLO                 ,WA,ADAMS,983700937,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170613,3608195502,0,0
AFTERGLOW FARMS                              ,417162,6.03363E+15,19811 S MALLOY PRAIRIE ROAD   ,                         ,CHENEY                  ,WA,SPOKANE,990040000,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),20140107,3603381043,0,0
AG GROW                                      ,412557,6.03482E+15,3472 PULLMAN AIRPORT RD STE A ,                         ,PULLMAN                 ,WA,WHITMAN,991630000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170725,2066691690,0,0
AGAPE RESEARCH WA                            ,413293,6.03334E+15,2002 VALLEY HWY STE A         ,STE A                    ,ACME                    ,WA,WHATCOM,982209635,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170712,2063917365,0,0
AGRI MGT CORP                                ,417122,6.03359E+15,15642 RD 2 SW STE A           ,                         ,QUINCY                  ,WA,GRANT,988489548,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170614,2064237277,0,0
AGRI-GREEN NORTHWEST                         ,415841,6.03355E+15,9790 PADILLA HEIGHTS RD       ,                         ,ANACORTES               ,WA,SKAGIT,982218697,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20161018,3604217131,0,0
AGRIJUANA                                    ,415998,6.03358E+15,1810 SE COMMERCE AVE          ,                         ,BATTLE GROUND           ,WA,CLARK,986040000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20161129,3606994724,0,0
AGRILAB                                      ,416959,6.03453E+15,145 GREENACRES RD STE 3       ,                         ,RIVERSIDE               ,WA,OKANOGAN,988490000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161111,2533802170,0,0
AGRO COUTURE                                 ,417142,6.03088E+15,2919 S ALASKA ST              ,                         ,TACOMA                  ,WA,PIERCE,984097804,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170224,2065799464,0,0
AGRO TECHNIC                                 ,412266,6.0335E+15,1199 W CUNNINGHAM RD Q        ,STE Q                    ,OTHELLO                 ,WA,ADAMS,993440000,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170526,2066692446,0,0
AGROPACK                                     ,412741,6.03351E+15,391 E EXPORT RD               ,                         ,SHELTON                 ,WA,MASON,985840000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161118,3604623400,0,0
AHUI                                         ,412015,6.03483E+15,3303 S 35TH ST STE A-4        ,STE A-4                  ,TACOMA                  ,WA,PIERCE,984090000,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20161221,2537325490,0,0
AIS                                          ,416612,6.02678E+15,15812 NE 10TH AVE STE A       ,                         ,RIDGEFIELD              ,WA,CLARK,986425727,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170121,3605211426,0,0
AISLING ENTERPRISES                          ,413288,6.02991E+15,3833 EAST BISMARK AVE         ,                         ,SPOKANE                 ,WA,SPOKANE,992176504,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170303,5093155419,0,0
AKULE STREET                                 ,416615,6.02646E+15,2000 ROZA DRIVE PEN A         ,PEN A                    ,ZILLAH                  ,WA,YAKIMA,989530000,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),20140101,2062009849,0,0
ALASKAN GREEN ACRES                          ,413658,6.00449E+15,5390 STATE RT 12 UNIT A       ,                         ,MALONE                  ,WA,GRAYS HARBOR,985900000,MARIJUANA PRODUCER TIER 1          ,PENDING (ISSUED),20170512,3604911658,0,0
ALDEN JAY FOOTE                              ,416127,6.0336E+15,6241 COTTONWOOD RD            ,STE A                    ,WALLA WALLA             ,WA,WALLA WALLA,993621593,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20170306,5093015401,0,0
ALKI FARMS                                   ,416505,6.03361E+15,681 SWAN RD  STE A            ,STE A                    ,SUNNYSIDE               ,WA,YAKIMA,989449670,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161213,5098374394,0,0
ALKI HERBAL                                  ,412371,6.03348E+15,1128 SW SPOKANE ST  STE 300   ,STE 300                  ,SEATTLE                 ,WA,KING,981341128,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170228,2068984378,0,0
ALL GREEN FARMS                              ,416330,6.0335E+15,7800 POSTMA RD #7             ,STE #7                   ,MOXEE                   ,WA,YAKIMA,989360000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161203,5099481157,0,0
ALL NATURAL PRODUCTS                         ,417330,6.0335E+15,6700 S OLD PACIFIC HWY        ,                         ,KALAMA                  ,WA,COWLITZ,986250000,MARIJUANA PRODUCER TIER 3          ,CLOSED (PERMANENT),20170221,4252448484,0,0
ALL ORGANICS                                 ,412167,6.0335E+15,560-2 HAWK HAVEN RD           ,                         ,CLE ELUM                ,WA,KITTITAS,989228421,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20160927,3608938575,0,0
ALLIANCE 502                                 ,412949,6.03526E+15,139 GREENACRES RD #2          ,                         ,RIVERSIDE               ,WA,OKANOGAN,988490000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170711,8007930108,0,0
ALMOJERA FARMS                               ,416571,6.03362E+15,4593 BAY RD                   ,STE B                    ,BLAINE                  ,WA,WHATCOM,982300000,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),20131231,3603932690,0,0
ALON                                         ,416081,6.03355E+15,234 OMAK RIVER RD   UNIT 2    ,UNIT 2                   ,OMAK                    ,WA,OKANOGAN,988419673,MARIJUANA PRODUCER TIER 3          ,CLOSED (PERMANENT),20170506,4257728453,0,0
ALON                                         ,422685,6.03355E+15,127 BOUNDARY POINT RD         ,                         ,OROVILLE                ,WA,OKANOGAN,988449563,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170602,4257754619,0,0
ALPHA BUDZ                                   ,413066,6.03351E+15,185 ZEPEDA RD BLDG 1          ,                         ,FORKS                   ,WA,CLALLAM,983319606,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161118,3606400391,0,0
ALPHA TURTLE PRODUCTIONS                     ,412999,6.03353E+15,12742 ZELLER RD SE #A         ,                         ,YELM                    ,WA,THURSTON,985979207,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20161202,2534052257,0,0
ALPHAPHENO                                   ,412104,6.03339E+15,8971 GUIDE MERIDIAN RD        ,                         ,LYNDEN                  ,WA,WHATCOM,982649134,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170609,2068010215,0,0
ALTERED STATE                                ,413958,6.03519E+15,3472 PULLMAN AIRPORT RD STE C ,STE C                    ,PULLMAN                 ,WA,WHITMAN,991630000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170711,5092931360,0,0
ALTO BUDDHA                                  ,419833,6.03359E+15,18800 BEAVER VALLEY RD        ,                         ,LEAVENWORTH             ,WA,CHELAN,988269165,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20161129,3604717765,0,0
ALTURA                                       ,425095,6.0341E+15,5 INDIAN SPRINGS RD           ,LOT 1                    ,TONASKET                ,WA,OKANOGAN,988559779,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),20170516,2532837276,0,0
AMAZINGARDENS                                ,416989,6.03351E+15,23930 OSO LOOP ROAD STE B     ,STE B                    ,ARLINGTON               ,WA,SNOHOMISH,982235399,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170530,4254439793,0,0
AMERICAN BEST SUPPLY                         ,412624,6.03268E+15,"4185 OLD MONITOR RD, STE A    ",                         ,MONITOR                 ,WA,CHELAN,988360000,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20170119,5098608330,0,0
AMERICAN CANNABIS COMPANY                    ,416300,6.04002E+15,15505 WEBBER CANYON RD        ,STE C                    ,BENTON CITY             ,WA,BENTON,993200000,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),20170704,5093080996,0,0
AMERICAN FARMS                               ,416387,6.03351E+15,3478 ENTIAT RIVER RD          ,                         ,ENTIAT                  ,WA,CHELAN,988229714,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170404,5098818707,0,0
AMERICAN FARMS                               ,419022,6.03351E+15,13026 W MCFARLANE RD STE B1   ,                         ,SPOKANE                 ,WA,SPOKANE,990010000,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),20150109,5098858405,0,0
AMERICAN SENSI COMPANY                       ,412735,6.03409E+15,1625 CENTER ST                ,SUITE C                  ,TACOMA                  ,WA,PIERCE,984097920,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170707,3605568262,0,0
AMERICANNA NATURALS                          ,413854,6.03353E+15,26420 PIONEER WAY NW          ,STE A                    ,POULSBO                 ,WA,KITSAP,983700000,MARIJUANA PRODUCER TIER 3          ,CLOSED (PERMANENT),20170320,8187440283,0,0
AMERICANNA SEATTLE                           ,415688,6.0335E+15,6111 12 AVE S                 ,STE A                    ,SEATTLE                 ,WA,KING,981082703,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170202,2066507745,0,0
AMERIKAN WEED                                ,412991,6.03356E+15,3223 C ST NE   UNIT 9         ,UNIT 9                   ,AUBURN                  ,WA,KING,980021720,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20170408,2533974738,0,0
ANANDA WASHINGTON                            ,416759,6.03359E+15,130 CHESAW RD STE B           ,                         ,OROVILLE                ,WA,OKANOGAN,988440000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170105,5035226568,0,0
ANCIENT HERB                                 ,414463,6.01173E+15,7629 KIMBERLY DR WAY          ,                         ,FORD                    ,WA,STEVENS,990139738,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20170505,5092587364,0,0
ANTHONY GENE ROSSO                           ,416925,6.03362E+15,1209 HWY 281 SPUR             ,STE F                    ,QUINCY                  ,WA,YAKIMA,988480699,MARIJUANA PRODUCER TIER 2          ,CLOSED (PERMANENT),20160615,2067308667,0,0
ANTOINE CREEK FARMS                          ,412138,6.03348E+15,659 ANTOINE CREEK RD          ,                         ,CHELAN                  ,WA,OKANOGAN,988168653,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20161108,2062952284,0,0
APPLICATION SOFTWARE PRODUCTS                ,415727,6.00506E+15,1802 N LANGLEY STE #2         ,#2                       ,SPOKANE                 ,WA,SPOKANE,992120000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170615,5099813109,0,0
AQUA ORGANICS                                ,413113,6.01996E+15,82 PORTAGE PLACE UNIT B       ,                         ,FRIDAY HARBOR           ,WA,SAN JUAN,982500000,MARIJUANA PRODUCER TIER 1          ,CLOSED (PERMANENT),20160603,3602094224,0,0
AQUA ORGANICS                                ,423261,6.01996E+15,23930 OSO LOOP RD STE G       ,STE G                    ,ARLINGTON               ,WA,SNOHOMISH,982235399,MARIJUANA PRODUCER TIER 1          ,PENDING (ISSUED),20161227,3609326983,0,0
ARBOR ENTERPRISES                            ,416043,6.03358E+15,86 BADGER RD                  ,                         ,HOQUIAM                 ,WA,GRAYS HARBOR,985509416,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161122,2068525911,0,0
ARCHANGEL BOTANICALS                         ,413912,6.03375E+15,24 COW TRAIL ROAD             ,                         ,TONASKET                ,WA,OKANOGAN,988559715,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170307,8312772061,0,0
ARTIZEN CANNABIS COMPANY                     ,413462,6.03355E+15,2660 WILLIAMETTE DR NE  STE F ,                         ,LACEY                   ,WA,THURSTON,985160000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170717,2063174419,0,0
ASPEN HOLLOW                                 ,412635,6.02667E+15,18407 STATE ROUTE 20          ,                         ,WINTHROP                ,WA,OKANOGAN,988620000,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170628,2087204799,0,0
ATF FARMS                                    ,417335,6.02692E+15,440 GRUBB RD STE 1            ,                         ,WENATCHEE               ,WA,CHELAN,988010000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20170106,5098604928,0,0
ATLAS BRAND                                  ,412788,6.03349E+15,1578 MOORE ST                 ,STE D                    ,SEDRO WOOLLEY           ,WA,SKAGIT,982840000,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),20131126,2065102303,0,0
ATOMIC GREEN                                 ,413209,6.03356E+15,6031 OLD OLYMPIC HWY SW STE A ,                         ,OLYMPIA                 ,WA,THURSTON,985129425,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20161123,3605612500,0,0
AUNT DONNA'S                                 ,412851,6.03351E+15,1725 OCEAN AVE BUILDING 5A    ,                         ,RAYMOND                 ,WA,PACIFIC,985779596,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),20131123,2066028217,0,0
AUNTIE ONOLICIOUS                            ,412300,6.03348E+15,123 BLACK BEAR RD             ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983689621,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20170125,3607740309,0,0
AURICAG                                      ,412118,6.03346E+15,820 S CHARLESTOWN             ,                         ,SEATTLE                 ,WA,KING,981340000,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170707,2062261391,0,0
AURUM FARMS                                  ,412110,6.03341E+15,21516 95TH ST SE              ,                         ,SNOHOMISH               ,WA,SNOHOMISH,982907254,MARIJUANA PRODUCER TIER 2          ,CLOSED (PERMANENT),20170221,3603488489,0,0
AURUM FARMS                                  ,424484,6.03341E+15,8129 PIPELINE RD              ,                         ,LYMAN                   ,WA,SKAGIT,982630000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170221,3603488489,0,0
AUTREES NURSERY                              ,416175,6.0352E+15,3171 GOLDIE RD BLDG E         ,                         ,OAK HARBOR              ,WA,ISLAND,982772732,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20160121,2062263222,0,0
AVANT GARDENS                                ,412367,6.03351E+15,19020 SR 203   STE B          ,STE B                    ,MONROE                  ,WA,SNOHOMISH,982728873,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170608,4259237202,0,0
AVITAS                                       ,412064,6.03271E+15,25404 STATE ROUTE 9 STE A     ,                         ,ARLINGTON               ,WA,SNOHOMISH,982230000,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170726,2069531509,0,0
AXABRA EAST                                  ,412439,6.03349E+15,3230 E RIVERSIDE AVE STE 111  ,                         ,SPOKANE                 ,WA,SPOKANE,982020000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20161123,4259987057,0,0
AYRA                                         ,416755,6.03359E+15,676 S INDUSTRIAL WAY          ,                         ,SEATTLE                 ,WA,KING,981085236,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170307,6509069915,0,0
B.S. CUSTOM FARMS                            ,413045,6.03351E+15,22320 W ELM LN SUITE A        ,                         ,MEDICAL LAKE            ,WA,SPOKANE,990229663,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),20131126,5092167049,0,0
BACKWOODS ORGANIC GARDEN                     ,412199,6.03367E+15,5016 E ELK TO HWY RD          ,STE A                    ,ELK                     ,WA,SPOKANE,990090000,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170614,5096717686,0,0
BACONS BUDS                                  ,412288,6.0335E+15,181 KATIES LN SUITE B         ,                         ,WASHOUGAL               ,WA,SKAMANIA,986717397,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170524,3608371713,0,0
BAD ASS HERBS                                ,412626,6.03107E+15,744 STATE ROUTE 173           ,UNIT B                   ,BREWSTER                ,WA,DOUGLAS,988129661,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170417,5096866211,0,0
BANANO BUDS                                  ,415732,6.03449E+15,211 ROWLAND ROAD              ,                         ,SEDRO WOOLLEY           ,WA,SKAGIT,982840000,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170524,3609412728,0,0
BANG'S CANNABIS COMPANY                      ,412402,6.0352E+15,12917 S SHORT RD STE A        ,STE A                    ,CHENEY                  ,WA,SPOKANE,990049545,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170713,5095599090,0,0
BARE NAKED BUD                               ,417055,6.03363E+15,1041 INDUSTRIAL WAY           ,                         ,LONGVIEW                ,WA,COWLITZ,986321030,MARIJUANA PRODUCER TIER 1          ,CLOSED (PERMANENT),20170522,3609770533,0,0
BARE NAKED BUD                               ,424966,6.03363E+15,2205 PARROTT WAY  STE D       ,SUITE D                  ,KELSO                   ,WA,COWLITZ,986265522,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),20170522,3601977053,0,0
BBB FARMS                                    ,412601,6.03347E+15,161 KIRKPATRICK RD            ,                         ,ELK                     ,WA,PEND OREILLE,990099533,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161129,5099398539,0,0
BC LABS                                      ,417135,6.03361E+15,199 EASY ST                   ,                         ,PORT ANGELES            ,WA,CLALLAM,983620000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170614,3604613555,0,0
BC TL                                        ,419691,6.03354E+15,1824 RD N NE UNIT 4           ,                         ,MOSES LAKE              ,WA,GRANT,988370000,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170418,2063693912,0,0
BE KIND BUDS                                 ,416353,6.03299E+15,1199 W CUNNINGHAM RD          ,STE P2                   ,OTHELLO                 ,WA,ADAMS,983449004,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170706,2067796839,0,0
BEACON FARMS                                 ,416717,6.03357E+15,1512 RD 2 NW STE C            ,STE C                    ,MOSES LAKE              ,WA,GRANT,988379824,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161116,2066697242,0,0
BEARDED BRO'S BUDS                           ,412284,6.0335E+15,7955 CHISHOLM TRAIL STE A     ,                         ,MAPLE FALLS             ,WA,WHATCOM,982667822,MARIJUANA PRODUCER TIER 1          ,CLOSED (PERMANENT),20150317,3605991023,0,0
BEAUSOLEIL                                   ,416694,6.03354E+15,7903 BEAVER VALLEY RD STE A   ,                         ,CHIMACUM                ,WA,JEFFERSON,983250000,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),20161220,2253299486,0,0
BEAUTIFUL PLANET                             ,416622,6.02293E+15,986 E HAMPTON RD              ,STE #5                   ,LIND                    ,WA,ADAMS,983410000,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20160826,2062427108,0,0
BELLA JANE'S                                 ,416762,6.03359E+15,530 RONLEE LN NW STE B        ,STE B                    ,OLYMPIA                 ,WA,THURSTON,985029270,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170207,3608702087,0,0
