scrape,wmsite,address,city,email,street,st,dateaccess,dispensaryname,slug,med_rec,zipcode,ManuallyCleaned,Source
245,https://weedmaps.com/dispensaries/sweet-leaf-cannabis-2-2,"100 Old Hill Road,Aberdeen, Washington 98520",Aberdeen,sweetleafaberdeen@gmail.com,100 Old Hill Road,WA,6/23/19,Sweet Leaf Cannabis,sweet-leaf-cannabis-2-2,recreational,98520,0,
127,http://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah, Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,5/22/16,Cannabis 21,,recreational,98520,0,
154,https://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah, Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,11/25/16,Cannabis 21,,recreational,98520,0,
184,https://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah, Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,5/27/17,Cannabis 21,,recreational,98520,0,
215,https://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah, Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,11/25/17,Cannabis 21,,recreational,98520,0,
227,https://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah, Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,5/26/18,Cannabis 21,cannabis-21,recreational,98520,0,
242,https://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah, Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,12/16/18,Cannabis 21,cannabis-21,recreational,98520,0,
245,https://weedmaps.com/dispensaries/cannabis-21,"1000 E Wishkah,Aberdeen, Washington 98520",Aberdeen,the411@Cannabis21.com,1000 E Wishkah,WA,6/23/19,Cannabis 21,cannabis-21,recreational,98520,0,
101,http://weedmaps.com/dispensaries/localamster,"1006 California Way, Longview, WA 98632",Longview,localamster@gmail.com,1006 California Way,WA,11/22/15,Localamster in Longview,,recreational,98632,0,
127,http://weedmaps.com/dispensaries/localamster,"1006 California Way, Longview, WA 98632",Longview,localamster@gmail.com,1006 California Way,WA,5/23/16,Localamster in Longview,,recreational,98632,0,
184,https://weedmaps.com/dispensaries/localamster,"1006 California Way, Longview, WA 98632",Longview,localamster@gmail.com,1006 California Way,WA,5/27/17,Localamster in Longview,,recreational,98632,0,
215,https://weedmaps.com/dispensaries/localamster,"1006 California Way, Longview, WA 98632",Longview,localamster@gmail.com,1006 California Way,WA,11/25/17,Localamster in Longview,,recreational,98632,0,
227,https://weedmaps.com/dispensaries/localamster,"1006 California Way, Longview, WA 98632",Longview,localamster@gmail.com,1006 California Way,WA,5/26/18,Localamster in Longview,localamster,recreational,98632,0,
242,https://weedmaps.com/dispensaries/localamster,"1006 California Way, Longview, WA 98632",Longview,localamster@gmail.com,1006 California Way,WA,12/16/18,Localamster in Longview,localamster,recreational,98632,0,
245,https://weedmaps.com/dispensaries/localamster,"1006 California Way,Longview, Washington 98632",Longview,localamster@gmail.com,1006 California Way,WA,6/23/19,Localamster in Longview,localamster,recreational,98632,0,
154,https://weedmaps.com/dispensaries/sweet-relief-2-2,"1009 E Yakima Ave (behind target), Yakima, WA 98901",Yakima,ehallock.law@gmail.com,1009 E Yakima Ave (behind target),WA,11/25/16,Sweet Relief ,,recreational,98901,0,
184,https://weedmaps.com/dispensaries/sweet-relief-2-2,"1009 E Yakima Ave (behind target), Yakima, WA 98901",Yakima,ehallock.law@gmail.com,1009 E Yakima Ave (behind target),WA,5/27/17,Sweet Relief ,,recreational,98901,0,
101,http://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,greenlightspokane@gmail.com,10309 East Trent Avenue,WA,11/22/15,Green Light - Recreational,,recreational,99206,0,
127,http://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,greenlightspokane@gmail.com,10309 East Trent Avenue,WA,5/22/16,Green Light - Recreational,,recreational,99206,0,
154,https://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,greenlightspokane@gmail.com,10309 East Trent Avenue,WA,11/25/16,Green Light - Recreational,,recreational,99206,0,
184,https://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,info@greenlightspokane.com,10309 East Trent Avenue,WA,5/27/17,Green Light - Recreational,,recreational,99206,0,
215,https://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,info@greenlightspokane.com,10309 East Trent Avenue,WA,11/25/17,Green Light - Recreational,,recreational,99206,0,
227,https://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,info@greenlightspokane.com,10309 East Trent Avenue,WA,5/26/18,Green Light - Recreational,green-light,recreational,99206,0,
242,https://weedmaps.com/dispensaries/green-light,"10309 East Trent Avenue, Millwood, Washington 99206",Millwood,info@greenlightspokane.com,10309 East Trent Avenue,WA,12/16/18,Green Light - Recreational,green-light,recreational,99206,0,
154,https://weedmaps.com/dispensaries/mary-jane-s,"1037 W. Marina Dr., Moses Lake, Wa 98837",Moses Lake,maryjane.4you@yahoo.com,1037 W. Marina Dr.,WA,11/25/16,Mary Jane's,,recreational,98837,0,
184,https://weedmaps.com/dispensaries/mary-jane-s,"1037 W. Marina Dr., Moses Lake, Wa 98837",Moses Lake,maryjane.4you@yahoo.com,1037 W. Marina Dr.,WA,5/27/17,Mary Jane's,,recreational,98837,0,
215,https://weedmaps.com/dispensaries/mary-jane-s,"1037 W. Marina Dr., Moses Lake, Wa 98837",Moses Lake,maryjane.4you@yahoo.com,1037 W. Marina Dr.,WA,11/25/17,Mary Jane's,,recreational,98837,0,
227,https://weedmaps.com/dispensaries/mary-jane-s,"1037 W. Marina Dr., Moses Lake, Wa 98837",Moses Lake,maryjane.4you@yahoo.com,1037 W. Marina Dr.,WA,5/26/18,Mary Jane's,mary-jane-s,recreational,98837,0,
242,https://weedmaps.com/dispensaries/mary-jane-s,"1037 W. Marina Dr., Moses Lake, Wa 98837",Moses Lake,maryjane.4you@yahoo.com,1037 W. Marina Dr.,WA,12/16/18,Mary Jane's,mary-jane-s,recreational,98837,0,
245,https://weedmaps.com/dispensaries/mary-jane-s,"1037 W. Marina Dr.,Moses Lake, Washington 98837",Moses Lake,maryjane.4you@yahoo.com,1037 W. Marina Dr.,WA,6/23/19,Mary Jane's,mary-jane-s,recreational,98837,0,
127,http://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave South Suite B, Tacoma, WA 98444",Tacoma,greencollarclub@yahoo.com,10422 Pacific Ave South Suite B,WA,5/22/16,Green Collar Club,,recreational,98444,0,
154,https://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, WA 98444",Tacoma,greencollarcllc@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,11/25/16,Green Collar Cannabis,,recreational,98444,0,
184,https://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, WA 98444",Tacoma,greencollarcllc@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,5/27/17,Green Collar Cannabis,,recreational,98444,0,
215,https://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, WA 98444",Tacoma,greencollarcllc@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,11/25/17,Green Collar Cannabis,,recreational,98444,0,
227,https://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, WA 98444",Tacoma,greencollarcllc@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,5/26/18,Green Collar Cannabis,green-collar-club,recreational,98444,0,
242,https://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, WA 98444",Tacoma,greencollarcllc@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,12/16/18,Green Collar Cannabis,green-collar-club,recreational,98444,0,
245,https://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, Washington 98444",Tacoma,greencollarcllc@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,6/23/19,Green Collar Cannabis,green-collar-club,recreational,98444,0,
101,http://weedmaps.com/dispensaries/green-collar-club,"10422 Pacific Ave. South Suite. B., Tacoma, Washington 98444",Tacoma,greencollarclub@yahoo.com,10422 Pacific Ave. South Suite. B.,WA,11/21/15,Green Collar Cannabis,,recreational,98444,1,Manual Validation
101,http://weedmaps.com/dispensaries/a-greener-today-recreational-21,"10522 Lake City Way NE C103, Seattle, WA 98125",Seattle,agreenertodayrec@gmail.com,10522 Lake City Way NE C103,WA,11/21/15,A Greener Today- Recreational 21+,,recreational,98125,0,
127,http://weedmaps.com/dispensaries/a-greener-today-recreational-21,"10522 Lake City Way NE C103, Seattle, WA 98125",Seattle,agreenertodayrec@gmail.com,10522 Lake City Way NE C103,WA,5/22/16,A Greener Today - Seattle - Recreational 21+ ,,recreational,98125,0,
127,http://weedmaps.com/dispensaries/trees-collective,"10532 Greenwood Ave North, Seattle, Wa 98133",Seattle,treespotshop@gmail.com,10532 Greenwood Ave North,WA,5/23/16,Trees Pot Shop ,,recreational,98133,0,
154,https://weedmaps.com/dispensaries/trees-collective,"10532 Greenwood Ave North, Seattle, Wa 98133",Seattle,treespotshop@gmail.com,10532 Greenwood Ave North,WA,11/25/16,Trees Pot Shop ,,recreational,98133,0,
154,https://weedmaps.com/dispensaries/green-theory,"10697 Main Street Suite 2, Bellevue, WA 98004",Bellevue,info@green-theory.com,10697 Main Street Suite 2,WA,11/24/16,Green Theory,,recreational,98004,0,
215,https://weedmaps.com/dispensaries/bloom-tacoma,"10707 Pacific Ave S. Suite D, Tacoma, WA 98444",Tacoma,tacoma@bloomcannabis.com,10707 Pacific Ave S. Suite D,WA,11/25/17,Bloom Tacoma,,recreational,98444,0,
227,https://weedmaps.com/dispensaries/bloom-tacoma,"10707 Pacific Ave S. Suite D, Tacoma, WA 98444",Tacoma,tacoma@bloomcannabis.com,10707 Pacific Ave S. Suite D,WA,5/26/18,Bloom Tacoma,bloom-tacoma,recreational,98444,0,
242,https://weedmaps.com/dispensaries/bloom-tacoma,"10707 Pacific Ave S. Suite D, Tacoma, WA 98444",Tacoma,tacoma@bloomcannabis.com,10707 Pacific Ave S. Suite D,WA,12/16/18,Bloom Tacoma,bloom-tacoma,recreational,98444,0,
245,https://weedmaps.com/dispensaries/bloom-tacoma,"10707 Pacific Ave S. Suite D, Tacoma, Washington 98444",Tacoma,tacoma@bloomcannabis.com,10707 Pacific Ave S. Suite D,WA,6/23/19,Bloom Tacoma,bloom-tacoma,recreational,98444,0,
127,http://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, WA 98168",Seattle,tbd@tbd,10825 Myers Way S.,WA,5/22/16,The West Seattle Marijuana Store,,recreational,98168,0,
154,https://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, WA 98168",Seattle,tbd@tbd,10825 Myers Way S.,WA,11/25/16,The West Seattle Marijuana Store,,recreational,98168,0,
184,https://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, WA 98168",Seattle,tbd@tbd,10825 Myers Way S.,WA,5/27/17,The West Seattle Marijuana Store,,recreational,98168,0,
215,https://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, WA 98168",Seattle,tbd@tbd,10825 Myers Way S.,WA,11/25/17,The West Seattle Marijuana Store,,recreational,98168,0,
227,https://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, WA 98168",Seattle,tbd@tbd,10825 Myers Way S.,WA,5/26/18,The West Seattle Marijuana Store,west-seattle-cannabis-company,recreational,98168,0,
242,https://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, WA 98168",Seattle,tbd@tbd,10825 Myers Way S.,WA,12/16/18,The West Seattle Marijuana Store,west-seattle-cannabis-company,recreational,98168,0,
245,https://weedmaps.com/dispensaries/west-seattle-cannabis-company,"10825 Myers Way S., Seattle, Washington 98168",Seattle,customerservice@weedmaps.com,10825 Myers Way S.,WA,6/23/19,The West Seattle Marijuana Store,west-seattle-cannabis-company,recreational,98168,0,
101,http://weedmaps.com/dispensaries/nimbin-pot-shop,"10859 1st Ave S Suite A, Seattle, Wa 98168",Seattle,nimbinpotshop@gmail.com,10859 1st Ave S Suite A,WA,11/22/15,NiMBiN FARM,,recreational,98168,1,Manual Validation
127,http://weedmaps.com/dispensaries/nimbin-pot-shop,"10859 1st Ave S Suite A, Seattle, Wa 98168",Seattle,nimbinpotshop@gmail.com,10859 1st Ave S Suite A,WA,5/23/16,NiMBiN FARM,,recreational,98168,1,Manual Validation
215,https://weedmaps.com/dispensaries/herbn-elements-recreational,"11013 Lake City Way NE, Seattle, Washington 98125",Seattle,info@HerbnElements.com,11013 Lake City Way NE,WA,11/25/17,Herbn Elements - Rec &amp; Med - Seattle,,recreational,98125,0,
227,https://weedmaps.com/dispensaries/herbn-elements-recreational,"11013 Lake City Way NE, Seattle, Washington 98125",Seattle,info@HerbnElements.com,11013 Lake City Way NE,WA,5/26/18,Herbn Elements - Rec & Med - Seattle,herbn-elements-recreational,recreational,98125,0,
242,https://weedmaps.com/dispensaries/herbn-elements-recreational,"11013 Lake City Way NE, Seattle, Washington 98125",Seattle,info@HerbnElements.com,11013 Lake City Way NE,WA,12/16/18,Herbn Elements - Rec & Med - Seattle,herbn-elements-recreational,recreational,98125,0,
245,https://weedmaps.com/dispensaries/herbn-elements-recreational,"11013 Lake City Way NE, Seattle, Washington 98125",Seattle,info@HerbnElements.com,11013 Lake City Way NE,WA,6/23/19,Herbn Elements - Rec & Med - Seattle,herbn-elements-recreational,recreational,98125,0,
154,https://weedmaps.com/dispensaries/star-international,"11042 1st Ave S, Seattle, WA 98168",Seattle,starinternational55@gmail.com,11042 1st Ave S,WA,11/25/16,Star International,,recreational,98168,0,
127,http://weedmaps.com/dispensaries/greenworks-cooperative,"11064 Lake City Way NE #6, North Seattle, WA 98125",North Seattle,greenworkscannabis@gmail.com,11064 Lake City Way NE #6,WA,5/22/16,Greenworks Cannabis,,recreational,98125,0,
154,https://weedmaps.com/dispensaries/greenworks-cooperative,"11064 Lake City Way NE #6, North Seattle, WA 98125",North Seattle,greenworkscannabis@gmail.com,11064 Lake City Way NE #6,WA,11/25/16,Greenworks Cannabis,,recreational,98125,0,
184,https://weedmaps.com/dispensaries/greenworks-cooperative,"11064 Lake City Way NE #6, North Seattle, WA 98125",North Seattle,greenworkscannabis@gmail.com,11064 Lake City Way NE #6,WA,5/27/17,Greenworks Cannabis,,recreational,98125,0,
215,https://weedmaps.com/dispensaries/greenworks-cooperative,"11064 Lake City Way NE #6, North Seattle, WA 98125",North Seattle,greenworkscannabis@gmail.com,11064 Lake City Way NE #6,WA,11/25/17,Greenworks Cannabis,,recreational,98125,0,
127,http://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave, Bremerton, WA 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave,WA,5/22/16,The Reef,,recreational,98312,0,
154,https://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave, Bremerton, WA 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave,WA,11/25/16,The Reef,,recreational,98312,0,
184,https://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave, Bremerton, WA 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave,WA,5/27/17,The Reef,,recreational,98312,0,
215,https://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave., Bremerton, WA 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave.,WA,11/25/17,The Reef,,recreational,98312,0,
227,https://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave., Bremerton, WA 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave.,WA,5/26/18,The Reef,the-reef,recreational,98312,0,
242,https://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave., Bremerton, WA 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave.,WA,12/16/18,The Reef,the-reef,recreational,98312,0,
245,https://weedmaps.com/dispensaries/the-reef,"1107 N Callow Ave.,Bremerton,Washington 98312",Bremerton,accounts@thereefstores.com,1107 N Callow Ave.,WA,6/23/19,The Reef,the-reef,recreational,98312,0,
154,https://weedmaps.com/dispensaries/hwy-420,"1110 Charleston Beach Rd. W, Bremerton, WA 98312",Bremerton,cheryl@hwy420.xyz,1110 Charleston Beach Rd. W,WA,11/25/16,HWY 420,,recreational,98312,0,
184,https://weedmaps.com/dispensaries/hwy-420,"1110 Charleston Beach Rd. W, Bremerton, WA 98312",Bremerton,cheryl@hwy420.xyz,1110 Charleston Beach Rd. W,WA,5/27/17,HWY 420,,recreational,98312,0,
215,https://weedmaps.com/dispensaries/hwy-420,"1110 Charleston Beach Rd. W, Bremerton, WA 98312",Bremerton,cheryl@hwy420.xyz,1110 Charleston Beach Rd. W,WA,11/25/17,HWY 420,,recreational,98312,0,
227,https://weedmaps.com/dispensaries/hwy-420,"1110 Charleston Beach Rd. W, Bremerton, WA 98312",Bremerton,cheryl@hwy420.xyz,1110 Charleston Beach Rd. W,WA,5/26/18,HWY 420,hwy-420,recreational,98312,0,
242,https://weedmaps.com/dispensaries/hwy-420,"1110 Charleston Beach Rd. W, Bremerton, WA 98312",Bremerton,cheryl@hwy420.xyz,1110 Charleston Beach Rd. W,WA,12/16/18,HWY 420,hwy-420,recreational,98312,0,
245,https://weedmaps.com/dispensaries/hwy-420,"1110 Charleston Beach Rd. W,Bremerton,Washington 98312",Bremerton,cheryl@hwy420.xyz,1110 Charleston Beach Rd. W,WA,6/23/19,HWY 420,hwy-420,recreational,98312,0,
227,https://weedmaps.com/dispensaries/nw-natural-wellness,"1110 East Yelm Ave #3, Yelm, Wa 98597",Yelm,kingcronicgroup@gmail.com,1110 East Yelm Ave #3,WA,5/26/18,King Cronic,nw-natural-wellness,recreational,98597,1,Manual Validation
127,http://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A, Spokane, WA 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,5/22/16,Lucky Leaf Co.,,recreational,99201,0,
154,https://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A, Spokane, WA 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,11/25/16,Lucky Leaf Co.,,recreational,99201,0,
184,https://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A, Spokane, WA 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,5/27/17,Lucky Leaf Co.,,recreational,99201,0,
215,https://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A, Spokane, WA 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,11/25/17,Lucky Leaf Co.,,recreational,99201,0,
227,https://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A, Spokane, WA 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,5/26/18,Lucky Leaf Co.,lucky-leaf-co,recreational,99201,0,
242,https://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A, Spokane, WA 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,12/16/18,Lucky Leaf Co.,lucky-leaf-co,recreational,99201,0,
245,https://weedmaps.com/dispensaries/lucky-leaf-co,"1111 West 1st Ave, Suite A,Spokane,Washington 99201",Spokane,info@luckyleaf.co,"1111 West 1st Ave, Suite A",WA,6/23/19,Lucky Leaf Co.,lucky-leaf-co,recreational,99201,0,
215,https://weedmaps.com/dispensaries/kushman-s-mukilteo,"11110 Mukilteo Speedway, Mukilteo, W 98275",Mukilteo,vkushman@outlook.com,11110 Mukilteo Speedway,WA,11/25/17,Kushman's Mukilteo,,recreational,98275,0,
227,https://weedmaps.com/dispensaries/kushman-s-mukilteo,"11110 Mukilteo Speedway, Mukilteo, W 98275",Mukilteo,vkushman@outlook.com,11110 Mukilteo Speedway,WA,5/26/18,Kushman's Mukilteo,kushman-s-mukilteo,recreational,98275,0,
242,https://weedmaps.com/dispensaries/kushman-s-mukilteo,"11110 Mukilteo Speedway, Mukilteo, W 98275",Mukilteo,vkushman@outlook.com,11110 Mukilteo Speedway,WA,12/16/18,Kushman's Mukilteo,kushman-s-mukilteo,recreational,98275,0,
245,https://weedmaps.com/dispensaries/kushman-s-mukilteo,"11110 Mukilteo Speedway,Mukilteo,Washington 98275",Mukilteo,vkushman@outlook.com,11110 Mukilteo Speedway,WA,6/23/19,Kushman's Mukilteo,kushman-s-mukilteo,recreational,98275,0,
101,http://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,urbanbudrec@gmail.com,112 S 24th St,WA,11/22/15,Urban Bud - Recreational,,recreational,98402,0,
127,http://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,urbanbudrec@gmail.com,112 S 24th St,WA,5/22/16,Urban Bud - Recreational,,recreational,98402,0,
154,https://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,team@urbanbud.com,112 S 24th St,WA,11/25/16,Urban Bud - Recreational,,recreational,98402,0,
184,https://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,errol@urbanbud.com,112 S 24th St,WA,5/27/17,Urban Bud - Recreational,,recreational,98402,0,
215,https://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,errol@urbanbud.com,112 S 24th St,WA,11/25/17,Urban Bud - Recreational,,recreational,98402,0,
227,https://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,errol@urbanbud.com,112 S 24th St,WA,5/26/18,Urban Bud - Recreational,urban-bud-rec,recreational,98402,0,
242,https://weedmaps.com/dispensaries/urban-bud-rec,"112 S 24th St, Tacoma, WA 98402",Tacoma,errol@urbanbud.com,112 S 24th St,WA,12/16/18,Urban Bud - Recreational,urban-bud-rec,recreational,98402,0,
154,https://weedmaps.com/dispensaries/marijuana-depot-2,"1123 Sleater Kinney RD SE, Lacey, WA 98503",Lacey,marijuandepotwa@info.com,1123 Sleater Kinney RD SE,WA,11/25/16,Marijuana Depot - Grand Opening,,recreational,98503,0,
215,https://weedmaps.com/dispensaries/thc-connection-6,"11325 WA-99, Everett, WA 98204",Everett,sales@mythcconnection.com,11325 WA-99,WA,11/25/17,THC Connection,,recreational,98204,0,
227,https://weedmaps.com/dispensaries/thc-connection-6,"11325 WA-99, Everett, WA 98204",Everett,sales@mythcconnection.com,11325 WA-99,WA,5/26/18,THC Connection,thc-connection-6,recreational,98204,0,
242,https://weedmaps.com/dispensaries/thc-connection-6,"11325 WA-99, Everett, WA 98204",Everett,sales@mythcconnection.com,11325 WA-99,WA,12/16/18,THC Connection,thc-connection-6,recreational,98204,0,
245,https://weedmaps.com/dispensaries/thc-connection-6,"11325 WA-99,Everett,Washington 98204",Everett,sales@mythcconnection.com,11325 WA-99,WA,6/23/19,THC Connection,thc-connection-6,recreational,98204,0,
127,http://weedmaps.com/dispensaries/green-life-nw,"11463 Rainier Ave South, Seattle, WA 98178",Seattle,GreenLifeNW@gmail.com,11463 Rainier Ave South,WA,5/22/16,Green Life NW,,recreational,98178,0,
154,https://weedmaps.com/dispensaries/green-life-nw,"11463 Rainier Ave South, Seattle, WA 98178",Seattle,GreenLifeNW@gmail.com,11463 Rainier Ave South,WA,11/25/16,Green Life NW,,recreational,98178,0,
184,https://weedmaps.com/dispensaries/green-life-nw,"11463 Rainier Ave South, Seattle, WA 98178",Seattle,GreenLifeNW@gmail.com,11463 Rainier Ave South,WA,5/27/17,Green Life NW,,recreational,98178,0,
215,https://weedmaps.com/dispensaries/green-life-nw,"11463 Rainier Ave South, Seattle, WA 98178",Seattle,GreenLifeNW@gmail.com,11463 Rainier Ave South,WA,11/25/17,Green Life NW,,recreational,98178,0,
184,https://weedmaps.com/dispensaries/hwy-420-2-2,"11493 Clear Creek rd. NW, Silverdale, WA 98383",Silverdale,cheryl@hwy420.xyz,11493 Clear Creek rd. NW,WA,5/27/17,Hwy 420- Silverdale,,recreational,98383,0,
215,https://weedmaps.com/dispensaries/hwy-420-2-2,"11493 Clear Creek rd. NW, Silverdale, WA 98383",Silverdale,cheryl@hwy420.xyz,11493 Clear Creek rd. NW,WA,11/25/17,Hwy 420- Silverdale,,recreational,98383,0,
