scrape,wmsite,dispensaryname,address,street,city,zipcode,email,phone,dateaccess,med_rec,ManuallyCleaned,Source
122,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,4/17/16,recreational,0,
123,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,4/25/16,recreational,0,
124,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,5/1/16,recreational,0,
125,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,5/8/16,recreational,0,
126,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,5/15/16,recreational,0,
127,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,5/22/16,recreational,0,
101,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,11/21/15,recreational,0,
102,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,11/28/15,recreational,0,
103,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,12/6/15,recreational,0,
105,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,12/20/15,recreational,0,
107,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,1/2/16,recreational,0,
113,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,2/13/16,recreational,0,
114,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,2/22/16,recreational,0,
115,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,2/28/16,recreational,0,
116,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,2/6/16,recreational,0,
117,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,3/13/16,recreational,0,
118,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,3/19/16,recreational,0,
119,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,3/26/16,recreational,0,
120,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,4/3/16,recreational,0,
121,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,4/9/16,recreational,0,
122,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,4/17/16,recreational,0,
123,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,4/24/16,recreational,0,
124,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,4/30/16,recreational,0,
125,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,5/7/16,recreational,0,
126,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,5/15/16,recreational,0,
127,http://weedmaps.com/dispensaries/365-recreational-cannabis,365 Recreational Cannabis - Seattle,"17517 15th Ave NE #202, Shoreline, WA 98155",17517 15th Ave NE #202,Shoreline,98155,recreational365@yahoo.com,206-557-7778,5/22/16,recreational,0,
101,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,11/22/15,recreational,0,
102,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,11/29/15,recreational,0,
103,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,12/7/15,recreational,0,
105,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,12/21/15,recreational,0,
107,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,1/4/16,recreational,0,
113,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,2/15/16,recreational,0,
114,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,2/23/16,recreational,0,
115,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,2/29/16,recreational,0,
116,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,2/8/16,recreational,0,
117,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,3/14/16,recreational,0,
118,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,3/21/16,recreational,0,
119,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,3/28/16,recreational,0,
120,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,4/5/16,recreational,0,
121,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,4/11/16,recreational,0,
122,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,4/18/16,recreational,0,
123,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,4/25/16,recreational,0,
124,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,5/2/16,recreational,0,
125,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,5/8/16,recreational,0,
126,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,5/16/16,recreational,0,
127,http://weedmaps.com/dispensaries/420-friendly,420 Friendly ,"1515 South Lewis Street, Spokane, Washington 99224",1515 South Lewis Street,Spokane,99224,a420store@gmail.com,(509) 844-7287,5/23/16,recreational,0,
113,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,2/14/16,recreational,0,
114,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,2/22/16,recreational,0,
115,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,2/28/16,recreational,0,
116,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,2/7/16,recreational,0,
117,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,3/13/16,recreational,0,
118,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,3/20/16,recreational,0,
119,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,3/27/16,recreational,0,
120,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,4/4/16,recreational,0,
121,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,4/10/16,recreational,0,
122,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,4/17/16,recreational,0,
123,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,4/25/16,recreational,0,
124,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,5/1/16,recreational,0,
125,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,5/8/16,recreational,0,
126,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,5/15/16,recreational,0,
127,http://weedmaps.com/dispensaries/420-holiday,420 Holiday,"2028 10th Avenue, Longview, Washington 98632",2028 10th Avenue,Longview,98632,420holidaylongview@gmail.com,360-703-3103,5/22/16,recreational,0,
101,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,11/22/15,recreational,0,
102,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,11/28/15,recreational,0,
103,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,12/6/15,recreational,0,
105,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,12/20/15,recreational,0,
107,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,1/3/16,recreational,0,
113,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,2/14/16,recreational,0,
114,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,2/22/16,recreational,0,
115,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,2/28/16,recreational,0,
116,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,2/7/16,recreational,0,
117,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,3/13/16,recreational,0,
118,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,3/20/16,recreational,0,
119,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,3/27/16,recreational,0,
120,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,4/4/16,recreational,0,
121,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,4/10/16,recreational,0,
122,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,4/17/16,recreational,0,
123,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,4/25/16,recreational,0,
124,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,5/1/16,recreational,0,
125,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,5/8/16,recreational,0,
126,http://weedmaps.com/dispensaries/420-spot-shop,420 Spot Shop,"1374 SE LUND AVE, PORT ORCHARD, WA 98366",1374 SE LUND AVE,PORT ORCHARD,98366,420spotshop@gmail.com,360 876 5699,5/15/16,recreational,0,
