Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,ManuallyCleaned,Source
GREEN LIGHT COLLECTIVE                       ,412492,6.03E+15,10105 122ND ST E              ,                         ,PUYALLUP                ,WA,PIERCE,983733566,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20131119,2532416356,0,0
GREEN PEAKS N.W. LLC                         ,422659,6.04E+15,1011 QUEENSGATE DR            ,                         ,RICHLAND                ,WA,BENTON,99352,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160326,5099990148,0,0
GRINGO CALIENTE                              ,421846,6.03E+15,1011 QUEENSGATE DR            ,                         ,RICHLAND                ,WA,BENTON,993520000,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),        ,2067907229,0,0
SVG                                          ,414130,6.03E+15,10115 167TH ST CT E           ,PARCEL 7109000010        ,PUYALLUP                ,WA,PIERCE,98375,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20131221,2538586202,0,0
FIVE POINTS OF PIERCE COUNTY LLC             ,424498,6.03E+15,102 NOBLE FIR LN              ,                         ,CHEHALIS                ,WA,LEWIS,985328717,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170223,2532731260,0,0
"TGR, LLC                                     ",416725,6.04E+15,1027 85TH AVE SE STE B        ,                         ,TUMWATER                ,WA,THURSTON,985015706,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20151201,3607019985,0,0
MJ LONG                                      ,414789,6.04E+15,10305 STATE AVE STE 103       ,                         ,MARYSVILLE              ,WA,SNOHOMISH,982717227,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170207,3016336086,0,0
GREENLIGHT                                   ,415112,6.03E+15,10309 E TRENT AVE             ,                         ,MILLWOOD                ,WA,SPOKANE,992064514,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170103,5093093193,0,0
HERBAN LEGENDS                               ,414456,6.04E+15,10326 AURORA AVE N  STE A     ,                         ,SEATTLE                 ,WA,KING,981339228,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20151230,2068907734,0,0
LUX POT SHOP                                 ,414160,6.03E+15,10333 LAKE CITY WAY NE #101   ,                         ,SEATTLE                 ,WA,KING,981257737,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170615,2069791960,0,0
MARY JANE'S                                  ,414864,6.03E+15,1037 W MARINA DR              ,                         ,MOSES LAKE              ,WA,GRANT,988370000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170407,5099893639,0,0
CENTRALIA CANNABIS CONNECTION                ,414767,6.01E+15,1039 S GOLD ST                ,                         ,CENTRALIA               ,WA,LEWIS,985313711,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161123,3607480807,0,0
THE GRASS STATION                            ,422658,6.04E+15,103B GALBREATH WAY            ,                         ,RITZVILLE               ,WA,ADAMS,991690000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170713,5093623524,0,0
HERBAL E SCENTS                              ,419759,6.02E+15,1040 NORTH HIGHWAY            ,                         ,COLVILLE                ,WA,STEVENS,991142032,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170209,5096842316,0,0
GREEN COLLAR CANNABIS                        ,412923,6.03E+15,10422 PACIFIC AVE S STE B     ,                         ,TACOMA                  ,WA,PIERCE,984446052,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161116,2533145113,0,0
A GREENER TODAY RECREATIONAL                 ,402107,6.03E+15,10522 LAKE CITY WAY NE STE    ,C103 & C104              ,SEATTLE                 ,WA,KING,981250000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20161216,4257736021,0,0
SATIVA SISTERS                               ,413739,6.03E+15,10525 E TRENT AVE STE 1       ,                         ,SPOKANE                 ,WA,SPOKANE,992060000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170324,2086603909,0,0
SEATTLE TREES COLLECTIVE                     ,413519,6.03E+15,10532 GREENWOOD AVE N         ,                         ,SEATTLE                 ,WA,KING,981338721,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170418,2533208712,0,0
POT SHOP                                     ,414980,6.03E+15,1058 N 39TH ST                ,                         ,SEATTLE                 ,WA,KING,981037921,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160428,2064026012,0,0
CHOICE RETAIL                                ,421114,6.04E+15,106 SE WEIR ST STE 5          ,                         ,CAMAS                   ,WA,CLARK,986072454,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170307,2532250200,0,0
GREENSIDE                                    ,414296,6.03E+15,10600 MAIN ST                 ,                         ,BELLEVUE                ,WA,KING,980045922,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161109,2069103811,0,0
MARY JEAN'S GREENS                           ,424257,6.03E+15,10611 CANYON RD E             ,                         ,PUYALLUP                ,WA,PIERCE,983734256,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170707,2537405648,0,0
GREEN GROTTO                                 ,414093,6.03E+15,10611 CANYON RD E STE 101     ,                         ,PUYALLUP                ,WA,PIERCE,983734552,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160420,2067926857,0,0
A PIPE DREAM                                 ,422849,6.04E+15,10611 NE HIGHWAY 99 STE B     ,                         ,VANCOUVER               ,WA,CLARK,986865678,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160402,5033170557,0,0
GREEN THEORY                                 ,414417,6.03E+15,10697 MAIN ST STE B           ,                         ,BELLEVUE                ,WA,KING,980040000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170608,4254661108,0,0
ELARA LLC                                    ,421902,6.04E+15,107 STATE ST                  ,                         ,SEDRO WOOLLEY           ,WA,SKAGIT,982841515,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160127,4252603482,0,0
BELLWETHER ENTERPRISES                       ,414103,6.03E+15,10707 PACIFIC AVE S SUITE D   ,                         ,TACOMA                  ,WA,PIERCE,984446098,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170403,4254443456,0,0
THE WEST SEATTLE MARIJUANA COMPANY           ,414868,6.03E+15,10825 MYERS WAY S             ,                         ,SEATTLE                 ,WA,KING,981681367,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161212,2069492124,0,0
MODERN CREATIONS                             ,422951,6.03E+15,10825 MYERS WAY S STE 200     ,                         ,SEATTLE                 ,WA,KING,981681367,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170209,2064657550,0,0
NIMBIN FARM                                  ,415658,6.03E+15,10859 1ST AVE S SUITE A       ,                         ,SEATTLE                 ,WA,KING,981681309,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170221,2532617600,0,0
S&K GREEN GOODS                              ,414526,6.03E+15,10901 BRIDGEPORT WAY SW STE A ,                         ,LAKEWOOD                ,WA,PIERCE,984993511,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160627,2535765196,0,0
MUKILTEO CANNABIS CO                         ,421952,6.04E+15,11012 MUKILTEO SPEEDWAY #A    ,                         ,MUKILTEO                ,WA,SNOHOMISH,982755400,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170223,2534595741,0,0
HERBN ELEMENTS                               ,413570,6.03E+15,11013 LAKE CITY WAY NE        ,                         ,SEATTLE                 ,WA,KING,981250000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170406,2065358769,0,0
PMR INDUSTRIES                               ,422290,6.04E+15,11016 BRIDGEPORT WAY SW       ,                         ,LAKEWOOD                ,WA,PIERCE,984993514,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),        ,2536786934,0,0
STAR BUDS                                    ,421695,6.03E+15,11042 1ST AVENUE S            ,                         ,SEATTLE                 ,WA,KING,981681402,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170522,2533025792,0,0
NORTH WEST CANNABIS                          ,414962,6.03E+15,1105 RIVER ROAD               ,                         ,PUYALLUP                ,WA,PIERCE,983710000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161231,2533530740,0,0
GREEN ZAP                                    ,420793,6.04E+15,11064 LAKE CITY WAY NE STE 6-A,                         ,SEATTLE                 ,WA,KING,981256730,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170530,2069223911,0,0
THE REEF                                     ,413870,6.03E+15,1107 N CALLOW AVE STE C       ,                         ,BREMERTON               ,WA,KITSAP,983123007,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161117,2066866362,0,0
CANNABIZ                                     ,87932,6.03E+15,1109 RIVER RD STE A           ,                         ,PUYALLUP                ,WA,PIERCE,983713848,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161021,2532611850,0,0
MJ SALES                                     ,414508,6.01E+15,1109 S 3RD ST                 ,                         ,YAKIMA                  ,WA,YAKIMA,989010000,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20131221,5099526087,0,0
HWY 420                                      ,413843,6.03E+15,1110 CHARLESTON BEACH RD W    ,                         ,BREMERTON               ,WA,KITSAP,983124504,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170718,3609323182,0,0
KING CRONIC                                  ,57825,6.04E+15,1110 E YELM AVE STE C         ,                         ,YELM                    ,WA,THURSTON,985977690,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20170727,3609676056,0,0
LUCKY LEAF                                   ,422442,6.03E+15,1111 W 1ST AVE STE A          ,                         ,SPOKANE                 ,WA,SPOKANE,992014005,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161209,5095194248,0,0
KUSHMAN                                      ,415287,6.03E+15,11110 MUKILTEO SPEEDWAY       ,SUITE 102                ,MUKILTEO                ,WA,SNOHOMISH,982755450,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170222,4254441575,0,0
THE SMOKIAM                                  ,88262,6.03E+15,112 DAISY ST S                ,                         ,SOAP LAKE               ,WA,GRANT,988519119,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20131225,5092899443,0,0
URBAN BUD                                    ,415010,6.03E+15,112 S 24TH ST                 ,                         ,TACOMA                  ,WA,PIERCE,984022904,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170421,2533271572,0,0
HYPEHERBALLY                                 ,414051,6.03E+15,1120 112TH ST SW              ,                         ,EVERETT                 ,WA,SNOHOMISH,982044863,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170619,4255829385,0,0
MARIJUANA DEPOT                              ,421632,6.03E+15,1123 SLEATER KINNEY RD SE     ,                         ,LACEY                   ,WA,THURSTON,985032300,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170510,2063917365,0,0
"8 BALL BARRISTER, LLC                        ",421757,6.03E+15,113 HOWERTON AVE              ,STE B                    ,ILWACO                  ,WA,PACIFIC,986249088,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170515,2535721500,0,0
BUD HUT                                      ,413901,6.03E+15,1131 E STATE ROUTE 532        ,                         ,CAMANO ISLAND           ,WA,ISLAND,982828833,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170615,4254789928,0,0
BLOOM                                        ,350766,6.03E+15,11311 HWY 99                  ,                         ,EVERETT                 ,WA,SNOHOMISH,982044816,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170620,4254443456,0,0
THC CONNECTION                               ,420894,6.04E+15,11325 HIGHWAY 99              ,                         ,EVERETT                 ,WA,SNOHOMISH,982044816,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170725,2083403970,0,0
WORLD OF WEED                                ,414959,6.03E+15,11401 RAINIER AVE S           ,                         ,SEATTLE                 ,WA,KING,981780000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161206,2066124887,0,0
LUCID CANNABIS COMPANY                       ,420497,6.04E+15,11414 N. NEWPORT HWY          ,                         ,SPOKANE                 ,WA,SPOKANE,992181616,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170729,3604519922,0,0
GREEN LIFE NW                                ,414573,6.03E+15,11463 RAINIER AVE S STE A     ,                         ,SEATTLE                 ,WA,KING,981783963,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170222,2066870523,0,0
HWY 420                                      ,413427,6.03E+15,11493 CLEAR CREEK RD          ,                         ,SILVERDALE              ,WA,KITSAP,983839657,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170227,3604408671,0,0
HAVE A HEART                                 ,423379,6.03E+15,115 BLANCHARD ST              ,                         ,SEATTLE                 ,WA,KING,981212020,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170608,5202508988,0,0
THE SLOW BURN                                ,414470,6.03E+15,1151 MARKET ST                ,                         ,UNION GAP               ,WA,YAKIMA,989030000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170601,5094522787,0,0
NORTHWEST CANNABIS CONNECTION                ,423492,6.03E+15,11522 CANYON RD E             ,                         ,PUYALLUP                ,WA,PIERCE,983734360,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170713,2537209769,0,0
CLUTCH CANNABIS                              ,413803,6.03E+15,11537 RAINIER AVE S           ,                         ,SEATTLE                 ,WA,KING,981783984,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161118,2063210149,0,0
BUD HUT                                      ,415504,6.03E+15,11603 HWY 99                  ,                         ,EVERETT                 ,WA,SNOHOMISH,982044811,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170405,4253531449,0,0
EVERETT CANNABIS                             ,421448,6.04E+15,11627 AIRPORT RD              ,SUITE F                  ,EVERETT                 ,WA,SNOHOMISH,982048714,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20160705,2068908368,0,0
THE VAULT CANNABIS                           ,420619,6.03E+15,11701 HIGHWAY 99              ,                         ,EVERETT                 ,WA,SNOHOMISH,982044809,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160513,4252488559,0,0
FORBIDDEN CANNABIS CLUB                      ,422785,6.04E+15,1171 WIND RIVER HIGHWAY       ,SUITE A                  ,CARSON                  ,WA,SKAMANIA,98610,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160401,2532241442,0,0
GREENDELIVERY DELIVERY                       ,421190,6.03E+15,11725 NE 172ND ST             ,                         ,BOTHELL                 ,WA,KING,980115427,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20151110,4259416533,0,0
SEEDZ FAMILY                                 ,422232,6.03E+15,1180 BURLINGTON BLVD          ,                         ,BURLINGTON              ,WA,SKAGIT,982333333,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160303,4252809482,0,0
STARBUDS                                     ,422390,6.03E+15,11801 US 2                    ,                         ,LEAVENWORTH             ,WA,CHELAN,988260000,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160311,4258793191,0,0
CANNABIS PROVISIONS INC. MUKILTEO            ,421630,6.03E+15,11811 MUKILTEO SPEEDWAY       ,UNIT 111                 ,MUKILTEO                ,WA,SNOHOMISH,982755442,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170124,2065795394,0,0
THE GALLERY                                  ,413813,6.03E+15,11821 CANYON RD E             ,                         ,PUYALLUP                ,WA,PIERCE,983734453,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170314,3052988577,0,0
KUSH                                         ,420336,6.02E+15,11834 NE 90TH ST              ,                         ,KIRKLAND                ,WA,KING,980335814,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170401,4252693242,0,0
NIRVANA CANNABIS COMPANY                     ,422507,6.03E+15,11980 W SUNSET HWY STE A      ,                         ,AIRWAY HEIGHTS          ,WA,SPOKANE,990019403,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170626,5098082361,0,0
APEX CANNABIS                                ,420941,6.03E+15,120 E MISSION AVE             ,                         ,SPOKANE                 ,WA,SPOKANE,992021817,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20170513,5099983405,0,0
HERBAL E SCENTS                              ,411970,6.02E+15,120 NE CANNING DR             ,                         ,COLVILLE                ,WA,STEVENS,991142004,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170608,5096844420,0,0
FWEEDOM CANNABIS                             ,412922,6.03E+15,12001 AURORA AVE N            ,UNIT #1                  ,SEATTLE                 ,WA,KING,981338249,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170526,2063515121,0,0
SEATTLE TONICS                               ,414731,6.03E+15,12059 AURORA AVE N            ,                         ,SEATTLE                 ,WA,KING,981338249,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170522,2063636000,0,0
"GREENLIGHT REC, LLC                          ",422994,6.04E+15,1209 HWY 281 SPUR             ,SUITE H                  ,QUINCY                  ,WA,GRANT,98848,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160414,2067308714,0,0
"MOUNT BAKER RETAIL PARTNERS, LLC             ",422361,6.03E+15,1209 HWY 281 SPUR SUITE K     ,                         ,QUINCY                  ,WA,GRANT,988489510,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161109,4257530673,0,0
THE HAPPY CROP SHOPPE                        ,420934,6.03E+15,1210 N WENATCHEE AVE STE J    ,                         ,WENATCHEE               ,WA,CHELAN,988016707,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170622,5096696835,0,0
SPARKET                                      ,86823,6.03E+15,1215 E FRONT ST               ,                         ,PORT ANGELES            ,WA,CLALLAM,983624309,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170103,3604604902,0,0
MARIJUANA CLUB 99                            ,415674,6.04E+15,1215 N LAKE SAMISH DR STE 2   ,                         ,BELLINGHAM              ,WA,WHATCOM,982299310,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170216,2533208712,0,0
BONANZA BUDS                                 ,422930,6.03E+15,1215 N LAKE SAMISH DR UNIT 1  ,                         ,BELLINGHAM              ,WA,WHATCOM,982299310,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170410,2532123746,0,0
"BRIGHTON BAY 2, LLC                          ",422706,6.04E+15,12223 MUKILTEO SPEEDWAY       ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871542,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160329,2063999999,0,0
MARY'S FINEST MARIJUANA                      ,415325,6.03E+15,12230 AURORA AVE N STE B      ,                         ,SEATTLE                 ,WA,KING,981338033,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170614,7862465027,0,0
DESTINATION HIGHWAY 420                      ,414503,6.03E+15,1225 HOLLIS ST                ,                         ,BREMERTON               ,WA,KITSAP,983103611,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161205,3603406996,0,0
RAINIER CANNABIS                             ,415554,6.03E+15,1234 HWY 506                  ,STE A                    ,VADER                   ,WA,LEWIS,985930000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160520,4253742227,0,0
PEND OREILLE CANNABIS CO                     ,76189,6.04E+15,124 RIVERSIDE AVE             ,                         ,IONE                    ,WA,PEND OREILLE,991390000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170427,5094423420,0,0
CASCADE HERB COMPANY                         ,415094,6.03E+15,1240 E MAPLE ST STE 103       ,                         ,BELLINGHAM              ,WA,WHATCOM,982250000,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170608,3607782357,0,0
NW CHRONICLES                                ,415634,6.03E+15,12402 134TH AVE KPN           ,STE A                    ,GIG HARBOR              ,WA,PIERCE,983295544,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170322,2535740955,0,0
HIGHER LEAF MARIJUANA BOUTIQUE               ,422218,6.03E+15,12525 WILLOWS RD NE STE 10    ,                         ,KIRKLAND                ,WA,KING,980348735,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170518,4258205967,0,0
HIGHER LEAF MARIJUANA BOUTIQUE               ,414240,6.03E+15,12525 WILLOWS RD NE STE 60    ,                         ,KIRKLAND                ,WA,KING,980347205,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160301,4258205967,0,0
"MOUNT BAKER RETAIL PARTNERSHIP,LLC           ",422981,6.03E+15,12539 E MARGINAL WAY S STE C  ,                         ,TUKWILA                 ,WA,KING,981682560,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170711,4257530673,0,0
THE EVERGREEN MARKET OF BELLEVUE             ,57813,6.04E+15,1260 116TH AVE NE STE D       ,                         ,BELLEVUE                ,WA,KING,980049744,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20170726,2068527155,0,0
MARIJUANA CLUB 99                            ,421982,6.04E+15,12631 HIGHWAY 99 STE B        ,                         ,EVERETT                 ,WA,SNOHOMISH,982048545,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170120,2533208712,0,0
GREEN SEATTLE                                ,420897,6.03E+15,12656 MARTIN LUTHER KING JR WA,Y STE #B                 ,SEATTLE                 ,WA,KING,98178,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20151027,2063341681,0,0
NATURAL BLESSING                             ,417471,6.03E+15,12811 CANYON ROAD EAST  STE 3 ,SUITE 3                  ,PUYALLUP                ,WA,PIERCE,983730000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160713,2066817241,0,0
J & K CANNABIS                               ,355804,6.03E+15,12825 PACIFIC HWY SW          ,                         ,LAKEWOOD                ,WA,PIERCE,984991030,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170103,2534684440,0,0
GREEN THEORY                                 ,421777,6.03E+15,12827 SE 40TH PL              ,                         ,BELLEVUE                ,WA,KING,980061232,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170228,4254552319,0,0
HAVE A HEART                                 ,415333,6.03E+15,12833 MARTIN LUTHER KING JR   ,WAY S                    ,SEATTLE                 ,WA,KING,981783513,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170307,2062618206,0,0
EVERGREEN ALTERNATIVE                        ,422924,6.04E+15,1290 RUSH RD                  ,UNIT B                   ,NAPAVINE                ,WA,LEWIS,985328822,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170713,3602501024,0,0
III KING COMPANY                             ,414750,6.03E+15,12925 MARTIN LUTHER KING WAY  ,                         ,SEATTLE                 ,WA,KING,981780000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161025,2533480781,0,0
FORBIDDEN FLOWER                             ,422303,6.04E+15,13003 TUKWILA INTERNATIONAL BL,UNIT A                   ,TUKWILA                 ,WA,KING,981680000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170404,2062350635,0,0
THE GALLERY                                  ,413258,6.03E+15,13005 PACIFIC AVE SOUTH       ,                         ,TACOMA                  ,WA,PIERCE,984440000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20160903,3052988577,0,0
HAPPY TIME                                   ,414777,6.02E+15,1301 N 2ND ST                 ,                         ,YAKIMA                  ,WA,YAKIMA,989011801,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20161108,5094802097,0,0
V.S.W.                                       ,362444,6.04E+15,13014 WA-99                   ,                         ,EVERETT                 ,WA,SNOHOMISH,982040000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170105,2062715468,0,0
THE TOP SHELF                                ,414716,6.03E+15,1305 S HAYFORD RD             ,SUITE A                  ,AIRWAY HEIGHTS          ,WA,SPOKANE,992245276,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170124,5099444350,0,0
KARMA CANNABIS                               ,421168,6.04E+15,131 RIVER RD   STE A          ,                         ,SEQUIM                  ,WA,CLALLAM,983829804,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170410,3604606641,0,0
KIND GREEN BOTANICALS COLLECTIVE             ,420694,6.03E+15,1311 11TH ST                  ,                         ,BELLINGHAM              ,WA,WHATCOM,982257016,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160326,3606715991,0,0
HAPPY TIME                                   ,354876,6.02E+15,1315 N 1ST ST                 ,                         ,YAKIMA                  ,WA,YAKIMA,989011801,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170424,5094802097,0,0
TOP CAT ENTERPRISES                          ,414513,6.03E+15,13217 41ST AVE NE BLDG B      ,BLDG B                   ,MARYSVILLE              ,WA,SNOHOMISH,982717808,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161118,2534489170,0,0
KUSHMART SOUTH EVERETT                       ,416102,6.04E+15,13220 HWY 99 S                ,                         ,EVERETT                 ,WA,SNOHOMISH,982045424,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161223,2069724990,0,0
