License #,ID #,Trade Name,Issue Date,premise id,L/Street,L/City,CITY,County,Updated 2019,Gender,% Ownership,Self-Identified Race,Census Category,Race of Majority Ownership (Cumulative),Percent ofMajority,Ownership,Percent of Cumulative Majority,Final
086823,6033568390010006,SPARKET,20191018,394,1215 E FRONT ST,PORT ANGELES,2,5,No,F,25.00%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
086823,6033568390010006,SPARKET,20191018,394,1215 E FRONT ST,PORT ANGELES,2,5,No,M,25.00%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
086823,6033568390010006,SPARKET,20191018,394,1215 E FRONT ST,PORT ANGELES,2,5,No,F,25.00%,Caucasian,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
086823,6033568390010006,SPARKET,20191018,394,1215 E FRONT ST,PORT ANGELES,2,5,No,M,25.00%,Hispanic,Hispanic/Latina/Latino,White,75%,Non-Minority Owned,75%,Non-Minority Owned
087932,6033429340010001,CANNABIZ,20191018,394,1109 RIVER RD STE A,PUYALLUP,11,27,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
088920,6033553980010005,THE VAULT CANNABIS,20191019,394,1323 E PIONEER HWY,STANWOOD,0,31,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
350641,6033271020010001,GREEN FIRE CANNABIS,20190810,394,1956 1ST AVE S,SEATTLE,26,17,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
350766,6043447500010002,BLOOM CANNABIS,20190921,394,11311 HWY 99,EVERETT,0,31,Yes,Male,17.50%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
350766,6043447500010002,BLOOM CANNABIS,20190921,394,11311 HWY 99,EVERETT,0,31,Yes,Male,82.50%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
352673,6016367550010006,LUCID PUYALLUP,20190329,394,7924 RIVER ROAD,PUYALLUP,0,27,No,M,100.00%,Black,Black or African American,Black or African American,100%,Minority Owned,100%,Black or African American
353260,6044693650010001,SEA CHANGE CANNABIS,20191002,394,282332 HIGHWAY 101 STE 2,PORT TOWNSEND,0,16,Yes,Female,25.00%,Caucasian ,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
353260,6044693650010001,SEA CHANGE CANNABIS,20191002,394,282332 HIGHWAY 101 STE 3,PORT TOWNSEND,0,16,Yes,Male,25.00%,American,Unknown,White,75%,Non-Minority Owned,75%,Non-Minority Owned
353260,6044693650010001,SEA CHANGE CANNABIS,20191002,394,282332 HIGHWAY 101 STE 4,PORT TOWNSEND,0,16,Yes,Male,50.00%,Caucasian ,White,White,75%,Non-Minority Owned,75%,Non-Minority Owned
353928,6041620560010001,YAKIMA WEED CO,20190830,394,1606 FRUITVALE BLVD,YAKIMA,13,39,Yes,Male,100.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
353993,6033479560010006,THE BLACK MARKET,20191207,394,428 10TH ST,HOQUIAM,4,14,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
353993,6033479560010006,THE BLACK MARKET,20191207,394,428 10TH ST,HOQUIAM,4,14,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
354876,6035158110010002,HAPPY TIME,20190430,394,1315 N 1ST ST,YAKIMA,13,39,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
357129,6035653130010003,EVERGREEN MARKET - KIRKLAND,20191220,394,11438 NE 124TH ST,KIRKLAND,16,17,Yes,Male,100.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
360307,6033510980010004,CANNABIS & GLASS,20191123,394,605 E FRANCIS,SPOKANE,10,32,No,F,4.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
360307,6033510980010004,CANNABIS & GLASS,20191123,394,605 E FRANCIS,SPOKANE,10,32,No,M,96.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
364799,6035723460010003,2020 SOLUTIONS EDMONDS,20191225,394,7207 212TH ST SW,EDMONDS,4,31,No,M,10.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
364799,6035723460010003,2020 SOLUTIONS EDMONDS,20191225,394,7207 212TH ST SW,EDMONDS,4,31,No,M,90.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400085,6035188950010006,TWISP HOUSE OF CANNABIS,20190722,394,1017 E METHOW VALLEY HWY,TWISP,12,24,Yes,Male,33.30%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400085,6035188950010006,TWISP HOUSE OF CANNABIS,20190722,394,1017 E METHOW VALLEY HWY,TWISP,12,24,Yes,,33.30%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400085,6035188950010006,TWISP HOUSE OF CANNABIS,20190722,394,1017 E METHOW VALLEY HWY,TWISP,12,24,Yes,Male,33.40%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400209,6033519780010001,TOKEN HERB,20190919,394,837 A CRESCENT BEACH RD,EASTSOUND,0,28,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400209,6033519780010001,TOKEN HERB,20190919,394,837 A CRESCENT BEACH RD,EASTSOUND,0,28,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400772,6035877310010001,THE FIRE HOUSE,20190226,394,1714 CANYON RD,ELLENSBURG,2,19,Yes,Female,30.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
400772,6035877310010001,THE FIRE HOUSE,20190226,394,1714 CANYON RD,ELLENSBURG,2,19,Yes,Male,70.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
402039,6032851830010001,HERB'S HOUSE,20190205,394,716 NW 65TH ST,SEATTLE,26,17,No,M,49.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
402039,6032851830010001,HERB'S HOUSE,20190205,394,716 NW 65TH ST,SEATTLE,26,17,No,F,51.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
402780,6035462660010004,CANNABIS SUPER STORE,20190906,394,705 EAST 1ST ST,CLE ELUM,1,19,No,F,5.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
402780,6035462660010004,CANNABIS SUPER STORE,20190906,394,705 EAST 1ST ST,CLE ELUM,1,19,No,F,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
402780,6035462660010004,CANNABIS SUPER STORE,20190906,394,705 EAST 1ST ST,CLE ELUM,1,19,No,M,90.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
404933,6033581980010002,REEFER DEN,20191220,394,2123 W SIMS WAY APT 1,PORT TOWNSEND,1,16,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
407950,6035599710010003,TRU GREENTHUMB,20181126,394,1254 MT SAINT HELENS WAY NE #C,CASTLE ROCK,1,8,Yes,Female,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
407950,6035599710010003,TRU GREENTHUMB,20181126,394,1254 MT SAINT HELENS WAY NE #C,CASTLE ROCK,1,8,Yes,Female,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
410273,6033031360010002,MARKET DELIVERY SOLUTIONS LLC,20171117,394,214610 E SR 397 STE B,KENNEWICK,0,3,Yes,Female,50.00%,Caucasian,White,No Majority,50%,Non-Minority Owned,50%,Non-Minority Owned
410273,6033031360010002,MARKET DELIVERY SOLUTIONS LLC,20171117,394,214610 E SR 397 STE B,KENNEWICK,0,3,Yes,Male,50.00%,Native,American Indian or Alaska Native,No Majority,50%,Non-Minority Owned,50%,Non-Minority Owned
410332,6033452790010001,AMERICAN MARY,20191105,394,321 NE 45TH ST,SEATTLE,26,17,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
410798,6043040910010001,LOVELY BUDS DIVISION,20190731,394,1403 N DIVISION ST STE A,SPOKANE,10,32,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
410798,6043040910010001,LOVELY BUDS DIVISION,20190731,394,1403 N DIVISION ST STE A,SPOKANE,10,32,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
410831,6035699590010001,BUD HUT,20191205,394,26207 MAPLE VALLEY BLACK,MAPLE VALLEY,20,17,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
411970,6024843170010004,HERBAL E SCENTS,20190530,394,120 NE CANNING DR,COLVILLE,2,33,Yes,Female,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
411970,6024843170010004,HERBAL E SCENTS,20190530,394,120 NE CANNING DR,COLVILLE,2,33,Yes,Female,95.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412370,6033482370010001,LOVING FARMS,20191018,394,2615 OLD HIGHWAY 99 S,MOUNT VERNON,7,29,Yes,Male,4.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412370,6033482370010001,LOVING FARMS,20191018,394,2615 OLD HIGHWAY 99 S,MOUNT VERNON,7,29,Yes,Female,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412370,6033482370010001,LOVING FARMS,20191018,394,2615 OLD HIGHWAY 99 S,MOUNT VERNON,7,29,Yes,Male,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412370,6033482370010001,LOVING FARMS,20191018,394,2615 OLD HIGHWAY 99 S,MOUNT VERNON,7,29,Yes,Male,9.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412370,6033482370010001,LOVING FARMS,20191018,394,2615 OLD HIGHWAY 99 S,MOUNT VERNON,7,29,Yes,Female,10.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412370,6033482370010001,LOVING FARMS,20191018,394,2615 OLD HIGHWAY 99 S,MOUNT VERNON,7,29,Yes,Male,67.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412466,6030740190010003,WESTSIDE420 RECREATIONAL,20191024,394,4503 OCEAN BEACH HWY STE 103,LONGVIEW,0,8,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412466,6030740190010003,WESTSIDE420 RECREATIONAL,20191024,394,4503 OCEAN BEACH HWY STE 103,LONGVIEW,0,8,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412490,6035879370010002,LOVELY BUDS NORTH,20190102,394,1919 E FRANCIS AVE  STE B,SPOKANE,10,32,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412494,6033500580010001,THE STASH BOX,20191107,394,3108 A ST SE STE F & G,AUBURN,2,17,No,M,7.00%,White,White,White,82%,Non-Minority Owned,82%,Non-Minority Owned
412494,6033500580010001,THE STASH BOX,20191107,394,3108 A ST SE STE F & G,AUBURN,2,17,No,M,18.50%,Caucasian,White,White,82%,Non-Minority Owned,82%,Non-Minority Owned
412494,6033500580010001,THE STASH BOX,20191107,394,3108 A ST SE STE F & G,AUBURN,2,17,No,M,56.00%,Caucasian,White,White,82%,Non-Minority Owned,82%,Non-Minority Owned
412494,6033500580010001,THE STASH BOX,20191107,394,3108 A ST SE STE F & G,AUBURN,2,17,No,M,18.50%,White/ Pacific Islander,Multiracial,White,82%,Non-Minority Owned,82%,Non-Minority Owned
412865,6034219970010001,DOUGLAS COUNTY 502,20190905,394,2512 FOSTER CREEK AVE,BRIDGEPORT,1,9,No,F,17.50%,Caucasian,White,No Majority,50%,Minority Owned,83%,Asian/Multiracial
412865,6034219970010001,DOUGLAS COUNTY 502,20190905,394,2512 FOSTER CREEK AVE,BRIDGEPORT,1,9,No,F,32.50%,Asian,Asian,No Majority,50%,Minority Owned,83%,Asian/Multiracial
412865,6034219970010001,DOUGLAS COUNTY 502,20190905,394,2512 FOSTER CREEK AVE,BRIDGEPORT,1,9,No,F,50.00%,Hawaiian/Caucasian,Multiracial,No Majority,50%,Minority Owned,83%,Asian/Multiracial
412921,6033511330010001,THE HIDDEN BUSH,20191120,394,3230 E HWY 101,PORT ANGELES,0,5,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412921,6033511330010001,THE HIDDEN BUSH,20191120,394,3230 E HWY 101,PORT ANGELES,0,5,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412922,6028304620010002,FWEEDOM CANNABIS,20190530,394,12001 AURORA AVE N UNIT #1,SEATTLE,26,17,No,F,5.00%,Caucasian,White,Unknown,85%,Unknown,85%,Unknown
412922,6028304620010002,FWEEDOM CANNABIS,20190530,394,12001 AURORA AVE N UNIT #1,SEATTLE,26,17,No,M,5.00%,Other,Unknown,Unknown,85%,Unknown,85%,Unknown
412922,6028304620010002,FWEEDOM CANNABIS,20190530,394,12001 AURORA AVE N UNIT #1,SEATTLE,26,17,No,M,10.00%,Asian,Asian,Unknown,85%,Unknown,85%,Unknown
412922,6028304620010002,FWEEDOM CANNABIS,20190530,394,12001 AURORA AVE N UNIT #1,SEATTLE,26,17,No,F,80.00%,Other,Unknown,Unknown,85%,Unknown,85%,Unknown
412923,6033480390010001,GREEN COLLAR CANNABIS,20191112,394,10422 PACIFIC AVE S STE B,TACOMA,0,27,No,M,49.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412923,6033480390010001,GREEN COLLAR CANNABIS,20191112,394,10422 PACIFIC AVE S STE B,TACOMA,0,27,No,M,51.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
412940,6041326560010002,HIGH SOCIETY TACOMA,20190703,394,3111 S PINE ST,TACOMA,17,27,Yes,Male,12.50%,Caucasian/Latino,Multiracial,No Majority,50%,Minority Owned,63%,Hispanic/Latina/Latino/Multiracial
412940,6041326560010002,HIGH SOCIETY TACOMA,20190703,394,3111 S PINE ST,TACOMA,17,27,Yes,Female,37.50%,Hispanic,Hispanic/Latina/Latino,No Majority,50%,Minority Owned,63%,Hispanic/Latina/Latino/Multiracial
412940,6041326560010002,HIGH SOCIETY TACOMA,20190703,394,3111 S PINE ST,TACOMA,17,27,Yes,Male,12.50%,Mexican,Hispanic/Latina/Latino,No Majority,50%,Minority Owned,63%,Hispanic/Latina/Latino/Multiracial
412940,6041326560010002,HIGH SOCIETY TACOMA,20190703,394,3111 S PINE ST,TACOMA,17,27,Yes,Male,37.50%,Caucasian,White,No Majority,50%,Minority Owned,63%,Hispanic/Latina/Latino/Multiracial
413258,6033367320010001,THE GALLERY PARKLAND,20190709,394,13005 PACIFIC AVE S,TACOMA,0,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413258,6033367320010001,THE GALLERY PARKLAND,20190709,394,13005 PACIFIC AVE S,TACOMA,0,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413295,6035727170010002,THE LUCKY LEAF,20181127,394,3411 N CAPITOL AVE STE A,PASCO,4,11,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413314,6043490200010001,BLUE GUIDE LLC,20190829,394,5655 GUIDE MERIDIAN STE A,BELLINGHAM,0,37,Yes,Male,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413319,6033392690010001,CANNABIS CITY,20190914,394,2733 4TH AVE S 1ST FLOOR,SEATTLE,26,17,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413358,6032670810010002,CLEAR CHOICE CANNABIS,20190402,394,8001 S HOSMER ST,TACOMA,17,27,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413363,6035615210010001,EMERALD LEAVES,20191101,394,2702 6TH AVE,TACOMA,17,27,No,M,100.00%,Black,Black or African American,Black or African American,100%,Minority Owned,100%,Black or African American
413366,6035548960010001,CANNARAIL STATION,20190919,394,1448 BASIN ST NW SUITE A,EPHRATA,3,13,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413366,6035548960010001,CANNARAIL STATION,20190919,394,1448 BASIN ST NW SUITE A,EPHRATA,3,13,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413369,6034203350010001,TREEHOUSE CLUB,20190606,394,14421 E TRENT AVE,SPOKANE VALLEY,13,32,No,F,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413372,6030884050010007,GREENSIDE RECREATIONAL,20190916,394,9724 AURORA AVE N,SEATTLE,26,17,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413374,6033542940010001,DIAMOND GREEN,20191115,394,4002 S 12TH ST,TACOMA,17,27,No,M,100.00%,Indian,Asian,Asian,100%,Minority Owned,100%,Asian
413385,6035798560010003,SWEET RELEAF,20181129,394,14637 STATE ROUTE 20,MOUNT VERNON,0,29,No,M,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413385,6035798560010003,SWEET RELEAF,20181129,394,14637 STATE ROUTE 20,MOUNT VERNON,0,29,No,M,95.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413407,6033496500010002,NORTH BAY MARIJUANA,20190907,394,211 E NORTH BAY RD,ALLYN,0,23,No,F,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413414,6034303690010001,MARGIES'S POT SHOP LLC,20190814,394,405 E STEUBEN ST,BINGEN,1,20,Yes,Female,5.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413414,6034303690010001,MARGIES'S POT SHOP LLC,20190814,394,405 E STEUBEN ST,BINGEN,1,20,Yes,Female,95.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413420,6033367320010002,THE GALLERY SPANAWAY,20190709,394,21802 MOUNTAIN HWY E  STE 1,SPANAWAY,0,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413420,6033367320010002,THE GALLERY SPANAWAY,20190709,394,21802 MOUNTAIN HWY E  STE 1,SPANAWAY,0,27,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413426,6034131030010002,THE BAKE SHOP,20190406,394,19705 N GRIFFIN RD,PROSSER,0,3,Yes,Male,10.00%,Hispanic,Hispanic/Latina/Latino,Hispanic/Latina/Latino,100%,Minority Owned,100%,Hispanic/Latina/Latino
413426,6034131030010002,THE BAKE SHOP,20190406,394,19705 N GRIFFIN RD,PROSSER,0,3,Yes,Male ,90.00%,Hispanic,Hispanic/Latina/Latino,Hispanic/Latina/Latino,100%,Minority Owned,100%,Hispanic/Latina/Latino
413427,6027629820010002,HWY 420,20190719,394,11493 CLEAR CREEK RD,SILVERDALE,0,18,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413428,6019957890010004,GREENWORKS N.W.,20190926,394,315 N 105TH ST,SEATTLE,26,17,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,F,6.25%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,M,6.25%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,M,6.25%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,F,6.25%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,M,12.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,F,12.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,M,12.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,F,12.50%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,M,12.50%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413481,6033395640010004,THE HAPPY CROP SHOPPE,20191018,394,50 ROCK ISLAND RD,EAST WENATCHEE,2,9,No,F,12.50%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413492,6035262460010001,CHIMACUM CANNABIS,20190619,394,9034 BEAVER VALLEY ROAD,CHIMACUM,0,16,No,M,45.00%,Hispanic,Hispanic/Latina/Latino,White,55%,Non-Minority Owned,55%,Non-Minority Owned
413492,6035262460010001,CHIMACUM CANNABIS,20190619,394,9034 BEAVER VALLEY ROAD,CHIMACUM,0,16,No,M,55.00%,Caucasian,White,White,55%,Non-Minority Owned,55%,Non-Minority Owned
413519,6033523270010002,SEATTLE TREES COLLECTIVE,20191112,394,10532 GREENWOOD AVE N,SEATTLE,26,17,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413529,6033550270010001,DANCING GYPSIES,20191121,394,794 KENTUCKY ST,BELLINGHAM,1,37,No,M,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413529,6033550270010001,DANCING GYPSIES,20191121,394,794 KENTUCKY ST,BELLINGHAM,1,37,No,F,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413530,6041989910010001,FRESH GREENS,20191224,394,29 HORIZON FLATS RD STE 8,WINTHROP,13,24,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
413533,6041319920010001,HIGH SOCIETY BURLINGTON,20190702,394,735 S. BURLINGTON BLVD,BURLINGTON,2,29,No,M,50.00%,White,White,No Majority,50%,Non-Minority Owned,50%,Non-Minority Owned
413533,6041319920010001,HIGH SOCIETY BURLINGTON,20190702,394,735 S. BURLINGTON BLVD,BURLINGTON,2,29,No,F,50.00%,Hispanic,Hispanic/Latina/Latino,No Majority,50%,Non-Minority Owned,50%,Non-Minority Owned
413534,6033531970010002,HIGH SOCIETY,20191203,394,8630 S MARCH POINT RD,ANACORTES,1,29,No,F,40.00%,Hispanic,Hispanic/Latina/Latino,White,60%,Non-Minority Owned,60%,Non-Minority Owned
413534,6033531970010002,HIGH SOCIETY,20191203,394,8630 S MARCH POINT RD,ANACORTES,1,29,No,M,60.00%,White,White,White,60%,Non-Minority Owned,60%,Non-Minority Owned
413541,6033535550010001,GREENWAY MARIJUANA,20191107,394,4851 GEIGER RD SE,PORT ORCHARD,2,18,No,M,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
