(first) scrape,ID#,straindescription,Cannabinoid,Genetics,Intoxication,Look,Medical,Smell Flavor,Wellness,Commoditization
101,1743,"""Island Lavender"" Western Cultured --- Western Cultured   THC = 20%   Relaxed, Euphoric, Calming",1,0,1,0,0,0,1,0
101,1533,"""Jack Herer"" Phat Panda --- Phat Panda   THC = 27.3%   Sativa   Blissful, Clear headed, Uplifting",1,0,0,0,0,0,1,0
127,12809,"""LA Confidential"" Leaph --- Leaph   THC = 27.0%   Indica   Elevating, Sleepy, Skunky ",1,0,0,0,0,1,1,0
127,3417,"""Maui Sunrise"" Colitas Cannabis --- Colitas Cannabis   THC = 16.5%   Sativa Hybrid   Heavy, Cerebral, energizing",1,0,0,0,0,0,1,0
127,4453,"""Mystery Machine"" Doc Croc --- Doc Croc   THC = 25.6%    Indica    Sleepy, Hungry, Netflix Marathon",1,0,0,0,0,0,1,0
154,13996,"""Popcorn"" Buds - multiple strains (The Happy Crowd) --- Call for available strains",0,0,0,1,0,0,0,0
127,1000,"""Rapper Kush"" Seattle Pure Extracts --- Seattle Pure Extracts   THC = 26.9%   Indica   Elevating, Relaxing, Body Buzz",1,0,1,0,0,0,1,0
127,71,"""Sour OG"" Artizen --- Artizen   THC = 19.2%   Sativa Hybrid   Energizing, Talkative, Exhilarating",1,0,0,0,0,0,1,0
242,7974,"""Special"" Berry Haze Wax Wax by Golden Goo --- 82.7% THC 3.3% CBD Strawberry Cough x Super Silver Haze, Sativa",1,1,0,0,0,0,0,0
242,9900,"""Special"" Blue Fire Cake Batter Wax by Phat Panda --- 67.9% THC 0.8% CBD Skunk x OG Kush, Indica Hybrid",1,1,0,0,0,0,0,0
242,8650,"""Special"" Bluezzz HTE Wax by Phat Panda --- 79.1% THC 1.0% CBD Blue Dream x OZ Kush, Sativa Hybrid",1,1,0,0,0,0,0,0
242,9618,"""Special"" Dirty Girl by SPP --- 27.6% THC 0.0% CBD Arcata Lemon Wreck x Cinderella 99, Sativa",1,1,0,0,0,0,0,0
242,7868,"""Special"" Dulce de Leche Sugar Wax Wax by Red Label Cannabis --- 66.0% THC 1.9% CBD Hybrid",1,0,0,0,0,0,0,1
242,10037,"""Special"" GG#5 Icing Wax by Dabstract --- 71.0% THC 0.0% CBD Gorilla Glue #1 x Gorilla Glue #4, Indica Hybrid",1,1,0,0,0,0,0,0
242,14042,"""Special"" Golden Pineapple THCA Wax by Phat Panda --- 82.7% THC 0.0% CBD Golden Goat x Pineapple Kush, Sativa Hybrid",1,1,0,0,0,0,0,0
242,13299,"""Special"" Gorilla Glue Shatter Wax by Dabstract --- 67.9% THC 0.7% CBD Chem's Sister x Sour Dubb x Chocolate Diesel, Hybrid",1,1,0,0,0,0,0,0
242,10572,"""Special"" HDF X ASD Blue Fire Wax by Dabstract --- 69.0% THC 0.0% CBD HDF X ASD Blue Fire, Hybrid",1,1,0,0,0,0,0,0
242,8692,"""Special"" Lavender Crumble Wax Wax by SPP --- Super Skunk x Big Skunk Korean x Afghani Hawaiian, Indica",0,1,0,0,0,0,0,0
242,8402,"""Special"" Lemon OG Small Nugs by Emerald Evolution --- 22.6% THC 0.3% CBD Las Vegas Lemon Skunk x OG #18",1,1,0,0,0,0,0,0
242,10471,"""Special"" Mandarin Cookies Sugar Wax Wax by Phat Panda --- 87.1% THC 0.0% CBD GSC (forum cut) x Mandarin Sunset, Hybrid",1,1,0,0,0,0,0,0
242,14069,"""Special"" Panda Glue Putty Wax by Phat Panda --- 70.7% THC 0.0% CBD Phat Panda's cut of Gorilla Glue, Chem's Sister x Sour Dubb x Chocolate Diesel, Hybrid",1,1,0,0,0,0,0,0
242,8890,"""Special"" Panda Og Cake Batter Wax by Phat Panda --- 77.6% THC OG Chem x Berry Sour Cream, Sativa Hybrid",1,1,0,0,0,0,0,0
242,9345,"""Special"" Presidential Kush by Red Label Cannabis --- 22.0% THC 0.1% CBD Bubble Gum x OG Kush, Indica",1,1,0,0,0,0,0,0
242,10284,"""Special"" Space Queen HTE Wax by Phat Panda --- 68.7% THC 1.0% CBD Romulan x Cinderalla 99, Sativa Hybrid",1,1,0,0,0,0,0,0
242,8150,"""Special"" Sugar Cookie Distillate Applicator Distillate by Crystal Clear --- 77.9% THC 4.2% CBD Blue Dream Distillate, Hybrid, Terpenes added",1,0,0,0,0,1,0,0
242,8795,"""Special""Super G Shatter Shatter by Soulshine Cannabis --- Super Silver Haze x G13, Sativa Hybrid",0,1,0,0,0,0,0,0
127,1541,"""Strawberry Cough"" Doc Croc --- Doc Croc   THC = 20.06%   Sativa   Thoughtful, Exhilarating, Stimulating",1,0,1,0,0,0,1,0
127,14603,"""Super Lemon Kush"" Rouge Raven Farms --- Rouge Raven Farms   THC = 20.4%   Indica Hybrid   Uplifting, Happy, Blissful",1,0,0,0,0,0,1,0
127,14747,"""Super Silver Haze"" Doc Croc --- Doc Croc   THC = 23.71%   Sativa   Energetic, Uplifting, Cerebral",1,0,0,0,0,0,1,0
101,1405,"""The Incredible Bulk"" Coastal Cannabis --- Coastal Cannabis   THC = 23.67%   Indica   Earthy, Relaxing, Sedating",1,0,0,0,0,1,1,0
127,12722,"""Trainwreck Alcohol Cannabis Oil"" Green Brothers Farms --- Green Brothers Farms   THC = 77.5%   Sativa   1 Gram activated alcohol cannabis oil",1,0,0,0,0,0,0,1
101,4714,"""Tres Dawg"" Omega Beta Line --- Omega Concentrates Beta Line   THC = 72.80%   Indica Hybrid",1,0,0,0,0,0,0,1
127,13577,"""White Widow"" Boss Buds --- Boss Buds   THC = 20.9%  CBD = 5.5%   Sativa Hybrid   Talkative, Creative, Invigorating",1,0,0,0,0,0,1,0
101,14870,"""XJ-13"" Herbin Harvest --- Herbin Harvest   THC = 24.43%   Sativa Hybrid    Cerebral, Stimulating, Talkative",1,0,0,0,0,0,1,0
127,2898,"$10 Grams Assorted JV Ranch --- *Several $10 grams from JV Ranch in indica, hybrid, and sativa options.
JV Ranch is a i502 producer &amp; processor in the beautiful Klickitat County, WA",0,0,0,0,0,0,0,0
127,15191,"$10 grams from Rogue Raven --- Variety of strains while supplies last!!
The production of our flower begins with a strong genetic foundation.  Layered with the knowledge of our master grower and his team on the production of resin, and proven growing techniques mixed with a little modern technology, in hand with our quality assurance standards, you are assured a great product. ",0,0,0,0,0,0,0,0
127,14493,$10 grams from Simply Stoned --- $10 grams of assorted strains. Check to see our new inventory!,0,0,0,0,0,0,0,0
127,2076,"$10 grams from Simply Stoned --- variety of strains, check back regularly for new inventory!",0,0,0,0,0,0,0,0
242,11631,'72 Colombian Gold Oil by Solstice --- 49.0%-59.0% THC 0%-1.1% CBD,1,0,0,0,0,0,0,1
242,11905,'Memberberry by Fire Bros --- 15.0%-25.0% THC 3.0%-5.0% CBD,1,0,0,0,0,0,0,1
184,14954,'oh' McDonald Farms - Nuken BHO Pure Oleo (1g) --- 78.2% THC 1.3% CBD This earthy smelling Canadian strain will give you an intense relaxing high.,1,0,1,0,0,1,1,0
242,11597,(C) Jack Wreck by Sunshine Farms --- 27.1% THC 0.0% CBD 27.16% Total,1,0,0,0,0,0,0,1
127,1948,"(CBD)Girl Scout Cookies   CBD: 12% --- Cbd strain low on THC but high on Cannabinoids. 
""This product has intoxicating effects and may be habit forming."";

""Marijuana can impair concentration, coordination, and judgment. Do not operate a vehicle or machinery under the influence of this drug."";

""There may be health risks associated with consumption of this product.""

""For use only by adults twenty-one and older. Keep out of the reach of children.""


Green Life NW
Seattle's
Name: *

Warning-  ""This product has intoxicating effects and may be habit forming.

Marijuana can impair concentration, coordination, and judgment. Do not operate a vehicle or machinery under the influence of this drug.

""This product has intoxicating effects and may be habit forming."";

""Marijuana can impair concentration, coordination, and judgment. Do not operate a vehicle or machinery under the influence of this drug."";

""There may be health risks associated with consumption of this product.""

""For use only by adults twenty-one and older. Keep out of the reach of children.""",1,0,1,0,0,0,0,0
154,14523,"(Cartridge) Wake and Bake - Delta 9 --- Also in Pineapple Express, Peach OG, Banana Kush, Spearmint, and Strawberry.",0,0,0,0,0,0,0,0
184,6663,(Rootworks) Blue Dream --- 24.1%,1,0,0,0,0,0,0,1
184,6374,(Sf) Glue by Sunshine Framin --- 8.6%-12.6% THC 0%-2.0% CBD,1,0,0,0,0,0,0,1
215,6480,(Tac) Cookie Wreck by Sunshine Farmin ---  23.1%-27.1% THC 0%-2.4% CBD ,1,0,0,0,0,0,0,1
154,13927,(WOW) Acapulco Gold --- Sativa dominant strain 80/20 Blend. With THC of 30.5%.,1,0,0,0,0,0,0,1
242,8066,** SALE ** Chemdawg by Tumbleweed --- 27.6% THC 0.5% CBD Chewdawg 3.5g **Sale**,1,0,0,0,0,0,0,1
227,9590,** SALE ** Kosher Glue 3 by Surefire --- 23.5% THC 0.0% CBD Kosher Glue 3 3.5g **Sale**,1,0,0,0,0,0,0,1
227,10615,** SALE ** Permafrost by Surefire --- 17.4% THC 0.2% CBD Permafrost 3.5g **Sale**,1,0,0,0,0,0,0,1
227,14391,** SALE ** SFV OG by DAWG Star --- 25.8% THC 0.0% CBD SFV OG 1g **Sale**,1,0,0,0,0,0,0,1
242,10764,** SALE ** Super Sour Diesel by Tumbleweed --- 23.8% THC 0.0% CBD Super Sour Diesel 3.5g **Sale**,1,0,0,0,0,0,0,1
101,12652,"***All Prices Include Taxes**** --- All prices listed include all taxes. So it's the out-the-door cost, no hidden taxes/fees!",0,0,0,0,0,0,0,0
245,10294,*FEATURED FARM* Experience Organics - Sour Tangie -S- 21.2% --- *FEATURED FARM* Experience Organics - Sour Tangie -S- 21.2%,1,0,0,0,0,0,0,1
242,10141,*SALE* MJ Productions - Ewok - IH - 25.6% --- MJ Productions - Ewok - IH - 25.6%,1,0,0,0,0,0,0,0
242,9898,*SALE* MJ Productions - Strawberry Diesel - H - 21.7% --- MJ Productions - Strawberry Diesel - H - 21.7%,1,0,0,0,0,0,0,1
245,9265,- Maui Wowie 1g Wax (Forbidden Farms) --- 62.0% THC 1.1% CBD Classic sativa whose tropical flavors and stress-relieving qualities will float you straight to the shores of Hawaii where this strain was originally born and raised. 420 Special,1,1,0,0,0,1,1,0
184,15170,.Cartridge: Dutch Treat CO2 Oil by Puffin Farm --- 52.6%-56.6% THC 0%-0.9% CBD ,1,0,0,0,0,0,0,1
242,10373,"0000 Sweet Tooth by Hilltop Highgrade --- 24.0% THC 0.4% CBDWarning: This product has intoxicating effects and may be habit forming. Marijuana can impair concentration, coordination, and judgment. Do not operate a vehicle or machinery under the influence of this drug. There maybe health risks associated with consumption of this products. Products may only be purchased or possessed by adults 21+. Keep out of reach of children",1,0,1,0,1,0,1,0
242,14431,1 Wf Laughing Buddha by Quincy Green --- 20.8% THC 0.7% CBD Laughing Buddha 7 gram Trim,1,0,0,0,0,0,0,1
227,9219,1-THC : 2-CBD + CBG Rso by Discovery Gardens --- 25.0%-35.0% THC 57.0%-63.0% CBD,1,0,0,0,0,0,0,1
227,9134,1-THC : 2-CBD + Indica Rso by Discovery Gardens --- 10.9%-20.9% THC 35.1%-41.1% CBD,1,0,0,0,0,0,0,1
215,544,"100% Natural Indica ---  Delta 500. The Cannabis Cup winner. A smooth blend of power and taste. For those who prefer to adjust their experience, Delta 500 delivers premium grade cannabis perfect for greater balance and control. All flavorings are FDA approved, and laboratory tested for purity. - Potent full gram cartridges - Long-lasting and discreet - Available in seven delicious fruit and natural flavors - Indica is100% cannabis oil, perfect for the cannabis purist ",0,0,0,0,0,1,0,0
101,3555,"101 Headband - (Cedar Creek Cannabis) --- Meet Headband, the love-child of cannabis power couple, OG Kush and Sour Diesel. The smooth, creamy smoke is accented by flavors of lemons and diesel while the long-lasting effects are great for pain relief, helping you to relax, and to combat elevated stress levels. Many report that the effects create a slight pressure around the crown of their head and feels as though they are wearing a headband. The effects have been known to come on slow, so pace yourself with this potent hybrid. THC: 21.9%  ",1,1,0,0,1,1,1,0
154,4158,101 Headband by Cedar Creek --- A potent strain reputed for the halo-like effect it sometimes produces around the users head. A calm body but active mind make this strain a favorite for habitual users.,0,0,0,0,0,0,1,0
154,12888,101 Headband by Cedar Creek Cannabis --- 19.0% THC 0.0% CBD A potent strain reputed for the halo-like effect it sometimes produces around the users head. A calm body but active mind make this strain a favorite for habitual users.,1,0,0,0,0,0,1,0
227,10323,10:1 F.E.C.O Indica Activated Oil by Fairwinds --- 37mg THCA; 33mg THC; 336mg CBDA; 358mg CBD,1,0,0,0,0,0,0,1
154,12651,"12th Man Down - Phat Panda --- 76.8 % thc , indica dominant concentrate ",1,0,0,0,0,0,0,1
154,12506,12th Man Down - Phat Panda --- This awesome heavy indica is testing at 22.5% thc,1,0,0,0,0,0,0,1
184,12677,12th Man Down by Phat Panda --- 79.0%-89.0% THC 0%-2.5% CBD BHO Sugar Wax,1,0,0,0,0,0,0,1
127,465,12th Man OG Combo Pack --- 12th Man OG Combo Pack comes with 1 gram of bud @ 22.70%THC and a half a gram of ultra blonde kief @ 48.71%THC.  1 combo pack for $20 out the door!!!,1,0,0,0,0,0,0,1
154,6822,12th Man Wax by Oleum --- 68.4%-78.4% THC 0%-1.9% CBD,1,0,0,0,0,0,0,1
154,13509,"12th Man by Sweet As --- 12th Man OG is an evenly balanced hybrid (50% sativa/50% indica) strain created specifically to commemorate the Seattle Seahawks Superbowl 50 appearance. Although the parentage is relatively unknown due to breeder secrecy, it has been measured at having a 26% average THC level and a CBD level of approximately 1%. The 12th Man OG high is said to be a heavy body high with a mild head buzz thats pretty relaxing in nature as a whole. As the high builds, you feel yourself become lost within your own mind, slightly dazed like you just took a heavy hit from a lineman, minus the pain. Just be careful  the effects become pretty sedative if you toke a little too much. These effects coupled with its highly medicinal CBD level make 12th Man OG ideal for treating conditions such as chronic pain, depression, chronic stress or anxiety, and nausea. This bud has a classic sweet OG taste with hints of fresh grass and earth. The aroma is of spicy herbs with a powerful hit of sweet earth as the nugs are broken apart. 12th Man OG buds have small and round super leafy light minty green nugs with rich amber hairs and a frosty coating of tiny white crystal trichomes.",1,0,1,1,1,1,1,0
127,2136,"1g BHO Extract ~ Altered State Concentrate --- Several Varieties
THC is what's behind the potent effects of extracts, making them the fastest and most efficient way to get really, really high. Terpenes, or the aromatic oils that give cannabis flavor, can also be extracted, and will influence this effect.",0,0,1,0,0,0,0,0
227,11202,1g Moon Rocks - Cherry Pie --- 43.53% Indica Dominant Hybrid,1,0,0,0,0,0,0,1
127,15159,"1g XL Vape Reflil --- Available in Blue Dream, Sour Diesel, OG Kush, Granddaddy Purple.",0,0,0,0,0,0,0,0
227,8821,2 Dm Super Lemon Og by Quincy Green --- 22.7% THC 0.0% CBD Sugar Leaf 7g Super Lemon OG,1,0,0,0,0,0,0,1
154,5107,2-Pounder (Klaritie Farms) --- THC 19.35% CBD 0.1%,1,0,0,0,0,0,0,1
245,7771,24 K Live Resin by Mt Baker Growers - Live Resin --- 76.3%-86.3% THC 0.0% CBD Kosher Kush ~ Tangie,1,1,0,0,0,0,0,0
215,11729,24K 7g --- By Liberty Reach,0,0,0,0,0,0,0,0
184,14116,3 Kings + 1 Sugar Wax --- 67.86% Total - Dabstract - Hybrid,1,0,0,0,0,0,0,1
184,14169,"3 Kings by LeafWERX --- 22.3%-26.3% THC 0.0% CBD For chillin. A cross of Headband, OG Kush &amp; Sour Diesel in ONE..what? Thats crazy but true. Frosty, sour, tangy &amp; green. This will slap your brain around. Very cerebral.",1,1,0,0,0,1,0,0
184,7142,3 Mt   Mix B by Delta 9 --- 38.2%-44.2% THC 0.8%-2.8% CBD,1,0,0,0,0,0,0,1
227,8197,3 Mt Cbd Skunk Haze by Quincy Green --- 14.4% THC 0.8% CBD CBD Skunk Haze 3.5g,1,0,0,0,0,0,0,1
245,9776,3 OG's Sugar Wax Wax by SPP --- 79.5% THC Ghost OG (OG Kush Hybrid) x 2 OGs (Triangle Kush x Tre OG) Hybrid,1,1,0,0,0,0,0,0
227,9636,"3 Pac by Dawg Star --- 20.7% THC 0.1% CBD Fire OG x Georgia Pine, Hybrid",1,1,0,0,0,0,0,0
242,7766,"420 Bar: Chocolate: CBD Dark Plain Bar 30mg --- 1mg THC 1mg CBD Dark chocolate bar that is a delicious way to get the mellow, functioning body buzz that won't put you over the edge.",0,0,1,0,0,1,0,0
227,12272,47 Indica Beans Sugar Wax Wax by Honu --- 66.6% THC Indica Hybrid,1,0,0,0,0,0,0,1
242,9356,5 P's by Phat Panda --- 22.7% THC 0.4% CBD Hybrid X OG Kush,1,1,0,0,0,0,0,0
184,2368,"501st OG 1g Sugar Wax --- 80.1% THC 0.0% CBD 501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",1,1,0,1,1,1,1,0
227,8557,501st OG Kush by Pilot Farms --- 27.0%-31.0% THC 0.0% CBD 3.5g Poly Bag,1,0,0,0,0,0,0,1
184,4174,"501st OG- Sugar Wax 1g (Golden Goo) --- 90.4% THC 0.0% CBD 501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",1,1,0,1,1,1,1,0
215,9834,"501st Og by Lifted --- 19.0%-27.0% THC 0%-1.2% CBD An indica leaner with rich pine flavors and soothing, sleepy effects.",1,0,0,0,0,1,1,0
184,5258,501st x Wedding Cake Wax by Lifted --- 67.4% THC 0.7% CBD,1,1,0,0,0,0,0,0
127,1992,509 Kush .5g Taster (Fifty Fold) --- Fifty Fold - THC 21.9% - Comes in .5g Tasters,1,0,0,0,0,0,0,1
127,13566,509 Kush Shatter - Altered State --- A 71.8% THC concentrate from Altered State,1,0,0,0,0,0,0,1
127,4304,"509 Kush ~ Grow State 1 --- 509 Kush is wonderful for its ability to de-stress under the weight of its heavy euphoria. It carries an earthy pine and sour lemon scent with woody undertones,This strain holds a superb balance of full-body relaxation without the mind-numbing effect that many indica  strains produce.",0,0,1,0,0,1,1,0
227,8384,"5PS - Preroll --- <p>Panda, Panda, Panda. Panda. Panda! A new take on our infamous OG Chem. Deliciously frosty buds tasting of hash and a touch of kush with an added sweetness as compared to the original. The high on these is happy and clear and will melt your cares away. Great for a daytime or an early evening smoke, this excellent Hybrid of OG Kush is sure to be a new favorite.</p>",0,0,1,1,0,1,1,0
184,12414,"6-10 Dolla Holla's --- A gram anywhere from 6-10 Dollars! Yep, we've almost always got more than 10 options in stock. Strains available vary. Feel free to come on by and check them out. *** Select strains now available in 2g bags for $15-$23",0,0,0,0,0,0,0,0
215,11444,7 Way Wax by Evergreen --- 74.8% THC 2.7% CBD,1,0,0,0,0,0,0,1
184,12608,"707 Headband --- Huge fluffy light green, frosted buds with golden hairs. Very pungent, gassy, pine, citrus aromas with undertone of skunkiness.Robust, earthly, diesel flavor.",0,0,0,1,0,1,0,0
154,3832,"707 Headband- SPR --- This strain emerged from the Bay Area of California and that areas telephone area code is the source of its numerical moniker. Its a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but its balanced enough to leave most users feeling heady and creative rather than sleepy. Because of this, its often used to treat tension and anxiety.",0,1,1,0,1,0,1,0
184,2581,"707 Headband- Seattle's Private Reserve --- Like wearing a Headband is the common description of its powerful, cerebral effects. The feeling is instantly noticed behind the eyes and across the forehead. Wonderful for stress relief, this Headband will provide you with an uplifting and relaxing effect that leaves you feeling optimistic. Many enjoy this strain for its energetic mind high, mental clarity and euphoric sensation.",0,0,1,0,0,0,1,0
184,2221,707 OG Kush Sun Drops Co2 Wax --- 82.12% Total THC - Big Sur - Hybrid,1,0,0,0,0,0,0,1
227,11684,707 Truthband Honey Crystals (Oleum) --- Sativa | THC: 87% CBD: 0.82%,1,0,0,0,0,0,0,1
227,8737,"707 Truthband by FDG --- 19.8% THC 0.0% CBD 707 Headband is one potent strain. With THC levels that top out at 24%, it's one of the strongest choices on the market. This strain is mostly indica (40:60 sativa/indica ratio), so the high is primarily focused on the body. 707 Headband has Kush and Diesel origins; it's a crossbreed of Sour Diesel, OG Kush, and Master Kush. The body high is deeply relaxing, but it's balanced out by clear-headed cerebral effects that keep users awake and spur creative thinking. True to its ancestry, this strain has a strong, pungent skunk smell, with hints of pine. The high is very happy and relaxed, with strong euphoria. That makes 707 Headband ideal for treating anxiety, PTSD, bipolar disorder, spinal cord injuries, and chronic pain. Negative effects include limited dry mouth, while dry eyes and dizziness are also possible. This strain is found mostly on the West Coast and in Colorado, though it's also popular in Canada and can be found in other locations in the United States. Also known simply as Headbands, its name comes from the 707 area code, which serves the San Francisco Bay Area, and the ""headband"" effect users feel in their foreheads. Source, Allbud.com",1,1,1,0,1,1,1,0
215,7161,8 Ball Ace  Wax by Honu --- 85.6% THC 0.0% CBD Indica ,1,0,0,0,0,0,0,1
154,4597,"9 # Hammer by Boggy Boon --- 22.0% THC 0.0% CBD 9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. ",1,1,0,1,1,1,1,0
127,2016,"9 Lb Hammer --- 25.3% 9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting. Relaxed and sleepy euphoric high. Indica",1,1,1,1,0,1,1,0
154,12316,9 Lb. Hammer by Leef --- 25.4%-29.4% THC 0.4% CBD 7g flower poly bag,1,0,0,0,0,0,0,1
245,7775,9 Pound Hammer #6 Cartridges by EDGEMONT GROUP LLC --- 82.8% THC 0.0% CBD 9 Pound Hammer #6 LF Pax Pods - Refined - 0.5g,1,0,0,0,0,0,0,1
227,8344,9 Pound Hammer (Windy River) --- 80/20 Indica | THC: 21.77% | Gooberry X Hells OG X Jack the Ripper,1,1,0,0,0,0,0,0
245,11115,9 Pound Hammer --- Indica Hybrid - 78% THC,1,0,0,0,0,0,0,1
242,8477,9 Pound Hammer --- This indica dominant strain is brought to you by Trail Blazin with a total THC content of 25%,1,0,0,0,0,0,0,1
127,4469,"9 Pound Hammer --- Trail Blazin's only indica dominant strain.  Extremely potent, great for bedtime.",0,0,0,0,0,0,1,0
245,9751,"9 Pound Hammer Wax by GLW --- 70.4% THC 9 Pound Hammer is an 80% indica strain created by JinxProof Gentics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days. (Leafly.com)",1,1,0,1,1,1,1,0
215,11746,9 Pound Hammer by Bad Ass Herbs --- 16.6% THC 1.2% CBD,1,0,0,0,0,0,0,1
227,9423,"9 Pound Hammer by Eco-Budz --- 21.8% THC 0.0% CBD 9 Pound Hammer is an 80% indica strain created by JinxProof Gentics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days. -Leafly",1,1,0,1,1,1,1,0
242,14389,9 Pound Hammer by Rootworx --- 23.9% THC 0.1% CBD 9 Pound Hammer Simply Stoned 28g,1,0,0,0,0,0,0,1
101,4387,"9 lb Hammer (64.2%) --- Circana - Nectar | Indica | Starter Kit - 1g Cartridge, Full Pen Set Prefilled with Battery and Charger - $90 | 0.5g Cartridge - $55 | All prices include taxes.",1,0,0,0,0,0,0,1
242,12220,9 lb Hammer By Cedar Creek --- Heavy body high!!,0,0,0,0,0,0,0,0
